Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
10	20	m	PSYC4802-20134	0.98	Block	practice	1	20131031.112144	diff	100	diff	1	27223
10	20	m	PSYC4802-20134	0.98	Block	practice	2	20131031.112213	diff	100	diff	1	663
10	20	m	PSYC4802-20134	0.98	Block	practice	3	20131031.112216	same	20	same	1	921
10	20	m	PSYC4802-20134	0.98	Block	practice	4	20131031.112219	same	60	same	1	1138
10	20	m	PSYC4802-20134	0.98	Block	practice	5	20131031.112222	diff	100	diff	1	1302
10	20	m	PSYC4802-20134	0.98	Block	practice	6	20131031.112225	diff	60	same	0	1191
10	20	m	PSYC4802-20134	0.98	Block	practice	7	20131031.112228	same	100	same	1	1940
10	20	m	PSYC4802-20134	0.98	Block	practice	8	20131031.112232	same	100	diff	0	804
10	20	m	PSYC4802-20134	0.98	Block	practice	9	20131031.112235	diff	60	diff	1	2017
10	20	m	PSYC4802-20134	0.98	Block	practice	10	20131031.112239	same	60	same	1	1583
10	20	m	PSYC4802-20134	0.98	Block	practice	11	20131031.112243	same	60	diff	0	844
10	20	m	PSYC4802-20134	0.98	Block	practice	12	20131031.112245	same	20	diff	0	2679
10	20	m	PSYC4802-20134	0.98	Block	practice	13	20131031.112250	same	20	diff	0	1618
10	20	m	PSYC4802-20134	0.98	Block	practice	14	20131031.112254	same	60	diff	0	1302
10	20	m	PSYC4802-20134	0.98	Block	practice	15	20131031.112257	same	100	diff	0	2268
10	20	m	PSYC4802-20134	0.98	Block	practice	16	20131031.112301	diff	60	same	0	2702
10	20	m	PSYC4802-20134	0.98	Block	practice	17	20131031.112306	diff	60	diff	1	12335
10	20	m	PSYC4802-20134	0.98	Block	practice	18	20131031.112320	same	100	diff	0	7929
10	20	m	PSYC4802-20134	0.98	Block	practice	19	20131031.112330	diff	60	same	0	7829
10	20	m	PSYC4802-20134	0.98	Block	practice	20	20131031.112340	diff	20	diff	1	3652
10	20	m	PSYC4802-20134	0.98	Block	practice	21	20131031.112346	same	60	diff	0	1735
10	20	m	PSYC4802-20134	0.98	Block	practice	22	20131031.112350	diff	20	diff	1	3435
10	20	m	PSYC4802-20134	0.98	Block	practice	23	20131031.112355	diff	20	diff	1	3733
10	20	m	PSYC4802-20134	0.98	Block	practice	24	20131031.112401	diff	20	diff	1	3710
10	20	m	PSYC4802-20134	0.98	Block	practice	25	20131031.112406	diff	20	same	0	2585
10	20	m	PSYC4802-20134	0.98	Block	practice	26	20131031.112411	same	20	diff	0	3552
10	20	m	PSYC4802-20134	0.98	Block	practice	27	20131031.112417	diff	100	same	0	5538
10	20	m	PSYC4802-20134	0.98	Block	practice	28	20131031.112424	same	20	diff	0	4601
10	20	m	PSYC4802-20134	0.98	Block	practice	29	20131031.112431	same	100	same	1	6768
10	20	m	PSYC4802-20134	0.98	Block	practice	30	20131031.112439	diff	100	same	0	3880
10	20	m	PSYC4802-20134	0.98	Block	exp	31	20131031.112445	diff	100	diff	1	4647
10	20	m	PSYC4802-20134	0.98	Block	exp	32	20131031.112452	diff	20	diff	1	4343
10	20	m	PSYC4802-20134	0.98	Block	exp	33	20131031.112458	same	20	diff	0	2714
10	20	m	PSYC4802-20134	0.98	Block	exp	34	20131031.112503	same	60	same	1	2157
10	20	m	PSYC4802-20134	0.98	Block	exp	35	20131031.112507	same	100	diff	0	3165
10	20	m	PSYC4802-20134	0.98	Block	exp	36	20131031.112512	same	60	same	1	1612
10	20	m	PSYC4802-20134	0.98	Block	exp	37	20131031.112516	diff	20	diff	1	3183
10	20	m	PSYC4802-20134	0.98	Block	exp	38	20131031.112521	diff	60	same	0	1636
10	20	m	PSYC4802-20134	0.98	Block	exp	39	20131031.112525	same	20	diff	0	3030
10	20	m	PSYC4802-20134	0.98	Block	exp	40	20131031.112530	same	20	diff	0	1923
10	20	m	PSYC4802-20134	0.98	Block	exp	41	20131031.112534	diff	100	diff	1	4507
10	20	m	PSYC4802-20134	0.98	Block	exp	42	20131031.112540	same	100	same	1	1688
10	20	m	PSYC4802-20134	0.98	Block	exp	43	20131031.112544	same	20	same	1	2292
10	20	m	PSYC4802-20134	0.98	Block	exp	44	20131031.112548	diff	20	diff	1	1654
10	20	m	PSYC4802-20134	0.98	Block	exp	45	20131031.112552	diff	20	same	0	7612
10	20	m	PSYC4802-20134	0.98	Block	exp	46	20131031.112601	same	60	same	1	5028
10	20	m	PSYC4802-20134	0.98	Block	exp	47	20131031.112608	same	60	same	1	4694
10	20	m	PSYC4802-20134	0.98	Block	exp	48	20131031.112615	same	20	same	1	1859
10	20	m	PSYC4802-20134	0.98	Block	exp	49	20131031.112619	diff	60	diff	1	2772
10	20	m	PSYC4802-20134	0.98	Block	exp	50	20131031.112624	diff	60	same	0	2931
10	20	m	PSYC4802-20134	0.98	Block	exp	51	20131031.112633	same	60	190	-3	3546
10	20	m	PSYC4802-20134	0.98	Block	exp	52	20131031.112639	diff	60	same	0	224
10	20	m	PSYC4802-20134	0.98	Block	exp	53	20131031.112641	diff	100	same	0	3833
10	20	m	PSYC4802-20134	0.98	Block	exp	54	20131031.112647	diff	100	diff	1	3440
10	20	m	PSYC4802-20134	0.98	Block	exp	55	20131031.112652	diff	100	diff	1	3341
10	20	m	PSYC4802-20134	0.98	Block	exp	56	20131031.112657	same	100	diff	0	2287
10	20	m	PSYC4802-20134	0.98	Block	exp	57	20131031.112702	diff	20	diff	1	4736
10	20	m	PSYC4802-20134	0.98	Block	exp	58	20131031.112708	diff	20	same	0	4566
10	20	m	PSYC4802-20134	0.98	Block	exp	59	20131031.112715	diff	100	diff	1	3593
10	20	m	PSYC4802-20134	0.98	Block	exp	60	20131031.112721	diff	100	same	0	2971
10	20	m	PSYC4802-20134	0.98	Block	exp	61	20131031.112725	diff	20	diff	1	3259
10	20	m	PSYC4802-20134	0.98	Block	exp	62	20131031.112731	diff	60	diff	1	2040
10	20	m	PSYC4802-20134	0.98	Block	exp	63	20131031.112735	diff	100	same	0	1712
10	20	m	PSYC4802-20134	0.98	Block	exp	64	20131031.112738	same	20	diff	0	1823
10	20	m	PSYC4802-20134	0.98	Block	exp	65	20131031.112742	same	100	same	1	3412
10	20	m	PSYC4802-20134	0.98	Block	exp	66	20131031.112748	diff	20	diff	1	4044
10	20	m	PSYC4802-20134	0.98	Block	exp	67	20131031.112754	diff	100	same	0	2837
10	20	m	PSYC4802-20134	0.98	Block	exp	68	20131031.112759	diff	20	diff	1	4554
10	20	m	PSYC4802-20134	0.98	Block	exp	69	20131031.112805	diff	60	diff	1	5656
10	20	m	PSYC4802-20134	0.98	Block	exp	70	20131031.112813	diff	100	diff	1	4571
10	20	m	PSYC4802-20134	0.98	Block	exp	71	20131031.112819	same	20	diff	0	2064
10	20	m	PSYC4802-20134	0.98	Block	exp	72	20131031.112823	diff	20	diff	1	3282
10	20	m	PSYC4802-20134	0.98	Block	exp	73	20131031.112829	diff	20	same	0	2386
10	20	m	PSYC4802-20134	0.98	Block	exp	74	20131031.112833	diff	20	diff	1	4360
10	20	m	PSYC4802-20134	0.98	Block	exp	75	20131031.112839	same	60	same	1	3417
10	20	m	PSYC4802-20134	0.98	Block	exp	76	20131031.112845	same	60	same	1	1900
10	20	m	PSYC4802-20134	0.98	Block	exp	77	20131031.112849	same	60	same	1	1712
10	20	m	PSYC4802-20134	0.98	Block	exp	78	20131031.112852	same	100	diff	0	1068
10	20	m	PSYC4802-20134	0.98	Block	exp	79	20131031.112855	same	20	same	1	1694
10	20	m	PSYC4802-20134	0.98	Block	exp	80	20131031.112859	same	100	same	1	4718
10	20	m	PSYC4802-20134	0.98	Block	exp	81	20131031.112906	same	100	same	1	2832
10	20	m	PSYC4802-20134	0.98	Block	exp	82	20131031.112911	same	60	same	1	1062
10	20	m	PSYC4802-20134	0.98	Block	exp	83	20131031.112914	diff	60	diff	1	1712
10	20	m	PSYC4802-20134	0.98	Block	exp	84	20131031.112917	diff	20	same	0	2872
10	20	m	PSYC4802-20134	0.98	Block	exp	85	20131031.112922	diff	100	diff	1	4800
10	20	m	PSYC4802-20134	0.98	Block	exp	86	20131031.112929	diff	100	diff	1	2350
10	20	m	PSYC4802-20134	0.98	Block	exp	87	20131031.112933	same	20	same	1	1519
10	20	m	PSYC4802-20134	0.98	Block	exp	88	20131031.112937	same	20	same	1	2983
10	20	m	PSYC4802-20134	0.98	Block	exp	89	20131031.112942	same	20	same	1	1308
10	20	m	PSYC4802-20134	0.98	Block	exp	90	20131031.112945	same	100	diff	0	2855
10	20	m	PSYC4802-20134	0.98	Block	exp	91	20131031.112950	diff	60	diff	1	1367
10	20	m	PSYC4802-20134	0.98	Block	exp	92	20131031.112953	diff	60	diff	1	2274
10	20	m	PSYC4802-20134	0.98	Block	exp	93	20131031.112958	same	60	same	1	956
10	20	m	PSYC4802-20134	0.98	Block	exp	94	20131031.113000	same	60	same	1	2035
10	20	m	PSYC4802-20134	0.98	Block	exp	95	20131031.113005	same	100	same	1	956
10	20	m	PSYC4802-20134	0.98	Block	exp	96	20131031.113007	same	60	same	1	540
10	20	m	PSYC4802-20134	0.98	Block	exp	97	20131031.113010	diff	20	diff	1	851
10	20	m	PSYC4802-20134	0.98	Block	exp	98	20131031.113013	diff	20	diff	1	985
10	20	m	PSYC4802-20134	0.98	Block	exp	99	20131031.113016	diff	60	same	0	915
10	20	m	PSYC4802-20134	0.98	Block	exp	100	20131031.113019	diff	60	diff	1	1823
10	20	m	PSYC4802-20134	0.98	Block	exp	101	20131031.113032	same	60	diff	0	1507
10	20	m	PSYC4802-20134	0.98	Block	exp	102	20131031.113035	same	60	same	1	1659
10	20	m	PSYC4802-20134	0.98	Block	exp	103	20131031.113039	diff	20	diff	1	1548
10	20	m	PSYC4802-20134	0.98	Block	exp	104	20131031.113042	diff	60	diff	1	2116
10	20	m	PSYC4802-20134	0.98	Block	exp	105	20131031.113047	same	20	diff	0	1156
10	20	m	PSYC4802-20134	0.98	Block	exp	106	20131031.113050	diff	60	diff	1	1864
10	20	m	PSYC4802-20134	0.98	Block	exp	107	20131031.113054	same	100	diff	0	1214
10	20	m	PSYC4802-20134	0.98	Block	exp	108	20131031.113057	same	100	same	1	2391
10	20	m	PSYC4802-20134	0.98	Block	exp	109	20131031.113101	same	20	same	1	868
10	20	m	PSYC4802-20134	0.98	Block	exp	110	20131031.113104	same	20	diff	0	2058
10	20	m	PSYC4802-20134	0.98	Block	exp	111	20131031.113108	same	20	same	1	1595
10	20	m	PSYC4802-20134	0.98	Block	exp	112	20131031.113112	same	60	same	1	1888
10	20	m	PSYC4802-20134	0.98	Block	exp	113	20131031.113115	diff	100	diff	1	1050
10	20	m	PSYC4802-20134	0.98	Block	exp	114	20131031.113119	diff	100	diff	1	880
10	20	m	PSYC4802-20134	0.98	Block	exp	115	20131031.113121	diff	60	same	0	945
10	20	m	PSYC4802-20134	0.98	Block	exp	116	20131031.113124	diff	20	diff	1	2667
10	20	m	PSYC4802-20134	0.98	Block	exp	117	20131031.113129	diff	20	same	0	1518
10	20	m	PSYC4802-20134	0.98	Block	exp	118	20131031.113133	same	60	diff	0	1835
10	20	m	PSYC4802-20134	0.98	Block	exp	119	20131031.113136	diff	60	diff	1	2403
10	20	m	PSYC4802-20134	0.98	Block	exp	120	20131031.113141	same	60	same	1	1484
10	20	m	PSYC4802-20134	0.98	Block	exp	121	20131031.113144	same	20	same	1	675
10	20	m	PSYC4802-20134	0.98	Block	exp	122	20131031.113147	diff	60	diff	1	1015
10	20	m	PSYC4802-20134	0.98	Block	exp	123	20131031.113150	diff	20	same	0	1823
10	20	m	PSYC4802-20134	0.98	Block	exp	124	20131031.113154	diff	20	diff	1	891
10	20	m	PSYC4802-20134	0.98	Block	exp	125	20131031.113157	diff	100	same	0	2205
10	20	m	PSYC4802-20134	0.98	Block	exp	126	20131031.113201	same	20	same	1	1829
10	20	m	PSYC4802-20134	0.98	Block	exp	127	20131031.113205	diff	20	diff	1	1958
10	20	m	PSYC4802-20134	0.98	Block	exp	128	20131031.113209	same	100	same	1	1032
10	20	m	PSYC4802-20134	0.98	Block	exp	129	20131031.113212	diff	60	diff	1	2169
10	20	m	PSYC4802-20134	0.98	Block	exp	130	20131031.113216	same	100	same	1	1319
10	20	m	PSYC4802-20134	0.98	Block	exp	131	20131031.113219	same	20	same	1	1601
10	20	m	PSYC4802-20134	0.98	Block	exp	132	20131031.113223	same	100	same	1	1367
10	20	m	PSYC4802-20134	0.98	Block	exp	133	20131031.113226	same	100	same	1	1531
10	20	m	PSYC4802-20134	0.98	Block	exp	134	20131031.113230	same	60	same	1	721
10	20	m	PSYC4802-20134	0.98	Block	exp	135	20131031.113232	diff	100	diff	1	1559
10	20	m	PSYC4802-20134	0.98	Block	exp	136	20131031.113236	diff	60	diff	1	2298
10	20	m	PSYC4802-20134	0.98	Block	exp	137	20131031.113240	same	100	same	1	2070
10	20	m	PSYC4802-20134	0.98	Block	exp	138	20131031.113244	same	100	same	1	1161
10	20	m	PSYC4802-20134	0.98	Block	exp	139	20131031.113247	same	60	same	1	1062
10	20	m	PSYC4802-20134	0.98	Block	exp	140	20131031.113250	same	100	same	1	2263
10	20	m	PSYC4802-20134	0.98	Block	exp	141	20131031.113255	diff	100	same	0	3323
10	20	m	PSYC4802-20134	0.98	Block	exp	142	20131031.113300	diff	60	diff	1	1893
10	20	m	PSYC4802-20134	0.98	Block	exp	143	20131031.113304	diff	100	diff	1	3892
10	20	m	PSYC4802-20134	0.98	Block	exp	144	20131031.113310	same	20	same	1	693
10	20	m	PSYC4802-20134	0.98	Block	exp	145	20131031.113312	diff	20	same	0	1208
10	20	m	PSYC4802-20134	0.98	Block	exp	146	20131031.113316	diff	20	diff	1	1408
