Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
12	18	f	PSYC4802-20134	0.98	Block	practice	1	20131014.112244	diff	20	same	0	17649
12	18	f	PSYC4802-20134	0.98	Block	practice	2	20131014.112303	diff	20	same	0	9716
12	18	f	PSYC4802-20134	0.98	Block	practice	3	20131014.112315	same	20	same	1	8960
12	18	f	PSYC4802-20134	0.98	Block	practice	4	20131014.112326	diff	60	same	0	5673
12	18	f	PSYC4802-20134	0.98	Block	practice	5	20131014.112334	diff	60	diff	1	7355
12	18	f	PSYC4802-20134	0.98	Block	practice	6	20131014.112343	same	20	same	1	6528
12	18	f	PSYC4802-20134	0.98	Block	practice	7	20131014.112352	same	20	same	1	10097
12	18	f	PSYC4802-20134	0.98	Block	practice	8	20131014.112404	diff	60	same	0	3142
12	18	f	PSYC4802-20134	0.98	Block	practice	9	20131014.112409	same	100	diff	0	1015
12	18	f	PSYC4802-20134	0.98	Block	practice	10	20131014.112412	same	100	same	1	1302
12	18	f	PSYC4802-20134	0.98	Block	practice	11	20131014.112415	diff	100	diff	1	2064
12	18	f	PSYC4802-20134	0.98	Block	practice	12	20131014.112419	same	100	diff	0	2814
12	18	f	PSYC4802-20134	0.98	Block	practice	13	20131014.112424	same	60	same	1	2977
12	18	f	PSYC4802-20134	0.98	Block	practice	14	20131014.112429	same	60	diff	0	3124
12	18	f	PSYC4802-20134	0.98	Block	practice	15	20131014.112434	same	100	same	1	2070
12	18	f	PSYC4802-20134	0.98	Block	practice	16	20131014.112438	diff	20	diff	1	2790
12	18	f	PSYC4802-20134	0.98	Block	practice	17	20131014.112443	same	20	same	1	2093
12	18	f	PSYC4802-20134	0.98	Block	practice	18	20131014.112447	same	20	same	1	1032
12	18	f	PSYC4802-20134	0.98	Block	practice	19	20131014.112450	diff	100	diff	1	2392
12	18	f	PSYC4802-20134	0.98	Block	practice	20	20131014.112455	diff	100	same	0	3065
12	18	f	PSYC4802-20134	0.98	Block	practice	21	20131014.112500	diff	100	same	0	1173
12	18	f	PSYC4802-20134	0.98	Block	practice	22	20131014.112503	same	60	same	1	2890
12	18	f	PSYC4802-20134	0.98	Block	practice	23	20131014.112508	same	100	same	1	1337
12	18	f	PSYC4802-20134	0.98	Block	practice	24	20131014.112511	diff	60	diff	1	1272
12	18	f	PSYC4802-20134	0.98	Block	practice	25	20131014.112514	same	60	same	1	1326
12	18	f	PSYC4802-20134	0.98	Block	practice	26	20131014.112518	same	60	same	1	1671
12	18	f	PSYC4802-20134	0.98	Block	practice	27	20131014.112521	diff	20	same	0	2667
12	18	f	PSYC4802-20134	0.98	Block	practice	28	20131014.112526	diff	100	same	0	844
12	18	f	PSYC4802-20134	0.98	Block	practice	29	20131014.112529	diff	60	same	0	1613
12	18	f	PSYC4802-20134	0.98	Block	practice	30	20131014.112533	diff	20	same	0	2813
12	18	f	PSYC4802-20134	0.98	Block	exp	31	20131014.112537	same	100	same	1	2251
12	18	f	PSYC4802-20134	0.98	Block	exp	32	20131014.112542	same	20	diff	0	1940
12	18	f	PSYC4802-20134	0.98	Block	exp	33	20131014.112546	diff	60	same	0	657
12	18	f	PSYC4802-20134	0.98	Block	exp	34	20131014.112548	diff	60	same	0	1343
12	18	f	PSYC4802-20134	0.98	Block	exp	35	20131014.112552	same	100	diff	0	1964
12	18	f	PSYC4802-20134	0.98	Block	exp	36	20131014.112556	diff	60	same	0	851
12	18	f	PSYC4802-20134	0.98	Block	exp	37	20131014.112558	same	60	same	1	1905
12	18	f	PSYC4802-20134	0.98	Block	exp	38	20131014.112602	same	20	same	1	1085
12	18	f	PSYC4802-20134	0.98	Block	exp	39	20131014.112606	same	60	diff	0	1976
12	18	f	PSYC4802-20134	0.98	Block	exp	40	20131014.112610	diff	100	same	0	875
12	18	f	PSYC4802-20134	0.98	Block	exp	41	20131014.112612	same	20	same	1	827
12	18	f	PSYC4802-20134	0.98	Block	exp	42	20131014.112615	same	60	same	1	3353
12	18	f	PSYC4802-20134	0.98	Block	exp	43	20131014.112621	same	100	diff	0	1648
12	18	f	PSYC4802-20134	0.98	Block	exp	44	20131014.112624	same	60	same	1	1835
12	18	f	PSYC4802-20134	0.98	Block	exp	45	20131014.112628	diff	20	same	0	1589
12	18	f	PSYC4802-20134	0.98	Block	exp	46	20131014.112632	diff	60	same	0	1167
