Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
14	18	M	PSYC4802-20134	0.98	Block	practice	1	20131014.113103	diff	100	same	0	2521
14	18	M	PSYC4802-20134	0.98	Block	practice	2	20131014.113109	diff	100	same	0	1372
14	18	M	PSYC4802-20134	0.98	Block	practice	3	20131014.113112	diff	60	same	0	2099
14	18	M	PSYC4802-20134	0.98	Block	practice	4	20131014.113117	same	100	same	1	1553
14	18	M	PSYC4802-20134	0.98	Block	practice	5	20131014.113120	diff	20	same	0	1758
14	18	M	PSYC4802-20134	0.98	Block	practice	6	20131014.113124	same	20	same	1	1296
14	18	M	PSYC4802-20134	0.98	Block	practice	7	20131014.113127	diff	60	diff	1	1507
14	18	M	PSYC4802-20134	0.98	Block	practice	8	20131014.113131	same	20	same	1	1208
14	18	M	PSYC4802-20134	0.98	Block	practice	9	20131014.113134	same	60	same	1	1723
14	18	M	PSYC4802-20134	0.98	Block	practice	10	20131014.113138	diff	20	same	0	1993
14	18	M	PSYC4802-20134	0.98	Block	practice	11	20131014.113142	diff	60	same	0	1894
14	18	M	PSYC4802-20134	0.98	Block	practice	12	20131014.113146	same	20	same	1	868
14	18	M	PSYC4802-20134	0.98	Block	practice	13	20131014.113149	same	100	diff	0	1367
14	18	M	PSYC4802-20134	0.98	Block	practice	14	20131014.113152	diff	100	same	0	1823
14	18	M	PSYC4802-20134	0.98	Block	practice	15	20131014.113156	diff	60	diff	1	2427
14	18	M	PSYC4802-20134	0.98	Block	practice	16	20131014.113201	same	100	same	1	2966
14	18	M	PSYC4802-20134	0.98	Block	practice	17	20131014.113206	diff	20	diff	1	1794
14	18	M	PSYC4802-20134	0.98	Block	practice	18	20131014.113209	diff	100	same	0	1952
14	18	M	PSYC4802-20134	0.98	Block	practice	19	20131014.113213	diff	20	diff	1	1472
14	18	M	PSYC4802-20134	0.98	Block	practice	20	20131014.113217	same	20	same	1	1173
14	18	M	PSYC4802-20134	0.98	Block	practice	21	20131014.113220	diff	20	diff	1	1707
14	18	M	PSYC4802-20134	0.98	Block	practice	22	20131014.113224	same	100	same	1	2046
14	18	M	PSYC4802-20134	0.98	Block	practice	23	20131014.113228	diff	60	diff	1	2362
14	18	M	PSYC4802-20134	0.98	Block	practice	24	20131014.113232	same	60	same	1	1290
14	18	M	PSYC4802-20134	0.98	Block	practice	25	20131014.113236	same	100	same	1	1197
14	18	M	PSYC4802-20134	0.98	Block	practice	26	20131014.113239	diff	100	diff	1	1214
14	18	M	PSYC4802-20134	0.98	Block	practice	27	20131014.113242	same	60	same	1	1314
14	18	M	PSYC4802-20134	0.98	Block	practice	28	20131014.113246	same	20	same	1	1219
14	18	M	PSYC4802-20134	0.98	Block	practice	29	20131014.113249	same	60	diff	0	1700
14	18	M	PSYC4802-20134	0.98	Block	practice	30	20131014.113253	same	60	same	1	1548
14	18	M	PSYC4802-20134	0.98	Block	exp	31	20131014.113256	same	100	same	1	1424
14	18	M	PSYC4802-20134	0.98	Block	exp	32	20131014.113300	same	20	same	1	1097
14	18	M	PSYC4802-20134	0.98	Block	exp	33	20131014.113303	same	20	same	1	1407
14	18	M	PSYC4802-20134	0.98	Block	exp	34	20131014.113306	diff	60	diff	1	2081
14	18	M	PSYC4802-20134	0.98	Block	exp	35	20131014.113311	diff	60	diff	1	1882
14	18	M	PSYC4802-20134	0.98	Block	exp	36	20131014.113314	diff	60	diff	1	1554
14	18	M	PSYC4802-20134	0.98	Block	exp	37	20131014.113318	same	100	diff	0	1840
14	18	M	PSYC4802-20134	0.98	Block	exp	38	20131014.113322	diff	20	diff	1	1431
14	18	M	PSYC4802-20134	0.98	Block	exp	39	20131014.113325	diff	20	diff	1	1490
14	18	M	PSYC4802-20134	0.98	Block	exp	40	20131014.113329	same	20	same	1	1244
14	18	M	PSYC4802-20134	0.98	Block	exp	41	20131014.113332	diff	20	diff	1	1940
14	18	M	PSYC4802-20134	0.98	Block	exp	42	20131014.113336	diff	60	same	0	1565
14	18	M	PSYC4802-20134	0.98	Block	exp	43	20131014.113340	diff	20	diff	1	1841
14	18	M	PSYC4802-20134	0.98	Block	exp	44	20131014.113344	same	20	same	1	1548
14	18	M	PSYC4802-20134	0.98	Block	exp	45	20131014.113347	diff	60	same	0	2152
14	18	M	PSYC4802-20134	0.98	Block	exp	46	20131014.113352	same	20	same	1	2040
14	18	M	PSYC4802-20134	0.98	Block	exp	47	20131014.113356	diff	20	diff	1	1654
14	18	M	PSYC4802-20134	0.98	Block	exp	48	20131014.113359	same	100	same	1	1723
14	18	M	PSYC4802-20134	0.98	Block	exp	49	20131014.113403	same	100	diff	0	1946
14	18	M	PSYC4802-20134	0.98	Block	exp	50	20131014.113407	same	100	same	1	1150
14	18	M	PSYC4802-20134	0.98	Block	exp	51	20131014.113413	same	100	same	1	1425
14	18	M	PSYC4802-20134	0.98	Block	exp	52	20131014.113417	same	60	diff	0	1923
14	18	M	PSYC4802-20134	0.98	Block	exp	53	20131014.113421	same	60	same	1	985
14	18	M	PSYC4802-20134	0.98	Block	exp	54	20131014.113424	diff	100	diff	1	1818
14	18	M	PSYC4802-20134	0.98	Block	exp	55	20131014.113428	same	100	same	1	1097
14	18	M	PSYC4802-20134	0.98	Block	exp	56	20131014.113431	diff	60	diff	1	1407
14	18	M	PSYC4802-20134	0.98	Block	exp	57	20131014.113435	diff	100	same	0	1853
14	18	M	PSYC4802-20134	0.98	Block	exp	58	20131014.113438	same	60	same	1	1829
14	18	M	PSYC4802-20134	0.98	Block	exp	59	20131014.113442	diff	100	diff	1	2275
14	18	M	PSYC4802-20134	0.98	Block	exp	60	20131014.113447	same	100	diff	0	2146
14	18	M	PSYC4802-20134	0.98	Block	exp	61	20131014.113451	same	60	same	1	1407
14	18	M	PSYC4802-20134	0.98	Block	exp	62	20131014.113454	same	60	same	1	1009
14	18	M	PSYC4802-20134	0.98	Block	exp	63	20131014.113457	same	60	same	1	1882
14	18	M	PSYC4802-20134	0.98	Block	exp	64	20131014.113501	diff	20	diff	1	1630
14	18	M	PSYC4802-20134	0.98	Block	exp	65	20131014.113505	same	100	same	1	2034
14	18	M	PSYC4802-20134	0.98	Block	exp	66	20131014.113509	diff	60	diff	1	1267
14	18	M	PSYC4802-20134	0.98	Block	exp	67	20131014.113512	same	100	same	1	1449
14	18	M	PSYC4802-20134	0.98	Block	exp	68	20131014.113516	same	100	same	1	1320
14	18	M	PSYC4802-20134	0.98	Block	exp	69	20131014.113519	diff	60	diff	1	968
14	18	M	PSYC4802-20134	0.98	Block	exp	70	20131014.113522	same	20	same	1	979
14	18	M	PSYC4802-20134	0.98	Block	exp	71	20131014.113525	same	20	same	1	786
14	18	M	PSYC4802-20134	0.98	Block	exp	72	20131014.113528	diff	20	diff	1	1518
14	18	M	PSYC4802-20134	0.98	Block	exp	73	20131014.113532	diff	20	same	0	1337
14	18	M	PSYC4802-20134	0.98	Block	exp	74	20131014.113535	diff	20	diff	1	2814
14	18	M	PSYC4802-20134	0.98	Block	exp	75	20131014.113540	same	100	same	1	1484
14	18	M	PSYC4802-20134	0.98	Block	exp	76	20131014.113544	diff	100	diff	1	1490
14	18	M	PSYC4802-20134	0.98	Block	exp	77	20131014.113547	diff	100	diff	1	1876
14	18	M	PSYC4802-20134	0.98	Block	exp	78	20131014.113551	diff	20	diff	1	2849
14	18	M	PSYC4802-20134	0.98	Block	exp	79	20131014.113556	same	100	same	1	2029
14	18	M	PSYC4802-20134	0.98	Block	exp	80	20131014.113600	diff	100	same	0	1525
14	18	M	PSYC4802-20134	0.98	Block	exp	81	20131014.113604	diff	60	diff	1	2116
14	18	M	PSYC4802-20134	0.98	Block	exp	82	20131014.113608	diff	60	diff	1	1425
14	18	M	PSYC4802-20134	0.98	Block	exp	83	20131014.113611	same	100	same	1	2802
14	18	M	PSYC4802-20134	0.98	Block	exp	84	20131014.113616	diff	100	diff	1	1940
14	18	M	PSYC4802-20134	0.98	Block	exp	85	20131014.113620	same	20	same	1	1320
14	18	M	PSYC4802-20134	0.98	Block	exp	86	20131014.113623	same	100	diff	0	757
14	18	M	PSYC4802-20134	0.98	Block	exp	87	20131014.113626	same	100	same	1	1097
