Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
23	20	f	PSYC4802-20134	0.98	Block	practice	1	20131016.104926	diff	60	diff	1	14854
23	20	f	PSYC4802-20134	0.98	Block	practice	2	20131016.104943	same	100	same	1	4817
23	20	f	PSYC4802-20134	0.98	Block	practice	3	20131016.104950	diff	100	diff	1	6804
23	20	f	PSYC4802-20134	0.98	Block	practice	4	20131016.104959	diff	100	diff	1	4647
23	20	f	PSYC4802-20134	0.98	Block	practice	5	20131016.105006	diff	20	same	0	5526
23	20	f	PSYC4802-20134	0.98	Block	practice	6	20131016.105014	same	60	same	1	3598
23	20	f	PSYC4802-20134	0.98	Block	practice	7	20131016.105019	diff	60	diff	1	6405
23	20	f	PSYC4802-20134	0.98	Block	practice	8	20131016.105028	same	100	same	1	1396
23	20	f	PSYC4802-20134	0.98	Block	practice	9	20131016.105031	same	60	same	1	3804
23	20	f	PSYC4802-20134	0.98	Block	practice	10	20131016.105037	same	20	same	1	1096
23	20	f	PSYC4802-20134	0.98	Block	practice	11	20131016.105040	same	20	same	1	1114
23	20	f	PSYC4802-20134	0.98	Block	practice	12	20131016.105043	same	60	same	1	857
23	20	f	PSYC4802-20134	0.98	Block	practice	13	20131016.105046	diff	100	diff	1	1067
23	20	f	PSYC4802-20134	0.98	Block	practice	14	20131016.105049	diff	60	diff	1	2076
23	20	f	PSYC4802-20134	0.98	Block	practice	15	20131016.105054	same	100	same	1	1806
23	20	f	PSYC4802-20134	0.98	Block	practice	16	20131016.105057	diff	60	diff	1	1935
23	20	f	PSYC4802-20134	0.98	Block	practice	17	20131016.105101	diff	20	diff	1	1490
23	20	f	PSYC4802-20134	0.98	Block	practice	18	20131016.105105	same	60	same	1	1531
23	20	f	PSYC4802-20134	0.98	Block	practice	19	20131016.105108	diff	100	diff	1	4131
23	20	f	PSYC4802-20134	0.98	Block	practice	20	20131016.105115	diff	20	diff	1	4108
23	20	f	PSYC4802-20134	0.98	Block	practice	21	20131016.105121	same	60	same	1	2486
23	20	f	PSYC4802-20134	0.98	Block	practice	22	20131016.105125	diff	20	diff	1	1290
23	20	f	PSYC4802-20134	0.98	Block	practice	23	20131016.105129	diff	20	diff	1	3628
23	20	f	PSYC4802-20134	0.98	Block	practice	24	20131016.105134	same	100	same	1	2245
23	20	f	PSYC4802-20134	0.98	Block	practice	25	20131016.105139	same	20	same	1	1402
23	20	f	PSYC4802-20134	0.98	Block	practice	26	20131016.105142	diff	60	diff	1	3470
23	20	f	PSYC4802-20134	0.98	Block	practice	27	20131016.105148	same	20	same	1	868
23	20	f	PSYC4802-20134	0.98	Block	practice	28	20131016.105151	same	100	same	1	1940
23	20	f	PSYC4802-20134	0.98	Block	practice	29	20131016.105155	same	20	same	1	956
