Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
24	20	F	PSYC4802-20134	0.98	Block	practice	1	20131016.105002	diff	100	same	0	2345
24	20	F	PSYC4802-20134	0.98	Block	practice	2	20131016.105007	diff	20	diff	1	18410
24	20	F	PSYC4802-20134	0.98	Block	practice	3	20131016.105028	same	20	same	1	2520
24	20	F	PSYC4802-20134	0.98	Block	practice	4	20131016.105032	same	60	same	1	8134
24	20	F	PSYC4802-20134	0.98	Block	practice	5	20131016.105043	same	100	same	1	3633
24	20	F	PSYC4802-20134	0.98	Block	practice	6	20131016.105048	diff	60	diff	1	2761
24	20	F	PSYC4802-20134	0.98	Block	practice	7	20131016.105053	diff	100	same	0	1976
24	20	F	PSYC4802-20134	0.98	Block	practice	8	20131016.105057	same	100	same	1	2766
24	20	F	PSYC4802-20134	0.98	Block	practice	9	20131016.105102	same	20	same	1	1882
24	20	F	PSYC4802-20134	0.98	Block	practice	10	20131016.105106	diff	20	diff	1	4413
24	20	F	PSYC4802-20134	0.98	Block	practice	11	20131016.105112	diff	20	diff	1	3382
24	20	F	PSYC4802-20134	0.98	Block	practice	12	20131016.105118	same	20	same	1	1414
24	20	F	PSYC4802-20134	0.98	Block	practice	13	20131016.105121	same	100	same	1	2222
24	20	F	PSYC4802-20134	0.98	Block	practice	14	20131016.105125	same	60	same	1	1782
24	20	F	PSYC4802-20134	0.98	Block	practice	15	20131016.105129	diff	20	diff	1	1882
24	20	F	PSYC4802-20134	0.98	Block	practice	16	20131016.105133	diff	20	diff	1	3147
24	20	F	PSYC4802-20134	0.98	Block	practice	17	20131016.105138	same	60	same	1	898
24	20	F	PSYC4802-20134	0.98	Block	practice	18	20131016.105141	same	60	same	1	2327
24	20	F	PSYC4802-20134	0.98	Block	practice	19	20131016.105145	same	20	same	1	2509
24	20	F	PSYC4802-20134	0.98	Block	practice	20	20131016.105150	same	100	same	1	1518
24	20	F	PSYC4802-20134	0.98	Block	practice	21	20131016.105154	diff	60	diff	1	2081
24	20	F	PSYC4802-20134	0.98	Block	practice	22	20131016.105158	diff	100	diff	1	2040
24	20	F	PSYC4802-20134	0.98	Block	practice	23	20131016.105202	same	100	same	1	2503
24	20	F	PSYC4802-20134	0.98	Block	practice	24	20131016.105206	diff	60	diff	1	1542
24	20	F	PSYC4802-20134	0.98	Block	practice	25	20131016.105210	same	60	same	1	1536
24	20	F	PSYC4802-20134	0.98	Block	practice	26	20131016.105213	same	20	same	1	1232
24	20	F	PSYC4802-20134	0.98	Block	practice	27	20131016.105217	diff	60	diff	1	2133
24	20	F	PSYC4802-20134	0.98	Block	practice	28	20131016.105221	diff	60	diff	1	1677
24	20	F	PSYC4802-20134	0.98	Block	practice	29	20131016.105224	diff	100	diff	1	3160
24	20	F	PSYC4802-20134	0.98	Block	practice	30	20131016.105230	diff	100	diff	1	1905
24	20	F	PSYC4802-20134	0.98	Block	exp	31	20131016.105234	diff	100	diff	1	2550
24	20	F	PSYC4802-20134	0.98	Block	exp	32	20131016.105238	same	60	same	1	1061
24	20	F	PSYC4802-20134	0.98	Block	exp	33	20131016.105241	diff	100	diff	1	1490
24	20	F	PSYC4802-20134	0.98	Block	exp	34	20131016.105245	same	20	same	1	1513
24	20	F	PSYC4802-20134	0.98	Block	exp	35	20131016.105248	diff	60	diff	1	1319
24	20	F	PSYC4802-20134	0.98	Block	exp	36	20131016.105252	same	60	same	1	1079
24	20	F	PSYC4802-20134	0.98	Block	exp	37	20131016.105255	same	60	same	1	1659
24	20	F	PSYC4802-20134	0.98	Block	exp	38	20131016.105259	diff	60	diff	1	968
24	20	F	PSYC4802-20134	0.98	Block	exp	39	20131016.105302	diff	60	diff	1	997
24	20	F	PSYC4802-20134	0.98	Block	exp	40	20131016.105305	same	100	diff	0	1946
24	20	F	PSYC4802-20134	0.98	Block	exp	41	20131016.105309	diff	20	diff	1	1993
24	20	F	PSYC4802-20134	0.98	Block	exp	42	20131016.105313	same	60	same	1	1091
24	20	F	PSYC4802-20134	0.98	Block	exp	43	20131016.105316	same	100	same	1	1964
24	20	F	PSYC4802-20134	0.98	Block	exp	44	20131016.105320	same	100	same	1	2984
24	20	F	PSYC4802-20134	0.98	Block	exp	45	20131016.105325	diff	100	diff	1	1279
24	20	F	PSYC4802-20134	0.98	Block	exp	46	20131016.105328	same	100	same	1	1513
24	20	F	PSYC4802-20134	0.98	Block	exp	47	20131016.105332	same	20	same	1	1677
24	20	F	PSYC4802-20134	0.98	Block	exp	48	20131016.105335	same	20	same	1	1155
24	20	F	PSYC4802-20134	0.98	Block	exp	49	20131016.105338	diff	100	diff	1	1190
24	20	F	PSYC4802-20134	0.98	Block	exp	50	20131016.105342	diff	100	diff	1	1601
24	20	F	PSYC4802-20134	0.98	Block	exp	51	20131016.105351	same	100	diff	0	1958
24	20	F	PSYC4802-20134	0.98	Block	exp	52	20131016.105355	same	20	same	1	921
24	20	F	PSYC4802-20134	0.98	Block	exp	53	20131016.105358	same	100	diff	0	1466
24	20	F	PSYC4802-20134	0.98	Block	exp	54	20131016.105401	diff	20	diff	1	1172
24	20	F	PSYC4802-20134	0.98	Block	exp	55	20131016.105404	same	20	same	1	973
24	20	F	PSYC4802-20134	0.98	Block	exp	56	20131016.105407	diff	60	diff	1	933
24	20	F	PSYC4802-20134	0.98	Block	exp	57	20131016.105410	same	60	same	1	1817
24	20	F	PSYC4802-20134	0.98	Block	exp	58	20131016.105414	same	20	same	1	1225
24	20	F	PSYC4802-20134	0.98	Block	exp	59	20131016.105417	diff	60	diff	1	1448
24	20	F	PSYC4802-20134	0.98	Block	exp	60	20131016.105421	same	100	same	1	1436
24	20	F	PSYC4802-20134	0.98	Block	exp	61	20131016.105424	same	60	same	1	768
24	20	F	PSYC4802-20134	0.98	Block	exp	62	20131016.105427	diff	100	diff	1	1331
24	20	F	PSYC4802-20134	0.98	Block	exp	63	20131016.105431	diff	60	diff	1	1132
24	20	F	PSYC4802-20134	0.98	Block	exp	64	20131016.105434	diff	100	diff	1	1671
24	20	F	PSYC4802-20134	0.98	Block	exp	65	20131016.105437	same	100	same	1	1507
24	20	F	PSYC4802-20134	0.98	Block	exp	66	20131016.105441	same	100	same	1	2409
24	20	F	PSYC4802-20134	0.98	Block	exp	67	20131016.105445	diff	60	diff	1	1524
24	20	F	PSYC4802-20134	0.98	Block	exp	68	20131016.105449	same	60	same	1	2040
24	20	F	PSYC4802-20134	0.98	Block	exp	69	20131016.105453	diff	60	diff	1	986
24	20	F	PSYC4802-20134	0.98	Block	exp	70	20131016.105456	same	60	same	1	2046
24	20	F	PSYC4802-20134	0.98	Block	exp	71	20131016.105500	diff	20	diff	1	1209
24	20	F	PSYC4802-20134	0.98	Block	exp	72	20131016.105503	diff	100	diff	1	1694
24	20	F	PSYC4802-20134	0.98	Block	exp	73	20131016.105507	same	100	same	1	1560
24	20	F	PSYC4802-20134	0.98	Block	exp	74	20131016.105511	same	60	same	1	1179
24	20	F	PSYC4802-20134	0.98	Block	exp	75	20131016.105514	diff	60	diff	1	1870
24	20	F	PSYC4802-20134	0.98	Block	exp	76	20131016.105518	diff	60	diff	1	1618
24	20	F	PSYC4802-20134	0.98	Block	exp	77	20131016.105521	diff	100	diff	1	1571
24	20	F	PSYC4802-20134	0.98	Block	exp	78	20131016.105525	same	20	same	1	903
24	20	F	PSYC4802-20134	0.98	Block	exp	79	20131016.105528	same	100	same	1	1852
24	20	F	PSYC4802-20134	0.98	Block	exp	80	20131016.105532	diff	20	diff	1	2116
24	20	F	PSYC4802-20134	0.98	Block	exp	81	20131016.105536	same	20	same	1	763
24	20	F	PSYC4802-20134	0.98	Block	exp	82	20131016.105538	diff	60	diff	1	1049
24	20	F	PSYC4802-20134	0.98	Block	exp	83	20131016.105541	diff	60	diff	1	2931
24	20	F	PSYC4802-20134	0.98	Block	exp	84	20131016.105546	same	60	same	1	851
24	20	F	PSYC4802-20134	0.98	Block	exp	85	20131016.105549	same	100	same	1	1525
24	20	F	PSYC4802-20134	0.98	Block	exp	86	20131016.105553	diff	20	diff	1	1770
24	20	F	PSYC4802-20134	0.98	Block	exp	87	20131016.105557	same	20	same	1	798
24	20	F	PSYC4802-20134	0.98	Block	exp	88	20131016.105559	diff	20	diff	1	1167
24	20	F	PSYC4802-20134	0.98	Block	exp	89	20131016.105603	diff	100	diff	1	1226
24	20	F	PSYC4802-20134	0.98	Block	exp	90	20131016.105606	same	100	same	1	1806
24	20	F	PSYC4802-20134	0.98	Block	exp	91	20131016.105610	same	20	same	1	898
24	20	F	PSYC4802-20134	0.98	Block	exp	92	20131016.105613	same	100	same	1	1665
24	20	F	PSYC4802-20134	0.98	Block	exp	93	20131016.105616	same	60	same	1	1085
24	20	F	PSYC4802-20134	0.98	Block	exp	94	20131016.105619	same	20	same	1	751
24	20	F	PSYC4802-20134	0.98	Block	exp	95	20131016.105622	same	60	same	1	2544
24	20	F	PSYC4802-20134	0.98	Block	exp	96	20131016.105627	same	100	same	1	1536
24	20	F	PSYC4802-20134	0.98	Block	exp	97	20131016.105630	same	100	same	1	1817
24	20	F	PSYC4802-20134	0.98	Block	exp	98	20131016.105634	same	100	same	1	2187
24	20	F	PSYC4802-20134	0.98	Block	exp	99	20131016.105638	diff	60	diff	1	1630
