Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
44	19	 M	PSYC4802-20134	0.98	Block	practice	1	20131016.115901	same	20	diff	0	7888
44	19	 M	PSYC4802-20134	0.98	Block	practice	2	20131016.115911	diff	60	diff	1	7975
44	19	 M	PSYC4802-20134	0.98	Block	practice	3	20131016.115921	diff	20	diff	1	1887
44	19	 M	PSYC4802-20134	0.98	Block	practice	4	20131016.115925	same	60	same	1	1255
44	19	 M	PSYC4802-20134	0.98	Block	practice	5	20131016.115928	diff	60	same	0	1577
44	19	 M	PSYC4802-20134	0.98	Block	practice	6	20131016.115932	diff	100	same	0	4829
44	19	 M	PSYC4802-20134	0.98	Block	practice	7	20131016.115938	same	100	same	1	1430
44	19	 M	PSYC4802-20134	0.98	Block	practice	8	20131016.115942	same	20	same	1	1131
44	19	 M	PSYC4802-20134	0.98	Block	practice	9	20131016.115945	same	100	same	1	1120
44	19	 M	PSYC4802-20134	0.98	Block	practice	10	20131016.115948	diff	60	same	0	1202
44	19	 M	PSYC4802-20134	0.98	Block	practice	11	20131016.115951	same	60	same	1	639
44	19	 M	PSYC4802-20134	0.98	Block	practice	12	20131016.115954	same	100	same	1	968
44	19	 M	PSYC4802-20134	0.98	Block	practice	13	20131016.115957	diff	20	diff	1	739
44	19	 M	PSYC4802-20134	0.98	Block	practice	14	20131016.120000	same	100	diff	0	874
44	19	 M	PSYC4802-20134	0.98	Block	practice	15	20131016.120002	diff	100	same	0	646
44	19	 M	PSYC4802-20134	0.98	Block	practice	16	20131016.120005	diff	20	same	0	780
44	19	 M	PSYC4802-20134	0.98	Block	practice	17	20131016.120008	diff	100	same	0	716
44	19	 M	PSYC4802-20134	0.98	Block	practice	18	20131016.120011	diff	20	diff	1	716
44	19	 M	PSYC4802-20134	0.98	Block	practice	19	20131016.120013	same	20	diff	0	388
44	19	 M	PSYC4802-20134	0.98	Block	practice	20	20131016.120016	same	100	same	1	212
44	19	 M	PSYC4802-20134	0.98	Block	practice	21	20131016.120018	diff	100	diff	1	973
44	19	 M	PSYC4802-20134	0.98	Block	practice	22	20131016.120021	same	20	same	1	1003
44	19	 M	PSYC4802-20134	0.98	Block	practice	23	20131016.120024	same	60	same	1	645
