Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
47	19	M	PSYC4802-20134	0.98	Block	practice	1	20131016.120333	same	60	same	1	2924
47	19	M	PSYC4802-20134	0.98	Block	practice	2	20131016.120338	diff	20	diff	1	1395
47	19	M	PSYC4802-20134	0.98	Block	practice	3	20131016.120341	same	20	same	1	1443
47	19	M	PSYC4802-20134	0.98	Block	practice	4	20131016.120344	same	100	diff	0	2140
47	19	M	PSYC4802-20134	0.98	Block	practice	5	20131016.120349	diff	100	same	0	2333
47	19	M	PSYC4802-20134	0.98	Block	practice	6	20131016.120353	diff	20	diff	1	18546
47	19	M	PSYC4802-20134	0.98	Block	practice	7	20131016.120413	same	100	same	1	2140
47	19	M	PSYC4802-20134	0.98	Block	practice	8	20131016.120418	same	60	same	1	3042
47	19	M	PSYC4802-20134	0.98	Block	practice	9	20131016.120423	diff	100	diff	1	1477
47	19	M	PSYC4802-20134	0.98	Block	practice	10	20131016.120426	diff	100	same	0	2550
47	19	M	PSYC4802-20134	0.98	Block	practice	11	20131016.120431	diff	60	diff	1	1812
47	19	M	PSYC4802-20134	0.98	Block	practice	12	20131016.120435	same	60	same	1	1401
47	19	M	PSYC4802-20134	0.98	Block	practice	13	20131016.120438	diff	60	diff	1	1507
47	19	M	PSYC4802-20134	0.98	Block	practice	14	20131016.120441	same	20	same	1	1279
47	19	M	PSYC4802-20134	0.98	Block	practice	15	20131016.120445	same	20	same	1	605
47	19	M	PSYC4802-20134	0.98	Block	practice	16	20131016.120447	same	20	same	1	2996
47	19	M	PSYC4802-20134	0.98	Block	practice	17	20131016.120452	diff	20	diff	1	1736
47	19	M	PSYC4802-20134	0.98	Block	practice	18	20131016.120456	diff	100	diff	1	1449
47	19	M	PSYC4802-20134	0.98	Block	practice	19	20131016.120500	same	20	same	1	944
47	19	M	PSYC4802-20134	0.98	Block	practice	20	20131016.120503	diff	60	diff	1	1015
47	19	M	PSYC4802-20134	0.98	Block	practice	21	20131016.120506	diff	20	diff	1	927
47	19	M	PSYC4802-20134	0.98	Block	practice	22	20131016.120509	diff	20	diff	1	1378
47	19	M	PSYC4802-20134	0.98	Block	practice	23	20131016.120512	same	100	same	1	1383
47	19	M	PSYC4802-20134	0.98	Block	practice	24	20131016.120516	same	60	diff	0	1202
47	19	M	PSYC4802-20134	0.98	Block	practice	25	20131016.120519	diff	100	diff	1	1717
47	19	M	PSYC4802-20134	0.98	Block	practice	26	20131016.120523	same	100	same	1	2931
47	19	M	PSYC4802-20134	0.98	Block	practice	27	20131016.120528	same	100	diff	0	780
47	19	M	PSYC4802-20134	0.98	Block	practice	28	20131016.120530	diff	60	diff	1	1085
47	19	M	PSYC4802-20134	0.98	Block	practice	29	20131016.120533	diff	60	diff	1	1379
47	19	M	PSYC4802-20134	0.98	Block	practice	30	20131016.120537	same	60	same	1	686
47	19	M	PSYC4802-20134	0.98	Block	exp	31	20131016.120540	same	100	diff	0	687
47	19	M	PSYC4802-20134	0.98	Block	exp	32	20131016.120542	same	100	same	1	851
47	19	M	PSYC4802-20134	0.98	Block	exp	33	20131016.120545	same	100	diff	0	1009
47	19	M	PSYC4802-20134	0.98	Block	exp	34	20131016.120548	diff	20	same	0	2322
47	19	M	PSYC4802-20134	0.98	Block	exp	35	20131016.120553	same	20	same	1	710
47	19	M	PSYC4802-20134	0.98	Block	exp	36	20131016.120555	diff	60	diff	1	991
47	19	M	PSYC4802-20134	0.98	Block	exp	37	20131016.120558	diff	20	diff	1	769
47	19	M	PSYC4802-20134	0.98	Block	exp	38	20131016.120601	diff	60	diff	1	869
47	19	M	PSYC4802-20134	0.98	Block	exp	39	20131016.120604	diff	100	diff	1	1512
