Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
57	19	M	PSYC4802-20134	0.98	Block	practice	1	20131021.105049	diff	60	diff	1	9340
57	19	M	PSYC4802-20134	0.98	Block	practice	2	20131021.105102	same	20	same	1	2257
57	19	M	PSYC4802-20134	0.98	Block	practice	3	20131021.105106	same	20	same	1	1389
57	19	M	PSYC4802-20134	0.98	Block	practice	4	20131021.105109	same	60	same	1	2344
57	19	M	PSYC4802-20134	0.98	Block	practice	5	20131021.105114	diff	20	diff	1	1677
57	19	M	PSYC4802-20134	0.98	Block	practice	6	20131021.105117	diff	60	diff	1	1653
57	19	M	PSYC4802-20134	0.98	Block	practice	7	20131021.105121	same	20	same	1	1823
57	19	M	PSYC4802-20134	0.98	Block	practice	8	20131021.105125	same	100	diff	0	4852
57	19	M	PSYC4802-20134	0.98	Block	practice	9	20131021.105132	same	60	same	1	5402
57	19	M	PSYC4802-20134	0.98	Block	practice	10	20131021.105139	same	20	same	1	3382
57	19	M	PSYC4802-20134	0.98	Block	practice	11	20131021.105144	diff	100	diff	1	4688
57	19	M	PSYC4802-20134	0.98	Block	practice	12	20131021.105151	diff	60	diff	1	1242
57	19	M	PSYC4802-20134	0.98	Block	practice	13	20131021.105154	same	100	same	1	2327
57	19	M	PSYC4802-20134	0.98	Block	practice	14	20131021.105159	diff	100	same	0	9604
57	19	M	PSYC4802-20134	0.98	Block	practice	15	20131021.105210	same	100	same	1	1278
57	19	M	PSYC4802-20134	0.98	Block	practice	16	20131021.105214	same	60	same	1	1207
57	19	M	PSYC4802-20134	0.98	Block	practice	17	20131021.105217	same	20	same	1	4711
57	19	M	PSYC4802-20134	0.98	Block	practice	18	20131021.105224	diff	100	diff	1	3797
57	19	M	PSYC4802-20134	0.98	Block	practice	19	20131021.105229	diff	20	diff	1	4172
57	19	M	PSYC4802-20134	0.98	Block	practice	20	20131021.105235	diff	60	diff	1	2754
57	19	M	PSYC4802-20134	0.98	Block	practice	21	20131021.105240	diff	20	diff	1	3920
