Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
63	29	M	PSYC4802-20134	0.98	Block	practice	1	20131021.112443	diff	100	multi	-2	12786
63	29	M	PSYC4802-20134	0.98	Block	practice	2	20131021.112459	diff	100	diff	1	8093
63	29	M	PSYC4802-20134	0.98	Block	practice	3	20131021.112509	diff	60	diff	1	5297
63	29	M	PSYC4802-20134	0.98	Block	practice	4	20131021.112516	diff	20	diff	1	5585
63	29	M	PSYC4802-20134	0.98	Block	practice	5	20131021.112524	same	100	same	1	3804
63	29	M	PSYC4802-20134	0.98	Block	practice	6	20131021.112530	diff	20	diff	1	5620
63	29	M	PSYC4802-20134	0.98	Block	practice	7	20131021.112537	same	20	same	1	4460
63	29	M	PSYC4802-20134	0.98	Block	practice	8	20131021.112544	same	60	same	1	2526
63	29	M	PSYC4802-20134	0.98	Block	practice	9	20131021.112548	same	20	same	1	1478
63	29	M	PSYC4802-20134	0.98	Block	practice	10	20131021.112552	diff	60	diff	1	3827
63	29	M	PSYC4802-20134	0.98	Block	practice	11	20131021.112558	diff	60	diff	1	4518
63	29	M	PSYC4802-20134	0.98	Block	practice	12	20131021.112604	same	100	same	1	3722
63	29	M	PSYC4802-20134	0.98	Block	practice	13	20131021.112610	same	100	same	1	1407
63	29	M	PSYC4802-20134	0.98	Block	practice	14	20131021.112614	diff	20	diff	1	1577
63	29	M	PSYC4802-20134	0.98	Block	practice	15	20131021.112617	diff	100	same	0	4290
63	29	M	PSYC4802-20134	0.98	Block	practice	16	20131021.112624	diff	60	diff	1	5369
63	29	M	PSYC4802-20134	0.98	Block	practice	17	20131021.112631	diff	20	diff	1	3265
63	29	M	PSYC4802-20134	0.98	Block	practice	18	20131021.112636	diff	100	diff	1	1800
63	29	M	PSYC4802-20134	0.98	Block	practice	19	20131021.112640	diff	20	diff	1	2457
63	29	M	PSYC4802-20134	0.98	Block	practice	20	20131021.112644	same	100	same	1	2099
63	29	M	PSYC4802-20134	0.98	Block	practice	21	20131021.112649	diff	60	diff	1	1050
63	29	M	PSYC4802-20134	0.98	Block	practice	22	20131021.112652	same	20	same	1	1619
63	29	M	PSYC4802-20134	0.98	Block	practice	23	20131021.112655	same	60	diff	0	1149
63	29	M	PSYC4802-20134	0.98	Block	practice	24	20131021.112659	same	20	same	1	1806
63	29	M	PSYC4802-20134	0.98	Block	practice	25	20131021.112702	same	60	same	1	716
63	29	M	PSYC4802-20134	0.98	Block	practice	26	20131021.112705	same	20	same	1	658
63	29	M	PSYC4802-20134	0.98	Block	practice	27	20131021.112708	same	60	same	1	957
63	29	M	PSYC4802-20134	0.98	Block	practice	28	20131021.112711	same	60	same	1	1700
63	29	M	PSYC4802-20134	0.98	Block	practice	29	20131021.112715	same	100	diff	0	1484
63	29	M	PSYC4802-20134	0.98	Block	practice	30	20131021.112718	diff	100	same	0	851
63	29	M	PSYC4802-20134	0.98	Block	exp	31	20131021.112721	diff	100	diff	1	2398
63	29	M	PSYC4802-20134	0.98	Block	exp	32	20131021.112725	same	100	diff	0	1127
63	29	M	PSYC4802-20134	0.98	Block	exp	33	20131021.112728	diff	100	same	0	1372
63	29	M	PSYC4802-20134	0.98	Block	exp	34	20131021.112732	same	20	same	1	1255
63	29	M	PSYC4802-20134	0.98	Block	exp	35	20131021.112735	same	20	same	1	921
63	29	M	PSYC4802-20134	0.98	Block	exp	36	20131021.112738	diff	60	diff	1	868
63	29	M	PSYC4802-20134	0.98	Block	exp	37	20131021.112741	diff	100	diff	1	1337
63	29	M	PSYC4802-20134	0.98	Block	exp	38	20131021.112744	same	20	same	1	1091
63	29	M	PSYC4802-20134	0.98	Block	exp	39	20131021.112747	same	100	diff	0	1906
63	29	M	PSYC4802-20134	0.98	Block	exp	40	20131021.112751	diff	60	diff	1	1337
63	29	M	PSYC4802-20134	0.98	Block	exp	41	20131021.112755	diff	20	same	0	2075
63	29	M	PSYC4802-20134	0.98	Block	exp	42	20131021.112759	same	100	same	1	3341
63	29	M	PSYC4802-20134	0.98	Block	exp	43	20131021.112804	same	20	same	1	1062
63	29	M	PSYC4802-20134	0.98	Block	exp	44	20131021.112807	same	60	same	1	1162
63	29	M	PSYC4802-20134	0.98	Block	exp	45	20131021.112810	diff	20	same	0	1700
63	29	M	PSYC4802-20134	0.98	Block	exp	46	20131021.112814	same	20	same	1	1888
63	29	M	PSYC4802-20134	0.98	Block	exp	47	20131021.112818	diff	20	diff	1	1730
63	29	M	PSYC4802-20134	0.98	Block	exp	48	20131021.112822	same	100	same	1	1707
63	29	M	PSYC4802-20134	0.98	Block	exp	49	20131021.112825	diff	100	diff	1	3247
63	29	M	PSYC4802-20134	0.98	Block	exp	50	20131021.112831	diff	20	diff	1	2960
63	29	M	PSYC4802-20134	0.98	Block	exp	51	20131021.112853	diff	60	diff	1	1308
63	29	M	PSYC4802-20134	0.98	Block	exp	52	20131021.112857	diff	60	diff	1	2955
63	29	M	PSYC4802-20134	0.98	Block	exp	53	20131021.112902	diff	100	diff	1	1408
63	29	M	PSYC4802-20134	0.98	Block	exp	54	20131021.112905	diff	60	diff	1	2140
63	29	M	PSYC4802-20134	0.98	Block	exp	55	20131021.112909	same	60	diff	0	1068
63	29	M	PSYC4802-20134	0.98	Block	exp	56	20131021.112912	same	100	same	1	1759
63	29	M	PSYC4802-20134	0.98	Block	exp	57	20131021.112916	diff	20	diff	1	1015
63	29	M	PSYC4802-20134	0.98	Block	exp	58	20131021.112919	diff	100	diff	1	3153
63	29	M	PSYC4802-20134	0.98	Block	exp	59	20131021.112924	diff	60	diff	1	1449
63	29	M	PSYC4802-20134	0.98	Block	exp	60	20131021.112928	same	20	same	1	1115
63	29	M	PSYC4802-20134	0.98	Block	exp	61	20131021.112931	diff	20	diff	1	1841
63	29	M	PSYC4802-20134	0.98	Block	exp	62	20131021.112935	same	20	same	1	915
63	29	M	PSYC4802-20134	0.98	Block	exp	63	20131021.112938	same	20	same	1	604
63	29	M	PSYC4802-20134	0.98	Block	exp	64	20131021.112940	diff	20	diff	1	1361
63	29	M	PSYC4802-20134	0.98	Block	exp	65	20131021.112944	diff	100	diff	1	1853
63	29	M	PSYC4802-20134	0.98	Block	exp	66	20131021.112948	diff	60	diff	1	1050
63	29	M	PSYC4802-20134	0.98	Block	exp	67	20131021.112951	diff	60	diff	1	1009
63	29	M	PSYC4802-20134	0.98	Block	exp	68	20131021.112954	same	100	diff	0	827
63	29	M	PSYC4802-20134	0.98	Block	exp	69	20131021.112957	same	100	diff	0	915
63	29	M	PSYC4802-20134	0.98	Block	exp	70	20131021.113000	diff	100	diff	1	1607
63	29	M	PSYC4802-20134	0.98	Block	exp	71	20131021.113003	same	60	diff	0	1191
63	29	M	PSYC4802-20134	0.98	Block	exp	72	20131021.113006	same	60	same	1	646
63	29	M	PSYC4802-20134	0.98	Block	exp	73	20131021.113009	same	100	diff	0	956
63	29	M	PSYC4802-20134	0.98	Block	exp	74	20131021.113012	diff	60	diff	1	2421
63	29	M	PSYC4802-20134	0.98	Block	exp	75	20131021.113016	diff	60	same	0	1080
63	29	M	PSYC4802-20134	0.98	Block	exp	76	20131021.113019	diff	100	diff	1	1055
63	29	M	PSYC4802-20134	0.98	Block	exp	77	20131021.113023	same	20	same	1	968
63	29	M	PSYC4802-20134	0.98	Block	exp	78	20131021.113026	same	100	same	1	1800
63	29	M	PSYC4802-20134	0.98	Block	exp	79	20131021.113029	same	100	same	1	1782
63	29	M	PSYC4802-20134	0.98	Block	exp	80	20131021.113033	diff	20	diff	1	892
63	29	M	PSYC4802-20134	0.98	Block	exp	81	20131021.113036	diff	100	same	0	1331
63	29	M	PSYC4802-20134	0.98	Block	exp	82	20131021.113039	same	20	same	1	921
63	29	M	PSYC4802-20134	0.98	Block	exp	83	20131021.113042	diff	100	diff	1	1689
63	29	M	PSYC4802-20134	0.98	Block	exp	84	20131021.113046	diff	60	diff	1	997
63	29	M	PSYC4802-20134	0.98	Block	exp	85	20131021.113049	same	60	same	1	833
63	29	M	PSYC4802-20134	0.98	Block	exp	86	20131021.113052	same	100	diff	0	1407
63	29	M	PSYC4802-20134	0.98	Block	exp	87	20131021.113055	diff	20	diff	1	2433
63	29	M	PSYC4802-20134	0.98	Block	exp	88	20131021.113100	same	60	same	1	1091
63	29	M	PSYC4802-20134	0.98	Block	exp	89	20131021.113103	same	20	same	1	658
63	29	M	PSYC4802-20134	0.98	Block	exp	90	20131021.113106	same	100	diff	0	1630
63	29	M	PSYC4802-20134	0.98	Block	exp	91	20131021.113110	diff	20	diff	1	3440
63	29	M	PSYC4802-20134	0.98	Block	exp	92	20131021.113115	same	20	same	1	909
63	29	M	PSYC4802-20134	0.98	Block	exp	93	20131021.113118	same	20	same	1	1959
63	29	M	PSYC4802-20134	0.98	Block	exp	94	20131021.113122	diff	60	diff	1	1682
63	29	M	PSYC4802-20134	0.98	Block	exp	95	20131021.113126	diff	20	diff	1	1408
63	29	M	PSYC4802-20134	0.98	Block	exp	96	20131021.113129	diff	100	diff	1	2175
63	29	M	PSYC4802-20134	0.98	Block	exp	97	20131021.113133	diff	20	diff	1	1841
63	29	M	PSYC4802-20134	0.98	Block	exp	98	20131021.113137	same	60	same	1	1319
63	29	M	PSYC4802-20134	0.98	Block	exp	99	20131021.113140	same	60	same	1	1817
63	29	M	PSYC4802-20134	0.98	Block	exp	100	20131021.113144	same	60	same	1	698
63	29	M	PSYC4802-20134	0.98	Block	exp	101	20131021.113155	diff	100	diff	1	2356
63	29	M	PSYC4802-20134	0.98	Block	exp	102	20131021.113200	same	20	same	1	786
63	29	M	PSYC4802-20134	0.98	Block	exp	103	20131021.113203	same	60	same	1	956
63	29	M	PSYC4802-20134	0.98	Block	exp	104	20131021.113206	same	60	same	1	792
63	29	M	PSYC4802-20134	0.98	Block	exp	105	20131021.113209	diff	20	diff	1	904
63	29	M	PSYC4802-20134	0.98	Block	exp	106	20131021.113211	diff	100	diff	1	1308
63	29	M	PSYC4802-20134	0.98	Block	exp	107	20131021.113215	same	60	same	1	745
63	29	M	PSYC4802-20134	0.98	Block	exp	108	20131021.113218	same	20	diff	0	798
63	29	M	PSYC4802-20134	0.98	Block	exp	109	20131021.113220	diff	60	diff	1	1085
63	29	M	PSYC4802-20134	0.98	Block	exp	110	20131021.113223	same	20	same	1	2245
63	29	M	PSYC4802-20134	0.98	Block	exp	111	20131021.113228	diff	100	diff	1	1425
63	29	M	PSYC4802-20134	0.98	Block	exp	112	20131021.113231	diff	100	diff	1	1290
63	29	M	PSYC4802-20134	0.98	Block	exp	113	20131021.113234	same	100	same	1	1882
63	29	M	PSYC4802-20134	0.98	Block	exp	114	20131021.113238	diff	20	diff	1	2122
63	29	M	PSYC4802-20134	0.98	Block	exp	115	20131021.113242	same	60	same	1	1354
63	29	M	PSYC4802-20134	0.98	Block	exp	116	20131021.113246	same	20	same	1	997
63	29	M	PSYC4802-20134	0.98	Block	exp	117	20131021.113249	diff	100	diff	1	927
63	29	M	PSYC4802-20134	0.98	Block	exp	118	20131021.113252	same	20	same	1	1003
63	29	M	PSYC4802-20134	0.98	Block	exp	119	20131021.113255	same	100	same	1	1062
63	29	M	PSYC4802-20134	0.98	Block	exp	120	20131021.113258	diff	20	diff	1	1062
63	29	M	PSYC4802-20134	0.98	Block	exp	121	20131021.113301	same	20	same	1	903
63	29	M	PSYC4802-20134	0.98	Block	exp	122	20131021.113304	diff	60	diff	1	1677
63	29	M	PSYC4802-20134	0.98	Block	exp	123	20131021.113308	diff	60	diff	1	3446
63	29	M	PSYC4802-20134	0.98	Block	exp	124	20131021.113313	same	60	same	1	903
63	29	M	PSYC4802-20134	0.98	Block	exp	125	20131021.113316	diff	20	diff	1	1314
63	29	M	PSYC4802-20134	0.98	Block	exp	126	20131021.113319	same	20	same	1	898
63	29	M	PSYC4802-20134	0.98	Block	exp	127	20131021.113322	same	20	same	1	804
63	29	M	PSYC4802-20134	0.98	Block	exp	128	20131021.113325	diff	60	diff	1	833
63	29	M	PSYC4802-20134	0.98	Block	exp	129	20131021.113328	same	60	same	1	951
63	29	M	PSYC4802-20134	0.98	Block	exp	130	20131021.113331	same	60	same	1	1027
63	29	M	PSYC4802-20134	0.98	Block	exp	131	20131021.113334	same	100	same	1	1507
63	29	M	PSYC4802-20134	0.98	Block	exp	132	20131021.113338	same	100	same	1	2017
63	29	M	PSYC4802-20134	0.98	Block	exp	133	20131021.113342	same	100	same	1	2104
63	29	M	PSYC4802-20134	0.98	Block	exp	134	20131021.113346	same	60	same	1	1220
63	29	M	PSYC4802-20134	0.98	Block	exp	135	20131021.113349	diff	100	diff	1	1531
63	29	M	PSYC4802-20134	0.98	Block	exp	136	20131021.113353	diff	100	diff	1	1788
63	29	M	PSYC4802-20134	0.98	Block	exp	137	20131021.113356	same	100	same	1	997
63	29	M	PSYC4802-20134	0.98	Block	exp	138	20131021.113359	same	60	same	1	933
63	29	M	PSYC4802-20134	0.98	Block	exp	139	20131021.113402	diff	60	diff	1	1173
63	29	M	PSYC4802-20134	0.98	Block	exp	140	20131021.113406	diff	60	diff	1	1841
63	29	M	PSYC4802-20134	0.98	Block	exp	141	20131021.113410	diff	60	same	0	1062
63	29	M	PSYC4802-20134	0.98	Block	exp	142	20131021.113413	diff	100	diff	1	1372
63	29	M	PSYC4802-20134	0.98	Block	exp	143	20131021.113416	same	20	same	1	973
63	29	M	PSYC4802-20134	0.98	Block	exp	144	20131021.113419	diff	60	diff	1	1970
63	29	M	PSYC4802-20134	0.98	Block	exp	145	20131021.113423	diff	100	same	0	933
63	29	M	PSYC4802-20134	0.98	Block	exp	146	20131021.113426	same	100	same	1	1553
63	29	M	PSYC4802-20134	0.98	Block	exp	147	20131021.113429	same	100	diff	0	2181
63	29	M	PSYC4802-20134	0.98	Block	exp	148	20131021.113434	same	20	same	1	939
63	29	M	PSYC4802-20134	0.98	Block	exp	149	20131021.113437	diff	100	diff	1	1073
63	29	M	PSYC4802-20134	0.98	Block	exp	150	20131021.113440	same	60	diff	0	1818
63	29	M	PSYC4802-20134	0.98	Block	exp	151	20131021.113458	diff	20	diff	1	1507
63	29	M	PSYC4802-20134	0.98	Block	exp	152	20131021.113502	same	20	same	1	775
63	29	M	PSYC4802-20134	0.98	Block	exp	153	20131021.113504	same	20	same	1	1120
63	29	M	PSYC4802-20134	0.98	Block	exp	154	20131021.113508	diff	100	diff	1	833
63	29	M	PSYC4802-20134	0.98	Block	exp	155	20131021.113510	diff	100	diff	1	1648
63	29	M	PSYC4802-20134	0.98	Block	exp	156	20131021.113514	diff	20	diff	1	1811
63	29	M	PSYC4802-20134	0.98	Block	exp	157	20131021.113518	same	20	same	1	851
63	29	M	PSYC4802-20134	0.98	Block	exp	158	20131021.113521	same	60	same	1	962
63	29	M	PSYC4802-20134	0.98	Block	exp	159	20131021.113524	same	20	same	1	757
63	29	M	PSYC4802-20134	0.98	Block	exp	160	20131021.113527	same	20	same	1	740
63	29	M	PSYC4802-20134	0.98	Block	exp	161	20131021.113530	diff	20	diff	1	716
63	29	M	PSYC4802-20134	0.98	Block	exp	162	20131021.113532	diff	20	diff	1	997
63	29	M	PSYC4802-20134	0.98	Block	exp	163	20131021.113535	same	20	same	1	757
63	29	M	PSYC4802-20134	0.98	Block	exp	164	20131021.113538	same	60	same	1	974
63	29	M	PSYC4802-20134	0.98	Block	exp	165	20131021.113541	diff	100	diff	1	1589
63	29	M	PSYC4802-20134	0.98	Block	exp	166	20131021.113545	same	60	same	1	921
63	29	M	PSYC4802-20134	0.98	Block	exp	167	20131021.113548	same	60	same	1	804
63	29	M	PSYC4802-20134	0.98	Block	exp	168	20131021.113550	diff	20	diff	1	1003
63	29	M	PSYC4802-20134	0.98	Block	exp	169	20131021.113553	same	60	same	1	956
