Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
74	24	F	PSYC4802-20134	0.98	Block	practice	1	20131023.104846	same	60	same	1	14151
74	24	F	PSYC4802-20134	0.98	Block	practice	2	20131023.104903	same	100	diff	0	6101
74	24	F	PSYC4802-20134	0.98	Block	practice	3	20131023.104911	diff	20	diff	1	23134
74	24	F	PSYC4802-20134	0.98	Block	practice	4	20131023.104937	same	60	same	1	1941
74	24	F	PSYC4802-20134	0.98	Block	practice	5	20131023.104941	same	20	diff	0	3464
74	24	F	PSYC4802-20134	0.98	Block	practice	6	20131023.104946	diff	60	diff	1	3159
74	24	F	PSYC4802-20134	0.98	Block	practice	7	20131023.104951	diff	60	diff	1	7736
74	24	F	PSYC4802-20134	0.98	Block	practice	8	20131023.105001	diff	60	diff	1	2679
74	24	F	PSYC4802-20134	0.98	Block	practice	9	20131023.105006	diff	100	diff	1	2456
74	24	F	PSYC4802-20134	0.98	Block	practice	10	20131023.105010	same	20	same	1	3974
74	24	F	PSYC4802-20134	0.98	Block	practice	11	20131023.105016	diff	100	diff	1	12334
74	24	F	PSYC4802-20134	0.98	Block	practice	12	20131023.105031	same	100	diff	0	1408
74	24	F	PSYC4802-20134	0.98	Block	practice	13	20131023.105034	same	20	same	1	1940
74	24	F	PSYC4802-20134	0.98	Block	practice	14	20131023.105038	diff	100	diff	1	2327
74	24	F	PSYC4802-20134	0.98	Block	practice	15	20131023.105042	same	60	diff	0	1859
74	24	F	PSYC4802-20134	0.98	Block	practice	16	20131023.105046	same	100	same	1	1314
74	24	F	PSYC4802-20134	0.98	Block	practice	17	20131023.105050	diff	20	diff	1	2620
74	24	F	PSYC4802-20134	0.98	Block	practice	18	20131023.105054	same	100	same	1	2269
74	24	F	PSYC4802-20134	0.98	Block	practice	19	20131023.105058	same	100	diff	0	2275
74	24	F	PSYC4802-20134	0.98	Block	practice	20	20131023.105103	diff	60	diff	1	2755
74	24	F	PSYC4802-20134	0.98	Block	practice	21	20131023.105107	same	20	same	1	1121
74	24	F	PSYC4802-20134	0.98	Block	practice	22	20131023.105111	diff	60	diff	1	2503
74	24	F	PSYC4802-20134	0.98	Block	practice	23	20131023.105115	same	20	same	1	3616
74	24	F	PSYC4802-20134	0.98	Block	practice	24	20131023.105121	diff	20	diff	1	1044
74	24	F	PSYC4802-20134	0.98	Block	practice	25	20131023.105124	diff	20	same	0	1032
74	24	F	PSYC4802-20134	0.98	Block	practice	26	20131023.105127	diff	20	diff	1	1044
74	24	F	PSYC4802-20134	0.98	Block	practice	27	20131023.105130	diff	100	same	0	945
74	24	F	PSYC4802-20134	0.98	Block	practice	28	20131023.105133	same	60	same	1	1419
74	24	F	PSYC4802-20134	0.98	Block	practice	29	20131023.105136	diff	100	diff	1	1172
74	24	F	PSYC4802-20134	0.98	Block	practice	30	20131023.105140	same	60	diff	0	1366
74	24	F	PSYC4802-20134	0.98	Block	exp	31	20131023.105143	diff	20	same	0	1102
74	24	F	PSYC4802-20134	0.98	Block	exp	32	20131023.105146	same	100	same	1	3148
74	24	F	PSYC4802-20134	0.98	Block	exp	33	20131023.105151	diff	100	same	0	1138
74	24	F	PSYC4802-20134	0.98	Block	exp	34	20131023.105154	diff	100	diff	1	2814
74	24	F	PSYC4802-20134	0.98	Block	exp	35	20131023.105159	same	20	same	1	3968
74	24	F	PSYC4802-20134	0.98	Block	exp	36	20131023.105205	same	20	same	1	1055
74	24	F	PSYC4802-20134	0.98	Block	exp	37	20131023.105208	diff	100	diff	1	2022
74	24	F	PSYC4802-20134	0.98	Block	exp	38	20131023.105212	diff	60	same	0	2984
74	24	F	PSYC4802-20134	0.98	Block	exp	39	20131023.105217	diff	60	diff	1	1501
74	24	F	PSYC4802-20134	0.98	Block	exp	40	20131023.105221	diff	20	same	0	792
74	24	F	PSYC4802-20134	0.98	Block	exp	41	20131023.105224	same	20	same	1	1290
74	24	F	PSYC4802-20134	0.98	Block	exp	42	20131023.105227	same	100	same	1	1314
74	24	F	PSYC4802-20134	0.98	Block	exp	43	20131023.105230	same	100	multi	-2	745
74	24	F	PSYC4802-20134	0.98	Block	exp	44	20131023.105233	diff	100	same	0	2152
74	24	F	PSYC4802-20134	0.98	Block	exp	45	20131023.105237	diff	60	diff	1	892
74	24	F	PSYC4802-20134	0.98	Block	exp	46	20131023.105240	same	100	same	1	622
74	24	F	PSYC4802-20134	0.98	Block	exp	47	20131023.105243	same	20	same	1	880
74	24	F	PSYC4802-20134	0.98	Block	exp	48	20131023.105246	same	60	diff	0	733
74	24	F	PSYC4802-20134	0.98	Block	exp	49	20131023.105249	diff	60	diff	1	1589
74	24	F	PSYC4802-20134	0.98	Block	exp	50	20131023.105252	diff	60	same	0	892
74	24	F	PSYC4802-20134	0.98	Block	exp	51	20131023.105259	same	20	same	1	781
74	24	F	PSYC4802-20134	0.98	Block	exp	52	20131023.105301	same	60	diff	0	904
74	24	F	PSYC4802-20134	0.98	Block	exp	53	20131023.105304	diff	60	same	0	1102
74	24	F	PSYC4802-20134	0.98	Block	exp	54	20131023.105307	same	60	same	1	669
74	24	F	PSYC4802-20134	0.98	Block	exp	55	20131023.105310	diff	60	diff	1	857
74	24	F	PSYC4802-20134	0.98	Block	exp	56	20131023.105313	same	60	same	1	499
74	24	F	PSYC4802-20134	0.98	Block	exp	57	20131023.105315	same	100	diff	0	757
74	24	F	PSYC4802-20134	0.98	Block	exp	58	20131023.105318	same	60	same	1	3165
74	24	F	PSYC4802-20134	0.98	Block	exp	59	20131023.105323	diff	100	same	0	962
74	24	F	PSYC4802-20134	0.98	Block	exp	60	20131023.105326	same	100	diff	0	1008
74	24	F	PSYC4802-20134	0.98	Block	exp	61	20131023.105329	diff	20	diff	1	1613
74	24	F	PSYC4802-20134	0.98	Block	exp	62	20131023.105333	same	60	same	1	745
74	24	F	PSYC4802-20134	0.98	Block	exp	63	20131023.105336	same	100	diff	0	692
74	24	F	PSYC4802-20134	0.98	Block	exp	64	20131023.105339	same	20	diff	0	423
74	24	F	PSYC4802-20134	0.98	Block	exp	65	20131023.105341	diff	20	diff	1	370
74	24	F	PSYC4802-20134	0.98	Block	exp	66	20131023.105343	same	100	same	1	1460
74	24	F	PSYC4802-20134	0.98	Block	exp	67	20131023.105347	diff	20	diff	1	781
74	24	F	PSYC4802-20134	0.98	Block	exp	68	20131023.105350	diff	60	same	0	423
74	24	F	PSYC4802-20134	0.98	Block	exp	69	20131023.105352	diff	20	same	0	2017
74	24	F	PSYC4802-20134	0.98	Block	exp	70	20131023.105356	diff	20	same	0	1038
74	24	F	PSYC4802-20134	0.98	Block	exp	71	20131023.105359	diff	100	same	0	1513
74	24	F	PSYC4802-20134	0.98	Block	exp	72	20131023.105403	diff	60	same	0	1021
74	24	F	PSYC4802-20134	0.98	Block	exp	73	20131023.105406	diff	20	diff	1	3874
74	24	F	PSYC4802-20134	0.98	Block	exp	74	20131023.105412	same	20	same	1	1220
74	24	F	PSYC4802-20134	0.98	Block	exp	75	20131023.105415	diff	100	same	0	2098
74	24	F	PSYC4802-20134	0.98	Block	exp	76	20131023.105419	same	60	diff	0	3170
74	24	F	PSYC4802-20134	0.98	Block	exp	77	20131023.105424	same	100	same	1	640
74	24	F	PSYC4802-20134	0.98	Block	exp	78	20131023.105427	same	60	diff	0	2064
74	24	F	PSYC4802-20134	0.98	Block	exp	79	20131023.105431	diff	20	same	0	2819
74	24	F	PSYC4802-20134	0.98	Block	exp	80	20131023.105436	same	60	same	1	1167
74	24	F	PSYC4802-20134	0.98	Block	exp	81	20131023.105439	same	20	same	1	2971
74	24	F	PSYC4802-20134	0.98	Block	exp	82	20131023.105444	same	100	same	1	1788
74	24	F	PSYC4802-20134	0.98	Block	exp	83	20131023.105448	diff	20	same	0	3540
74	24	F	PSYC4802-20134	0.98	Block	exp	84	20131023.105454	same	20	same	1	2198
74	24	F	PSYC4802-20134	0.98	Block	exp	85	20131023.105458	same	20	same	1	1460
74	24	F	PSYC4802-20134	0.98	Block	exp	86	20131023.105501	same	100	same	1	3171
74	24	F	PSYC4802-20134	0.98	Block	exp	87	20131023.105506	same	60	same	1	944
74	24	F	PSYC4802-20134	0.98	Block	exp	88	20131023.105509	same	100	same	1	1835
74	24	F	PSYC4802-20134	0.98	Block	exp	89	20131023.105513	diff	20	diff	1	4343
74	24	F	PSYC4802-20134	0.98	Block	exp	90	20131023.105520	diff	20	same	0	2801
74	24	F	PSYC4802-20134	0.98	Block	exp	91	20131023.105525	same	20	same	1	2773
74	24	F	PSYC4802-20134	0.98	Block	exp	92	20131023.105529	diff	20	same	0	2772
74	24	F	PSYC4802-20134	0.98	Block	exp	93	20131023.105534	diff	20	same	0	845
74	24	F	PSYC4802-20134	0.98	Block	exp	94	20131023.105537	diff	100	diff	1	1946
74	24	F	PSYC4802-20134	0.98	Block	exp	95	20131023.105541	same	100	same	1	4759
74	24	F	PSYC4802-20134	0.98	Block	exp	96	20131023.105548	same	20	same	1	1261
74	24	F	PSYC4802-20134	0.98	Block	exp	97	20131023.105551	same	60	same	1	1313
74	24	F	PSYC4802-20134	0.98	Block	exp	98	20131023.105554	same	100	same	1	1085
74	24	F	PSYC4802-20134	0.98	Block	exp	99	20131023.105558	diff	100	diff	1	1747
74	24	F	PSYC4802-20134	0.98	Block	exp	100	20131023.105601	same	60	same	1	3792
74	24	F	PSYC4802-20134	0.98	Block	exp	101	20131023.105611	diff	100	same	0	1197
74	24	F	PSYC4802-20134	0.98	Block	exp	102	20131023.105614	diff	100	same	0	1120
74	24	F	PSYC4802-20134	0.98	Block	exp	103	20131023.105617	diff	20	diff	1	710
74	24	F	PSYC4802-20134	0.98	Block	exp	104	20131023.105620	same	100	same	1	1443
74	24	F	PSYC4802-20134	0.98	Block	exp	105	20131023.105623	diff	100	diff	1	1466
74	24	F	PSYC4802-20134	0.98	Block	exp	106	20131023.105627	same	100	same	1	1783
74	24	F	PSYC4802-20134	0.98	Block	exp	107	20131023.105630	same	20	same	1	991
74	24	F	PSYC4802-20134	0.98	Block	exp	108	20131023.105633	diff	60	same	0	11989
74	24	F	PSYC4802-20134	0.98	Block	exp	109	20131023.105647	same	100	same	1	885
74	24	F	PSYC4802-20134	0.98	Block	exp	110	20131023.105650	diff	20	diff	1	827
74	24	F	PSYC4802-20134	0.98	Block	exp	111	20131023.105653	diff	60	diff	1	2063
74	24	F	PSYC4802-20134	0.98	Block	exp	112	20131023.105657	diff	100	same	0	1630
74	24	F	PSYC4802-20134	0.98	Block	exp	113	20131023.105701	diff	20	same	0	1490
74	24	F	PSYC4802-20134	0.98	Block	exp	114	20131023.105704	diff	20	diff	1	763
74	24	F	PSYC4802-20134	0.98	Block	exp	115	20131023.105707	diff	100	same	0	645
74	24	F	PSYC4802-20134	0.98	Block	exp	116	20131023.105710	same	100	same	1	370
74	24	F	PSYC4802-20134	0.98	Block	exp	117	20131023.105712	diff	20	diff	1	1712
74	24	F	PSYC4802-20134	0.98	Block	exp	118	20131023.105716	diff	20	diff	1	1091
74	24	F	PSYC4802-20134	0.98	Block	exp	119	20131023.105719	diff	60	diff	1	1595
74	24	F	PSYC4802-20134	0.98	Block	exp	120	20131023.105723	diff	100	diff	1	2432
74	24	F	PSYC4802-20134	0.98	Block	exp	121	20131023.105727	same	60	same	1	886
74	24	F	PSYC4802-20134	0.98	Block	exp	122	20131023.105730	diff	60	same	0	2204
74	24	F	PSYC4802-20134	0.98	Block	exp	123	20131023.105735	diff	100	diff	1	1226
74	24	F	PSYC4802-20134	0.98	Block	exp	124	20131023.105738	same	20	same	1	1091
74	24	F	PSYC4802-20134	0.98	Block	exp	125	20131023.105741	diff	100	same	0	1496
74	24	F	PSYC4802-20134	0.98	Block	exp	126	20131023.105745	diff	100	diff	1	692
74	24	F	PSYC4802-20134	0.98	Block	exp	127	20131023.105747	same	100	same	1	1806
74	24	F	PSYC4802-20134	0.98	Block	exp	128	20131023.105751	diff	20	same	0	1015
74	24	F	PSYC4802-20134	0.98	Block	exp	129	20131023.105754	same	100	same	1	651
74	24	F	PSYC4802-20134	0.98	Block	exp	130	20131023.105757	same	100	diff	0	575
74	24	F	PSYC4802-20134	0.98	Block	exp	131	20131023.105759	diff	100	same	0	411
74	24	F	PSYC4802-20134	0.98	Block	exp	132	20131023.105802	same	60	same	1	441
74	24	F	PSYC4802-20134	0.98	Block	exp	133	20131023.105804	same	100	diff	0	810
74	24	F	PSYC4802-20134	0.98	Block	exp	134	20131023.105807	same	100	diff	0	909
74	24	F	PSYC4802-20134	0.98	Block	exp	135	20131023.105810	same	100	same	1	1390
74	24	F	PSYC4802-20134	0.98	Block	exp	136	20131023.105814	diff	60	diff	1	1940
74	24	F	PSYC4802-20134	0.98	Block	exp	137	20131023.105818	diff	100	diff	1	1724
74	24	F	PSYC4802-20134	0.98	Block	exp	138	20131023.105821	diff	100	diff	1	2204
74	24	F	PSYC4802-20134	0.98	Block	exp	139	20131023.105826	diff	20	diff	1	2568
74	24	F	PSYC4802-20134	0.98	Block	exp	140	20131023.105830	diff	60	same	0	1074
74	24	F	PSYC4802-20134	0.98	Block	exp	141	20131023.105833	same	20	same	1	1894
74	24	F	PSYC4802-20134	0.98	Block	exp	142	20131023.105837	same	20	same	1	1395
74	24	F	PSYC4802-20134	0.98	Block	exp	143	20131023.105841	same	20	diff	0	1003
74	24	F	PSYC4802-20134	0.98	Block	exp	144	20131023.105844	same	60	same	1	886
74	24	F	PSYC4802-20134	0.98	Block	exp	145	20131023.105847	diff	60	diff	1	1742
74	24	F	PSYC4802-20134	0.98	Block	exp	146	20131023.105850	same	100	diff	0	3182
74	24	F	PSYC4802-20134	0.98	Block	exp	147	20131023.105856	same	20	same	1	1203
74	24	F	PSYC4802-20134	0.98	Block	exp	148	20131023.105859	diff	100	same	0	1367
74	24	F	PSYC4802-20134	0.98	Block	exp	149	20131023.105902	same	20	same	1	674
74	24	F	PSYC4802-20134	0.98	Block	exp	150	20131023.105905	diff	100	diff	1	1062
74	24	F	PSYC4802-20134	0.98	Block	exp	151	20131023.105912	diff	100	same	0	1706
74	24	F	PSYC4802-20134	0.98	Block	exp	152	20131023.105916	same	60	diff	0	1219
74	24	F	PSYC4802-20134	0.98	Block	exp	153	20131023.105919	diff	20	same	0	2614
74	24	F	PSYC4802-20134	0.98	Block	exp	154	20131023.105924	same	100	same	1	868
74	24	F	PSYC4802-20134	0.98	Block	exp	155	20131023.105927	diff	100	diff	1	728
74	24	F	PSYC4802-20134	0.98	Block	exp	156	20131023.105929	diff	100	same	0	2023
74	24	F	PSYC4802-20134	0.98	Block	exp	157	20131023.105933	same	20	same	1	1460
74	24	F	PSYC4802-20134	0.98	Block	exp	158	20131023.105937	same	20	same	1	950
74	24	F	PSYC4802-20134	0.98	Block	exp	159	20131023.105940	diff	60	same	0	2157
74	24	F	PSYC4802-20134	0.98	Block	exp	160	20131023.105944	same	20	same	1	998
74	24	F	PSYC4802-20134	0.98	Block	exp	161	20131023.105947	same	100	diff	0	698
74	24	F	PSYC4802-20134	0.98	Block	exp	162	20131023.105950	diff	60	same	0	188
74	24	F	PSYC4802-20134	0.98	Block	exp	163	20131023.105952	diff	60	diff	1	1776
74	24	F	PSYC4802-20134	0.98	Block	exp	164	20131023.105956	diff	20	same	0	763
74	24	F	PSYC4802-20134	0.98	Block	exp	165	20131023.105959	same	60	same	1	1114
74	24	F	PSYC4802-20134	0.98	Block	exp	166	20131023.110002	diff	100	diff	1	3059
74	24	F	PSYC4802-20134	0.98	Block	exp	167	20131023.110007	diff	20	diff	1	5456
74	24	F	PSYC4802-20134	0.98	Block	exp	168	20131023.110014	same	100	diff	0	1788
74	24	F	PSYC4802-20134	0.98	Block	exp	169	20131023.110018	same	100	diff	0	1378
74	24	F	PSYC4802-20134	0.98	Block	exp	170	20131023.110022	same	20	same	1	809
74	24	F	PSYC4802-20134	0.98	Block	exp	171	20131023.110024	same	60	same	1	645
74	24	F	PSYC4802-20134	0.98	Block	exp	172	20131023.110027	same	100	diff	0	1923
74	24	F	PSYC4802-20134	0.98	Block	exp	173	20131023.110031	diff	100	same	0	2685
74	24	F	PSYC4802-20134	0.98	Block	exp	174	20131023.110036	same	60	diff	0	2380
74	24	F	PSYC4802-20134	0.98	Block	exp	175	20131023.110040	diff	100	same	0	1091
74	24	F	PSYC4802-20134	0.98	Block	exp	176	20131023.110043	same	100	same	1	1448
74	24	F	PSYC4802-20134	0.98	Block	exp	177	20131023.110047	same	100	diff	0	1238
74	24	F	PSYC4802-20134	0.98	Block	exp	178	20131023.110050	diff	100	diff	1	2737
74	24	F	PSYC4802-20134	0.98	Block	exp	179	20131023.110055	same	60	same	1	3388
74	24	F	PSYC4802-20134	0.98	Block	exp	180	20131023.110101	same	100	diff	0	1360
74	24	F	PSYC4802-20134	0.98	Block	exp	181	20131023.110104	same	20	same	1	2280
74	24	F	PSYC4802-20134	0.98	Block	exp	182	20131023.110108	diff	60	same	0	1905
74	24	F	PSYC4802-20134	0.98	Block	exp	183	20131023.110112	same	60	same	1	640
74	24	F	PSYC4802-20134	0.98	Block	exp	184	20131023.110115	diff	100	same	0	1859
74	24	F	PSYC4802-20134	0.98	Block	exp	185	20131023.110119	same	60	same	1	1073
74	24	F	PSYC4802-20134	0.98	Block	exp	186	20131023.110122	same	100	diff	0	2005
74	24	F	PSYC4802-20134	0.98	Block	exp	187	20131023.110126	diff	100	same	0	1958
74	24	F	PSYC4802-20134	0.98	Block	exp	188	20131023.110130	same	100	same	1	1824
74	24	F	PSYC4802-20134	0.98	Block	exp	189	20131023.110134	same	60	same	1	1402
74	24	F	PSYC4802-20134	0.98	Block	exp	190	20131023.110137	diff	60	diff	1	2532
74	24	F	PSYC4802-20134	0.98	Block	exp	191	20131023.110142	same	20	same	1	1079
74	24	F	PSYC4802-20134	0.98	Block	exp	192	20131023.110145	same	100	diff	0	1736
74	24	F	PSYC4802-20134	0.98	Block	exp	193	20131023.110149	diff	60	same	0	1870
74	24	F	PSYC4802-20134	0.98	Block	exp	194	20131023.110153	diff	20	diff	1	1255
74	24	F	PSYC4802-20134	0.98	Block	exp	195	20131023.110156	diff	20	same	0	4208
74	24	F	PSYC4802-20134	0.98	Block	exp	196	20131023.110203	diff	100	same	0	1366
74	24	F	PSYC4802-20134	0.98	Block	exp	197	20131023.110206	diff	20	diff	1	950
74	24	F	PSYC4802-20134	0.98	Block	exp	198	20131023.110209	diff	100	diff	1	798
74	24	F	PSYC4802-20134	0.98	Block	exp	199	20131023.110212	diff	60	diff	1	3428
74	24	F	PSYC4802-20134	0.98	Block	exp	200	20131023.110217	same	60	same	1	1108
74	24	F	PSYC4802-20134	0.98	Block	exp	201	20131023.110223	same	60	diff	0	1542
74	24	F	PSYC4802-20134	0.98	Block	exp	202	20131023.110226	diff	100	same	0	1612
74	24	F	PSYC4802-20134	0.98	Block	exp	203	20131023.110230	same	60	diff	0	65
74	24	F	PSYC4802-20134	0.98	Block	exp	204	20131023.110232	same	20	same	1	1876
74	24	F	PSYC4802-20134	0.98	Block	exp	205	20131023.110236	diff	20	same	0	822
74	24	F	PSYC4802-20134	0.98	Block	exp	206	20131023.110239	diff	60	diff	1	388
74	24	F	PSYC4802-20134	0.98	Block	exp	207	20131023.110242	diff	20	same	0	558
74	24	F	PSYC4802-20134	0.98	Block	exp	208	20131023.110244	same	100	same	1	979
74	24	F	PSYC4802-20134	0.98	Block	exp	209	20131023.110247	diff	20	diff	1	938
74	24	F	PSYC4802-20134	0.98	Block	exp	210	20131023.110250	same	60	same	1	2140
74	24	F	PSYC4802-20134	0.98	Block	exp	211	20131023.110254	same	20	same	1	921
74	24	F	PSYC4802-20134	0.98	Block	exp	212	20131023.110257	same	60	same	1	1202
74	24	F	PSYC4802-20134	0.98	Block	exp	213	20131023.110301	same	20	same	1	722
74	24	F	PSYC4802-20134	0.98	Block	exp	214	20131023.110303	same	60	same	1	939
74	24	F	PSYC4802-20134	0.98	Block	exp	215	20131023.110306	same	60	same	1	1138
74	24	F	PSYC4802-20134	0.98	Block	exp	216	20131023.110310	diff	60	diff	1	1818
74	24	F	PSYC4802-20134	0.98	Block	exp	217	20131023.110313	same	60	same	1	1027
74	24	F	PSYC4802-20134	0.98	Block	exp	218	20131023.110316	same	60	same	1	692
74	24	F	PSYC4802-20134	0.98	Block	exp	219	20131023.110319	same	60	same	1	1478
74	24	F	PSYC4802-20134	0.98	Block	exp	220	20131023.110323	same	100	diff	0	1501
74	24	F	PSYC4802-20134	0.98	Block	exp	221	20131023.110326	diff	20	diff	1	1354
74	24	F	PSYC4802-20134	0.98	Block	exp	222	20131023.110329	same	60	same	1	1302
74	24	F	PSYC4802-20134	0.98	Block	exp	223	20131023.110333	same	20	same	1	798
74	24	F	PSYC4802-20134	0.98	Block	exp	224	20131023.110336	same	100	same	1	786
74	24	F	PSYC4802-20134	0.98	Block	exp	225	20131023.110338	same	20	same	1	658
74	24	F	PSYC4802-20134	0.98	Block	exp	226	20131023.110341	same	60	same	1	1331
74	24	F	PSYC4802-20134	0.98	Block	exp	227	20131023.110345	same	100	same	1	1062
