Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
87	18	F	PSYC4802-20134	0.98	Block	practice	1	20131023.112908	diff	20	same	0	2029
87	18	F	PSYC4802-20134	0.98	Block	practice	2	20131023.112912	same	100	same	1	1759
87	18	F	PSYC4802-20134	0.98	Block	practice	3	20131023.112915	same	60	same	1	910
87	18	F	PSYC4802-20134	0.98	Block	practice	4	20131023.112918	diff	20	same	0	681
87	18	F	PSYC4802-20134	0.98	Block	practice	5	20131023.112921	diff	60	diff	1	2329
87	18	F	PSYC4802-20134	0.98	Block	practice	6	20131023.112925	same	20	same	1	1940
87	18	F	PSYC4802-20134	0.98	Block	practice	7	20131023.112929	same	100	diff	0	3013
87	18	F	PSYC4802-20134	0.98	Block	practice	8	20131023.112934	same	100	diff	0	1184
87	18	F	PSYC4802-20134	0.98	Block	practice	9	20131023.112938	same	60	same	1	698
87	18	F	PSYC4802-20134	0.98	Block	practice	10	20131023.112940	diff	60	same	0	845
87	18	F	PSYC4802-20134	0.98	Block	practice	11	20131023.112943	diff	60	same	0	798
87	18	F	PSYC4802-20134	0.98	Block	practice	12	20131023.112946	diff	20	diff	1	1126
87	18	F	PSYC4802-20134	0.98	Block	practice	13	20131023.112949	diff	100	same	0	833
87	18	F	PSYC4802-20134	0.98	Block	practice	14	20131023.112952	diff	100	same	0	798
87	18	F	PSYC4802-20134	0.98	Block	practice	15	20131023.112955	same	20	same	1	763
87	18	F	PSYC4802-20134	0.98	Block	practice	16	20131023.112958	diff	100	diff	1	1707
87	18	F	PSYC4802-20134	0.98	Block	practice	17	20131023.113001	diff	60	diff	1	3393
87	18	F	PSYC4802-20134	0.98	Block	practice	18	20131023.113007	diff	60	diff	1	1800
87	18	F	PSYC4802-20134	0.98	Block	practice	19	20131023.113011	same	20	diff	0	740
87	18	F	PSYC4802-20134	0.98	Block	practice	20	20131023.113013	same	100	diff	0	1021
87	18	F	PSYC4802-20134	0.98	Block	practice	21	20131023.113017	diff	20	diff	1	1073
87	18	F	PSYC4802-20134	0.98	Block	practice	22	20131023.113020	diff	100	same	0	1050
87	18	F	PSYC4802-20134	0.98	Block	practice	23	20131023.113023	same	20	diff	0	1202
87	18	F	PSYC4802-20134	0.98	Block	practice	24	20131023.113026	diff	20	same	0	804
87	18	F	PSYC4802-20134	0.98	Block	practice	25	20131023.113029	same	60	same	1	839
87	18	F	PSYC4802-20134	0.98	Block	practice	26	20131023.113032	diff	100	diff	1	646
87	18	F	PSYC4802-20134	0.98	Block	practice	27	20131023.113034	same	60	same	1	716
87	18	F	PSYC4802-20134	0.98	Block	practice	28	20131023.113037	same	100	diff	0	780
87	18	F	PSYC4802-20134	0.98	Block	practice	29	20131023.113040	same	20	diff	0	1061
87	18	F	PSYC4802-20134	0.98	Block	practice	30	20131023.113043	same	60	diff	0	980
87	18	F	PSYC4802-20134	0.98	Block	exp	31	20131023.113046	same	60	diff	0	3095
87	18	F	PSYC4802-20134	0.98	Block	exp	32	20131023.113051	same	100	diff	0	2075
87	18	F	PSYC4802-20134	0.98	Block	exp	33	20131023.113055	diff	20	diff	1	2427
87	18	F	PSYC4802-20134	0.98	Block	exp	34	20131023.113059	same	20	same	1	938
87	18	F	PSYC4802-20134	0.98	Block	exp	35	20131023.113102	diff	100	diff	1	1213
87	18	F	PSYC4802-20134	0.98	Block	exp	36	20131023.113106	diff	20	diff	1	1559
87	18	F	PSYC4802-20134	0.98	Block	exp	37	20131023.113109	diff	60	diff	1	1794
87	18	F	PSYC4802-20134	0.98	Block	exp	38	20131023.113113	diff	20	diff	1	1871
87	18	F	PSYC4802-20134	0.98	Block	exp	39	20131023.113117	diff	100	diff	1	2280
87	18	F	PSYC4802-20134	0.98	Block	exp	40	20131023.113121	same	60	diff	0	998
87	18	F	PSYC4802-20134	0.98	Block	exp	41	20131023.113124	same	100	diff	0	2282
87	18	F	PSYC4802-20134	0.98	Block	exp	42	20131023.113128	same	100	same	1	798
87	18	F	PSYC4802-20134	0.98	Block	exp	43	20131023.113131	same	100	diff	0	2099
87	18	F	PSYC4802-20134	0.98	Block	exp	44	20131023.113135	diff	60	same	0	3504
87	18	F	PSYC4802-20134	0.98	Block	exp	45	20131023.113141	same	60	diff	0	974
87	18	F	PSYC4802-20134	0.98	Block	exp	46	20131023.113144	same	100	same	1	1870
87	18	F	PSYC4802-20134	0.98	Block	exp	47	20131023.113148	same	60	same	1	898
87	18	F	PSYC4802-20134	0.98	Block	exp	48	20131023.113151	same	60	same	1	1038
87	18	F	PSYC4802-20134	0.98	Block	exp	49	20131023.113154	diff	20	diff	1	1167
87	18	F	PSYC4802-20134	0.98	Block	exp	50	20131023.113157	same	60	same	1	599
87	18	F	PSYC4802-20134	0.98	Block	exp	51	20131023.113203	diff	60	same	0	265
87	18	F	PSYC4802-20134	0.98	Block	exp	52	20131023.113205	diff	100	diff	1	201
87	18	F	PSYC4802-20134	0.98	Block	exp	53	20131023.113207	same	100	diff	0	1009
87	18	F	PSYC4802-20134	0.98	Block	exp	54	20131023.113210	same	20	same	1	839
87	18	F	PSYC4802-20134	0.98	Block	exp	55	20131023.113213	same	60	same	1	1096
87	18	F	PSYC4802-20134	0.98	Block	exp	56	20131023.113216	diff	100	diff	1	956
87	18	F	PSYC4802-20134	0.98	Block	exp	57	20131023.113219	same	100	same	1	892
87	18	F	PSYC4802-20134	0.98	Block	exp	58	20131023.113222	diff	100	diff	1	657
87	18	F	PSYC4802-20134	0.98	Block	exp	59	20131023.113225	diff	100	same	0	956
87	18	F	PSYC4802-20134	0.98	Block	exp	60	20131023.113228	diff	60	diff	1	651
87	18	F	PSYC4802-20134	0.98	Block	exp	61	20131023.113230	same	20	same	1	757
87	18	F	PSYC4802-20134	0.98	Block	exp	62	20131023.113233	diff	20	same	0	715
87	18	F	PSYC4802-20134	0.98	Block	exp	63	20131023.113236	same	20	same	1	1008
87	18	F	PSYC4802-20134	0.98	Block	exp	64	20131023.113239	diff	20	same	0	587
87	18	F	PSYC4802-20134	0.98	Block	exp	65	20131023.113242	same	60	diff	0	1677
87	18	F	PSYC4802-20134	0.98	Block	exp	66	20131023.113245	diff	20	same	0	827
87	18	F	PSYC4802-20134	0.98	Block	exp	67	20131023.113248	same	100	same	1	10267
87	18	F	PSYC4802-20134	0.98	Block	exp	68	20131023.113300	same	20	same	1	5620
87	18	F	PSYC4802-20134	0.98	Block	exp	69	20131023.113308	same	60	same	1	1806
87	18	F	PSYC4802-20134	0.98	Block	exp	70	20131023.113312	same	20	same	1	1033
87	18	F	PSYC4802-20134	0.98	Block	exp	71	20131023.113315	same	20	same	1	985
87	18	F	PSYC4802-20134	0.98	Block	exp	72	20131023.113318	diff	100	diff	1	1249
87	18	F	PSYC4802-20134	0.98	Block	exp	73	20131023.113321	diff	20	same	0	1940
87	18	F	PSYC4802-20134	0.98	Block	exp	74	20131023.113325	diff	100	diff	1	7390
87	18	F	PSYC4802-20134	0.98	Block	exp	75	20131023.113335	diff	20	diff	1	2444
87	18	F	PSYC4802-20134	0.98	Block	exp	76	20131023.113339	same	60	same	1	1255
87	18	F	PSYC4802-20134	0.98	Block	exp	77	20131023.113342	same	60	same	1	1964
87	18	F	PSYC4802-20134	0.98	Block	exp	78	20131023.113346	same	100	diff	0	2350
87	18	F	PSYC4802-20134	0.98	Block	exp	79	20131023.113351	diff	60	same	0	5104
87	18	F	PSYC4802-20134	0.98	Block	exp	80	20131023.113358	diff	100	diff	1	1489
87	18	F	PSYC4802-20134	0.98	Block	exp	81	20131023.113401	same	100	diff	0	3657
87	18	F	PSYC4802-20134	0.98	Block	exp	82	20131023.113407	diff	100	diff	1	1794
87	18	F	PSYC4802-20134	0.98	Block	exp	83	20131023.113411	diff	60	diff	1	1331
87	18	F	PSYC4802-20134	0.98	Block	exp	84	20131023.113414	diff	60	diff	1	1384
87	18	F	PSYC4802-20134	0.98	Block	exp	85	20131023.113418	diff	60	same	0	2497
87	18	F	PSYC4802-20134	0.98	Block	exp	86	20131023.113422	same	20	same	1	1249
87	18	F	PSYC4802-20134	0.98	Block	exp	87	20131023.113425	diff	100	diff	1	5533
87	18	F	PSYC4802-20134	0.98	Block	exp	88	20131023.113433	same	100	diff	0	1507
87	18	F	PSYC4802-20134	0.98	Block	exp	89	20131023.113437	same	100	same	1	2292
87	18	F	PSYC4802-20134	0.98	Block	exp	90	20131023.113441	same	100	same	1	2117
87	18	F	PSYC4802-20134	0.98	Block	exp	91	20131023.113445	diff	60	same	0	1436
87	18	F	PSYC4802-20134	0.98	Block	exp	92	20131023.113449	diff	60	same	0	1871
87	18	F	PSYC4802-20134	0.98	Block	exp	93	20131023.113452	diff	100	diff	1	3903
87	18	F	PSYC4802-20134	0.98	Block	exp	94	20131023.113458	diff	60	diff	1	1448
87	18	F	PSYC4802-20134	0.98	Block	exp	95	20131023.113502	same	100	same	1	1490
87	18	F	PSYC4802-20134	0.98	Block	exp	96	20131023.113505	diff	100	diff	1	2549
87	18	F	PSYC4802-20134	0.98	Block	exp	97	20131023.113510	same	20	diff	0	1595
87	18	F	PSYC4802-20134	0.98	Block	exp	98	20131023.113514	diff	20	diff	1	2328
87	18	F	PSYC4802-20134	0.98	Block	exp	99	20131023.113518	same	20	same	1	827
87	18	F	PSYC4802-20134	0.98	Block	exp	100	20131023.113521	same	20	same	1	786
87	18	F	PSYC4802-20134	0.98	Block	exp	101	20131023.113526	same	20	same	1	1519
87	18	F	PSYC4802-20134	0.98	Block	exp	102	20131023.113529	diff	60	diff	1	874
87	18	F	PSYC4802-20134	0.98	Block	exp	103	20131023.113532	diff	20	diff	1	1320
