Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
96	18	F	PSYC4802-20134	0.98	Block	practice	1	20131025.111346	same	20	same	1	29203
96	18	F	PSYC4802-20134	0.98	Block	practice	2	20131025.111417	diff	20	diff	1	24956
96	18	F	PSYC4802-20134	0.98	Block	practice	3	20131025.111444	same	20	same	1	6909
96	18	F	PSYC4802-20134	0.98	Block	practice	4	20131025.111453	same	60	diff	0	2303
96	18	F	PSYC4802-20134	0.98	Block	practice	5	20131025.111457	diff	20	diff	1	4466
96	18	F	PSYC4802-20134	0.98	Block	practice	6	20131025.111504	same	20	same	1	1502
96	18	F	PSYC4802-20134	0.98	Block	practice	7	20131025.111507	diff	60	diff	1	3838
96	18	F	PSYC4802-20134	0.98	Block	practice	8	20131025.111513	diff	20	diff	1	7583
96	18	F	PSYC4802-20134	0.98	Block	practice	9	20131025.111523	diff	60	diff	1	4314
96	18	F	PSYC4802-20134	0.98	Block	practice	10	20131025.111529	diff	100	diff	1	8902
96	18	F	PSYC4802-20134	0.98	Block	practice	11	20131025.111540	same	20	same	1	3564
96	18	F	PSYC4802-20134	0.98	Block	practice	12	20131025.111546	same	100	diff	0	5726
96	18	F	PSYC4802-20134	0.98	Block	practice	13	20131025.111553	same	100	diff	0	18908
96	18	F	PSYC4802-20134	0.98	Block	practice	14	20131025.111614	same	100	same	1	4290
96	18	F	PSYC4802-20134	0.98	Block	practice	15	20131025.111621	same	60	diff	0	3674
96	18	F	PSYC4802-20134	0.98	Block	practice	16	20131025.111627	diff	100	same	0	2146
96	18	F	PSYC4802-20134	0.98	Block	practice	17	20131025.111631	same	60	diff	0	3065
96	18	F	PSYC4802-20134	0.98	Block	practice	18	20131025.111636	same	100	diff	0	1507
96	18	F	PSYC4802-20134	0.98	Block	practice	19	20131025.111639	same	60	same	1	1108
96	18	F	PSYC4802-20134	0.98	Block	practice	20	20131025.111643	diff	60	same	0	1372
96	18	F	PSYC4802-20134	0.98	Block	practice	21	20131025.111646	diff	20	same	0	6066
96	18	F	PSYC4802-20134	0.98	Block	practice	22	20131025.111654	same	20	same	1	1249
96	18	F	PSYC4802-20134	0.98	Block	practice	23	20131025.111658	diff	20	diff	1	9323
96	18	F	PSYC4802-20134	0.98	Block	practice	24	20131025.111709	diff	100	same	0	2181
96	18	F	PSYC4802-20134	0.98	Block	practice	25	20131025.111713	diff	60	same	0	2316
96	18	F	PSYC4802-20134	0.98	Block	practice	26	20131025.111717	diff	100	diff	1	2960
96	18	F	PSYC4802-20134	0.98	Block	practice	27	20131025.111722	same	100	diff	0	4765
96	18	F	PSYC4802-20134	0.98	Block	practice	28	20131025.111729	same	60	same	1	968
96	18	F	PSYC4802-20134	0.98	Block	practice	29	20131025.111732	diff	100	diff	1	4524
96	18	F	PSYC4802-20134	0.98	Block	practice	30	20131025.111739	diff	60	diff	1	3511
96	18	F	PSYC4802-20134	0.98	Block	exp	31	20131025.111745	same	20	same	1	1384
96	18	F	PSYC4802-20134	0.98	Block	exp	32	20131025.111748	same	60	same	1	1091
96	18	F	PSYC4802-20134	0.98	Block	exp	33	20131025.111751	same	100	diff	0	1630
96	18	F	PSYC4802-20134	0.98	Block	exp	34	20131025.111755	diff	100	diff	1	1489
96	18	F	PSYC4802-20134	0.98	Block	exp	35	20131025.111759	diff	100	same	0	4190
96	18	F	PSYC4802-20134	0.98	Block	exp	36	20131025.111805	diff	60	diff	1	3558
96	18	F	PSYC4802-20134	0.98	Block	exp	37	20131025.111811	diff	100	diff	1	4613
96	18	F	PSYC4802-20134	0.98	Block	exp	38	20131025.111817	diff	20	diff	1	5843
96	18	F	PSYC4802-20134	0.98	Block	exp	39	20131025.111825	same	100	diff	0	4578
96	18	F	PSYC4802-20134	0.98	Block	exp	40	20131025.111832	diff	20	same	0	1372
96	18	F	PSYC4802-20134	0.98	Block	exp	41	20131025.111835	same	20	diff	0	2263
96	18	F	PSYC4802-20134	0.98	Block	exp	42	20131025.111840	same	20	same	1	886
96	18	F	PSYC4802-20134	0.98	Block	exp	43	20131025.111843	same	60	diff	0	2643
96	18	F	PSYC4802-20134	0.98	Block	exp	44	20131025.111847	diff	100	diff	1	2327
96	18	F	PSYC4802-20134	0.98	Block	exp	45	20131025.111852	diff	20	same	0	3288
96	18	F	PSYC4802-20134	0.98	Block	exp	46	20131025.111857	diff	20	same	0	2562
96	18	F	PSYC4802-20134	0.98	Block	exp	47	20131025.111902	diff	100	diff	1	10566
96	18	F	PSYC4802-20134	0.98	Block	exp	48	20131025.111915	diff	60	same	0	6311
96	18	F	PSYC4802-20134	0.98	Block	exp	49	20131025.111923	same	100	diff	0	11655
96	18	F	PSYC4802-20134	0.98	Block	exp	50	20131025.111937	same	100	diff	0	6804
96	18	F	PSYC4802-20134	0.98	Block	exp	51	20131025.111953	diff	60	same	0	2896
96	18	F	PSYC4802-20134	0.98	Block	exp	52	20131025.111958	diff	100	diff	1	2467
96	18	F	PSYC4802-20134	0.98	Block	exp	53	20131025.112002	same	20	diff	0	1566
96	18	F	PSYC4802-20134	0.98	Block	exp	54	20131025.112006	same	20	same	1	2661
96	18	F	PSYC4802-20134	0.98	Block	exp	55	20131025.112011	diff	20	same	0	4185
96	18	F	PSYC4802-20134	0.98	Block	exp	56	20131025.112017	diff	100	diff	1	4132
96	18	F	PSYC4802-20134	0.98	Block	exp	57	20131025.112023	diff	60	diff	1	2005
96	18	F	PSYC4802-20134	0.98	Block	exp	58	20131025.112027	diff	20	same	0	2861
96	18	F	PSYC4802-20134	0.98	Block	exp	59	20131025.112032	same	100	same	1	868
96	18	F	PSYC4802-20134	0.98	Block	exp	60	20131025.112035	same	20	same	1	821
96	18	F	PSYC4802-20134	0.98	Block	exp	61	20131025.112038	same	60	diff	0	1184
96	18	F	PSYC4802-20134	0.98	Block	exp	62	20131025.112042	diff	20	same	0	1589
96	18	F	PSYC4802-20134	0.98	Block	exp	63	20131025.112045	diff	100	same	0	2274
96	18	F	PSYC4802-20134	0.98	Block	exp	64	20131025.112050	same	60	same	1	2849
96	18	F	PSYC4802-20134	0.98	Block	exp	65	20131025.112055	diff	20	diff	1	2070
96	18	F	PSYC4802-20134	0.98	Block	exp	66	20131025.112059	same	100	diff	0	1431
96	18	F	PSYC4802-20134	0.98	Block	exp	67	20131025.112103	diff	20	same	0	904
96	18	F	PSYC4802-20134	0.98	Block	exp	68	20131025.112106	diff	20	same	0	3652
96	18	F	PSYC4802-20134	0.98	Block	exp	69	20131025.112111	diff	60	diff	1	5093
96	18	F	PSYC4802-20134	0.98	Block	exp	70	20131025.112119	same	20	diff	0	7530
96	18	F	PSYC4802-20134	0.98	Block	exp	71	20131025.112128	diff	60	diff	1	4683
96	18	F	PSYC4802-20134	0.98	Block	exp	72	20131025.112135	diff	20	same	0	2849
96	18	F	PSYC4802-20134	0.98	Block	exp	73	20131025.112140	same	100	diff	0	1003
96	18	F	PSYC4802-20134	0.98	Block	exp	74	20131025.112143	diff	100	same	0	1701
96	18	F	PSYC4802-20134	0.98	Block	exp	75	20131025.112147	diff	20	diff	1	6130
96	18	F	PSYC4802-20134	0.98	Block	exp	76	20131025.112155	diff	60	diff	1	3194
96	18	F	PSYC4802-20134	0.98	Block	exp	77	20131025.112200	same	60	diff	0	1776
96	18	F	PSYC4802-20134	0.98	Block	exp	78	20131025.112204	same	60	diff	0	1348
96	18	F	PSYC4802-20134	0.98	Block	exp	79	20131025.112208	diff	20	diff	1	1730
96	18	F	PSYC4802-20134	0.98	Block	exp	80	20131025.112211	same	60	same	1	3007
96	18	F	PSYC4802-20134	0.98	Block	exp	81	20131025.112217	same	60	same	1	4472
96	18	F	PSYC4802-20134	0.98	Block	exp	82	20131025.112223	diff	100	diff	1	2567
96	18	F	PSYC4802-20134	0.98	Block	exp	83	20131025.112228	diff	60	diff	1	1044
96	18	F	PSYC4802-20134	0.98	Block	exp	84	20131025.112231	same	100	same	1	6563
96	18	F	PSYC4802-20134	0.98	Block	exp	85	20131025.112240	diff	20	same	0	885
96	18	F	PSYC4802-20134	0.98	Block	exp	86	20131025.112243	diff	20	same	0	1319
96	18	F	PSYC4802-20134	0.98	Block	exp	87	20131025.112246	diff	100	diff	1	979
96	18	F	PSYC4802-20134	0.98	Block	exp	88	20131025.112249	same	20	diff	0	1671
96	18	F	PSYC4802-20134	0.98	Block	exp	89	20131025.112253	diff	100	same	0	1735
96	18	F	PSYC4802-20134	0.98	Block	exp	90	20131025.112257	same	100	same	1	5691
96	18	F	PSYC4802-20134	0.98	Block	exp	91	20131025.112305	diff	60	same	0	3446
96	18	F	PSYC4802-20134	0.98	Block	exp	92	20131025.112310	diff	60	diff	1	7320
96	18	F	PSYC4802-20134	0.98	Block	exp	93	20131025.112320	diff	20	same	0	12299
96	18	F	PSYC4802-20134	0.98	Block	exp	94	20131025.112334	same	60	diff	0	3013
96	18	F	PSYC4802-20134	0.98	Block	exp	95	20131025.112339	same	100	diff	0	4437
96	18	F	PSYC4802-20134	0.98	Block	exp	96	20131025.112346	diff	20	same	0	1911
96	18	F	PSYC4802-20134	0.98	Block	exp	97	20131025.112350	same	100	diff	0	2837
96	18	F	PSYC4802-20134	0.98	Block	exp	98	20131025.112354	same	20	same	1	1149
96	18	F	PSYC4802-20134	0.98	Block	exp	99	20131025.112358	diff	20	diff	1	7571
96	18	F	PSYC4802-20134	0.98	Block	exp	100	20131025.112407	same	60	same	1	2626
96	18	F	PSYC4802-20134	0.98	Block	exp	101	20131025.112442	diff	60	diff	1	3235
96	18	F	PSYC4802-20134	0.98	Block	exp	102	20131025.112447	diff	60	diff	1	2187
96	18	F	PSYC4802-20134	0.98	Block	exp	103	20131025.112451	same	60	diff	0	950
96	18	F	PSYC4802-20134	0.98	Block	exp	104	20131025.112454	diff	60	same	0	3124
96	18	F	PSYC4802-20134	0.98	Block	exp	105	20131025.112500	same	60	diff	0	2931
96	18	F	PSYC4802-20134	0.98	Block	exp	106	20131025.112505	same	100	same	1	6803
96	18	F	PSYC4802-20134	0.98	Block	exp	107	20131025.112514	diff	20	same	0	1723
96	18	F	PSYC4802-20134	0.98	Block	exp	108	20131025.112517	same	20	same	1	3862
96	18	F	PSYC4802-20134	0.98	Block	exp	109	20131025.112523	diff	20	diff	1	1648
96	18	F	PSYC4802-20134	0.98	Block	exp	110	20131025.112527	same	60	same	1	18305
96	18	F	PSYC4802-20134	0.98	Block	exp	111	20131025.112548	diff	60	same	0	1934
96	18	F	PSYC4802-20134	0.98	Block	exp	112	20131025.112552	diff	100	diff	1	4541
96	18	F	PSYC4802-20134	0.98	Block	exp	113	20131025.112558	same	60	same	1	8328
96	18	F	PSYC4802-20134	0.98	Block	exp	114	20131025.112609	diff	100	diff	1	5274
96	18	F	PSYC4802-20134	0.98	Block	exp	115	20131025.112616	diff	20	diff	1	12388
96	18	F	PSYC4802-20134	0.98	Block	exp	116	20131025.112631	diff	20	same	0	5081
96	18	F	PSYC4802-20134	0.98	Block	exp	117	20131025.112638	diff	20	same	0	3264
96	18	F	PSYC4802-20134	0.98	Block	exp	118	20131025.112643	same	100	same	1	11023
96	18	F	PSYC4802-20134	0.98	Block	exp	119	20131025.112656	same	20	same	1	2708
96	18	F	PSYC4802-20134	0.98	Block	exp	120	20131025.112701	same	20	diff	0	14561
96	18	F	PSYC4802-20134	0.98	Block	exp	121	20131025.112718	same	60	same	1	9921
96	18	F	PSYC4802-20134	0.98	Block	exp	122	20131025.112730	diff	60	same	0	7015
96	18	F	PSYC4802-20134	0.98	Block	exp	123	20131025.112739	same	60	diff	0	23239
96	18	F	PSYC4802-20134	0.98	Block	exp	124	20131025.112804	same	60	same	1	16231
96	18	F	PSYC4802-20134	0.98	Block	exp	125	20131025.112823	same	60	same	1	6001
