Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
97	19	F	PSYC4802-20134	0.98	Block	practice	1	20131111.082516	same	60	diff	0	15757
97	19	F	PSYC4802-20134	0.98	Block	practice	2	20131111.082535	same	100	same	1	22126
97	19	F	PSYC4802-20134	0.98	Block	practice	3	20131111.082559	same	60	diff	0	11269
97	19	F	PSYC4802-20134	0.98	Block	practice	4	20131111.082612	same	20	same	1	3247
97	19	F	PSYC4802-20134	0.98	Block	practice	5	20131111.082618	diff	20	diff	1	18428
97	19	F	PSYC4802-20134	0.98	Block	practice	6	20131111.082638	diff	60	diff	1	4020
97	19	F	PSYC4802-20134	0.98	Block	practice	7	20131111.082644	same	100	diff	0	11163
97	19	F	PSYC4802-20134	0.98	Block	practice	8	20131111.082657	diff	100	diff	1	6458
97	19	F	PSYC4802-20134	0.98	Block	practice	9	20131111.082706	same	20	same	1	2814
97	19	F	PSYC4802-20134	0.98	Block	practice	10	20131111.082711	diff	60	diff	1	10905
97	19	F	PSYC4802-20134	0.98	Block	practice	11	20131111.082724	same	20	same	1	1993
97	19	F	PSYC4802-20134	0.98	Block	practice	12	20131111.082728	diff	20	diff	1	7449
97	19	F	PSYC4802-20134	0.98	Block	practice	13	20131111.082737	diff	60	diff	1	2462
97	19	F	PSYC4802-20134	0.98	Block	practice	14	20131111.082741	same	60	diff	0	2268
97	19	F	PSYC4802-20134	0.98	Block	practice	15	20131111.082746	same	20	same	1	2386
97	19	F	PSYC4802-20134	0.98	Block	practice	16	20131111.082750	same	100	same	1	6827
97	19	F	PSYC4802-20134	0.98	Block	practice	17	20131111.082759	diff	20	diff	1	2239
97	19	F	PSYC4802-20134	0.98	Block	practice	18	20131111.082803	diff	60	diff	1	2069
97	19	F	PSYC4802-20134	0.98	Block	practice	19	20131111.082807	same	20	same	1	1595
97	19	F	PSYC4802-20134	0.98	Block	practice	20	20131111.082811	diff	100	diff	1	2620
97	19	F	PSYC4802-20134	0.98	Block	practice	21	20131111.082815	diff	100	diff	1	2034
97	19	F	PSYC4802-20134	0.98	Block	practice	22	20131111.082820	diff	100	diff	1	1278
97	19	F	PSYC4802-20134	0.98	Block	practice	23	20131111.082823	same	60	diff	0	1518
97	19	F	PSYC4802-20134	0.98	Block	practice	24	20131111.082826	diff	20	diff	1	8057
97	19	F	PSYC4802-20134	0.98	Block	practice	25	20131111.082836	same	100	same	1	3100
97	19	F	PSYC4802-20134	0.98	Block	practice	26	20131111.082842	diff	20	diff	1	1425
97	19	F	PSYC4802-20134	0.98	Block	practice	27	20131111.082845	same	60	same	1	1431
97	19	F	PSYC4802-20134	0.98	Block	practice	28	20131111.082848	diff	100	diff	1	2028
97	19	F	PSYC4802-20134	0.98	Block	practice	29	20131111.082852	same	100	diff	0	1882
97	19	F	PSYC4802-20134	0.98	Block	practice	30	20131111.082856	diff	60	diff	1	2808
97	19	F	PSYC4802-20134	0.98	Block	exp	31	20131111.082901	diff	100	diff	1	2732
97	19	F	PSYC4802-20134	0.98	Block	exp	32	20131111.082906	same	20	same	1	833
97	19	F	PSYC4802-20134	0.98	Block	exp	33	20131111.082909	same	60	same	1	1495
97	19	F	PSYC4802-20134	0.98	Block	exp	34	20131111.082912	diff	100	diff	1	3605
97	19	F	PSYC4802-20134	0.98	Block	exp	35	20131111.082918	diff	60	diff	1	2134
97	19	F	PSYC4802-20134	0.98	Block	exp	36	20131111.082922	same	100	same	1	1999
97	19	F	PSYC4802-20134	0.98	Block	exp	37	20131111.082926	diff	20	diff	1	1038
97	19	F	PSYC4802-20134	0.98	Block	exp	38	20131111.082929	diff	60	diff	1	1378
97	19	F	PSYC4802-20134	0.98	Block	exp	39	20131111.082932	diff	60	diff	1	1847
97	19	F	PSYC4802-20134	0.98	Block	exp	40	20131111.082936	same	60	same	1	1987
97	19	F	PSYC4802-20134	0.98	Block	exp	41	20131111.082940	same	60	diff	0	1642
97	19	F	PSYC4802-20134	0.98	Block	exp	42	20131111.082944	same	20	same	1	1044
97	19	F	PSYC4802-20134	0.98	Block	exp	43	20131111.082947	same	60	same	1	3189
97	19	F	PSYC4802-20134	0.98	Block	exp	44	20131111.082952	same	100	diff	0	1659
97	19	F	PSYC4802-20134	0.98	Block	exp	45	20131111.082955	diff	60	diff	1	1226
97	19	F	PSYC4802-20134	0.98	Block	exp	46	20131111.082959	same	100	same	1	968
97	19	F	PSYC4802-20134	0.98	Block	exp	47	20131111.083002	diff	100	diff	1	2637
97	19	F	PSYC4802-20134	0.98	Block	exp	48	20131111.083006	diff	20	diff	1	2461
