Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
116	18	f	PSYC4802-20134	0.98	Block	practice	1	20131114.114421	diff	20	diff	1	880
116	18	f	PSYC4802-20134	0.98	Block	practice	2	20131114.114424	same	60	same	1	915
116	18	f	PSYC4802-20134	0.98	Block	practice	3	20131114.114427	diff	20	same	0	863
116	18	f	PSYC4802-20134	0.98	Block	practice	4	20131114.114430	same	100	same	1	1301
116	18	f	PSYC4802-20134	0.98	Block	practice	5	20131114.114433	same	20	diff	0	710
116	18	f	PSYC4802-20134	0.98	Block	practice	6	20131114.114436	diff	100	same	0	669
116	18	f	PSYC4802-20134	0.98	Block	practice	7	20131114.114439	diff	20	diff	1	610
116	18	f	PSYC4802-20134	0.98	Block	practice	8	20131114.114441	same	60	same	1	482
116	18	f	PSYC4802-20134	0.98	Block	practice	9	20131114.114444	same	20	same	1	593
116	18	f	PSYC4802-20134	0.98	Block	practice	10	20131114.114447	same	60	diff	0	634
116	18	f	PSYC4802-20134	0.98	Block	practice	11	20131114.114449	diff	60	same	0	810
116	18	f	PSYC4802-20134	0.98	Block	practice	12	20131114.114452	diff	100	diff	1	781
116	18	f	PSYC4802-20134	0.98	Block	practice	13	20131114.114455	diff	60	diff	1	716
116	18	f	PSYC4802-20134	0.98	Block	practice	14	20131114.114457	same	100	same	1	610
116	18	f	PSYC4802-20134	0.98	Block	practice	15	20131114.114500	same	60	same	1	558
116	18	f	PSYC4802-20134	0.98	Block	practice	16	20131114.114503	diff	100	same	0	774
116	18	f	PSYC4802-20134	0.98	Block	practice	17	20131114.114505	diff	100	same	0	845
116	18	f	PSYC4802-20134	0.98	Block	practice	18	20131114.114508	diff	60	diff	1	851
116	18	f	PSYC4802-20134	0.98	Block	practice	19	20131114.114511	same	20	diff	0	587
116	18	f	PSYC4802-20134	0.98	Block	practice	20	20131114.114513	same	100	diff	0	722
116	18	f	PSYC4802-20134	0.98	Block	practice	21	20131114.114516	diff	60	same	0	1600
116	18	f	PSYC4802-20134	0.98	Block	practice	22	20131114.114520	same	100	same	1	792
116	18	f	PSYC4802-20134	0.98	Block	practice	23	20131114.114523	same	20	same	1	798
116	18	f	PSYC4802-20134	0.98	Block	practice	24	20131114.114525	same	60	same	1	699
116	18	f	PSYC4802-20134	0.98	Block	practice	25	20131114.114528	same	20	same	1	658
116	18	f	PSYC4802-20134	0.98	Block	practice	26	20131114.114531	same	100	same	1	1770
116	18	f	PSYC4802-20134	0.98	Block	practice	27	20131114.114535	diff	60	diff	1	1150
116	18	f	PSYC4802-20134	0.98	Block	practice	28	20131114.114538	diff	20	diff	1	1038
116	18	f	PSYC4802-20134	0.98	Block	practice	29	20131114.114541	diff	20	diff	1	1115
116	18	f	PSYC4802-20134	0.98	Block	practice	30	20131114.114544	diff	100	diff	1	1062
116	18	f	PSYC4802-20134	0.98	Block	exp	31	20131114.114547	same	60	same	1	903
116	18	f	PSYC4802-20134	0.98	Block	exp	32	20131114.114550	same	20	same	1	646
116	18	f	PSYC4802-20134	0.98	Block	exp	33	20131114.114553	same	60	same	1	880
116	18	f	PSYC4802-20134	0.98	Block	exp	34	20131114.114556	same	60	same	1	570
