Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
117	19	F	PSYC4802-20134	0.98	Block	practice	1	20131028.114502	diff	20	same	0	7173
117	19	F	PSYC4802-20134	0.98	Block	practice	2	20131028.114511	same	60	diff	0	1460
117	19	F	PSYC4802-20134	0.98	Block	practice	3	20131028.114514	diff	60	diff	1	5228
117	19	F	PSYC4802-20134	0.98	Block	practice	4	20131028.114522	diff	20	diff	1	5180
117	19	F	PSYC4802-20134	0.98	Block	practice	5	20131028.114529	same	100	same	1	1788
117	19	F	PSYC4802-20134	0.98	Block	practice	6	20131028.114533	diff	60	same	0	5193
117	19	F	PSYC4802-20134	0.98	Block	practice	7	20131028.114540	diff	60	diff	1	2456
117	19	F	PSYC4802-20134	0.98	Block	practice	8	20131028.114544	diff	20	diff	1	9592
117	19	F	PSYC4802-20134	0.98	Block	practice	9	20131028.114556	same	100	diff	0	5339
117	19	F	PSYC4802-20134	0.98	Block	practice	10	20131028.114603	same	20	same	1	1296
117	19	F	PSYC4802-20134	0.98	Block	practice	11	20131028.114607	same	100	same	1	997
117	19	F	PSYC4802-20134	0.98	Block	practice	12	20131028.114610	same	60	same	1	2884
117	19	F	PSYC4802-20134	0.98	Block	practice	13	20131028.114615	same	20	same	1	1565
117	19	F	PSYC4802-20134	0.98	Block	practice	14	20131028.114618	same	20	same	1	857
117	19	F	PSYC4802-20134	0.98	Block	practice	15	20131028.114621	diff	20	diff	1	1730
117	19	F	PSYC4802-20134	0.98	Block	practice	16	20131028.114625	same	100	same	1	3944
117	19	F	PSYC4802-20134	0.98	Block	practice	17	20131028.114631	same	20	same	1	1009
117	19	F	PSYC4802-20134	0.98	Block	practice	18	20131028.114634	diff	60	diff	1	3130
117	19	F	PSYC4802-20134	0.98	Block	practice	19	20131028.114639	same	60	same	1	2849
117	19	F	PSYC4802-20134	0.98	Block	practice	20	20131028.114644	same	60	diff	0	1044
117	19	F	PSYC4802-20134	0.98	Block	practice	21	20131028.114647	diff	100	same	0	1841
117	19	F	PSYC4802-20134	0.98	Block	practice	22	20131028.114651	diff	100	diff	1	903
117	19	F	PSYC4802-20134	0.98	Block	practice	23	20131028.114654	diff	100	diff	1	2626
117	19	F	PSYC4802-20134	0.98	Block	practice	24	20131028.114658	diff	100	same	0	1747
117	19	F	PSYC4802-20134	0.98	Block	practice	25	20131028.114702	diff	20	diff	1	1706
117	19	F	PSYC4802-20134	0.98	Block	practice	26	20131028.114706	diff	100	diff	1	2943
117	19	F	PSYC4802-20134	0.98	Block	practice	27	20131028.114711	same	60	diff	0	1331
117	19	F	PSYC4802-20134	0.98	Block	practice	28	20131028.114714	diff	60	same	0	891
117	19	F	PSYC4802-20134	0.98	Block	practice	29	20131028.114717	same	100	same	1	1946
117	19	F	PSYC4802-20134	0.98	Block	practice	30	20131028.114721	same	20	same	1	909
117	19	F	PSYC4802-20134	0.98	Block	exp	31	20131028.114724	diff	20	diff	1	768
117	19	F	PSYC4802-20134	0.98	Block	exp	32	20131028.114727	same	60	same	1	1366
117	19	F	PSYC4802-20134	0.98	Block	exp	33	20131028.114730	diff	100	diff	1	2825
117	19	F	PSYC4802-20134	0.98	Block	exp	34	20131028.114735	diff	60	diff	1	3013
117	19	F	PSYC4802-20134	0.98	Block	exp	35	20131028.114740	same	20	diff	0	1565
117	19	F	PSYC4802-20134	0.98	Block	exp	36	20131028.114744	diff	100	same	0	6340
117	19	F	PSYC4802-20134	0.98	Block	exp	37	20131028.114752	same	20	same	1	1753
117	19	F	PSYC4802-20134	0.98	Block	exp	38	20131028.114756	same	100	diff	0	1055
117	19	F	PSYC4802-20134	0.98	Block	exp	39	20131028.114759	diff	100	diff	1	3587
117	19	F	PSYC4802-20134	0.98	Block	exp	40	20131028.114805	same	100	same	1	3347
117	19	F	PSYC4802-20134	0.98	Block	exp	41	20131028.114810	diff	20	diff	1	3815
117	19	F	PSYC4802-20134	0.98	Block	exp	42	20131028.114816	diff	20	diff	1	1636
117	19	F	PSYC4802-20134	0.98	Block	exp	43	20131028.114819	diff	100	diff	1	2040
117	19	F	PSYC4802-20134	0.98	Block	exp	44	20131028.114823	diff	20	diff	1	4172
117	19	F	PSYC4802-20134	0.98	Block	exp	45	20131028.114830	same	20	same	1	1091
117	19	F	PSYC4802-20134	0.98	Block	exp	46	20131028.114833	same	60	same	1	792
117	19	F	PSYC4802-20134	0.98	Block	exp	47	20131028.114836	diff	60	diff	1	5620
117	19	F	PSYC4802-20134	0.98	Block	exp	48	20131028.114843	same	20	same	1	1197
117	19	F	PSYC4802-20134	0.98	Block	exp	49	20131028.114846	same	20	same	1	522
117	19	F	PSYC4802-20134	0.98	Block	exp	50	20131028.114849	diff	20	diff	1	704
117	19	F	PSYC4802-20134	0.98	Block	exp	51	20131028.114856	same	60	diff	0	3077
117	19	F	PSYC4802-20134	0.98	Block	exp	52	20131028.114901	same	20	same	1	704
117	19	F	PSYC4802-20134	0.98	Block	exp	53	20131028.114904	diff	100	diff	1	2485
117	19	F	PSYC4802-20134	0.98	Block	exp	54	20131028.114909	diff	60	diff	1	1870
117	19	F	PSYC4802-20134	0.98	Block	exp	55	20131028.114913	diff	60	diff	1	2995
117	19	F	PSYC4802-20134	0.98	Block	exp	56	20131028.114918	diff	20	same	0	850
117	19	F	PSYC4802-20134	0.98	Block	exp	57	20131028.114920	diff	20	diff	1	564
117	19	F	PSYC4802-20134	0.98	Block	exp	58	20131028.114923	same	20	same	1	804
117	19	F	PSYC4802-20134	0.98	Block	exp	59	20131028.114926	same	100	diff	0	816
117	19	F	PSYC4802-20134	0.98	Block	exp	60	20131028.114929	diff	100	same	0	476
117	19	F	PSYC4802-20134	0.98	Block	exp	61	20131028.114931	diff	20	diff	1	745
117	19	F	PSYC4802-20134	0.98	Block	exp	62	20131028.114934	same	20	same	1	651
117	19	F	PSYC4802-20134	0.98	Block	exp	63	20131028.114937	diff	60	diff	1	979
117	19	F	PSYC4802-20134	0.98	Block	exp	64	20131028.114940	diff	60	same	0	634
117	19	F	PSYC4802-20134	0.98	Block	exp	65	20131028.114942	same	100	diff	0	581
117	19	F	PSYC4802-20134	0.98	Block	exp	66	20131028.114945	diff	20	same	0	1138
117	19	F	PSYC4802-20134	0.98	Block	exp	67	20131028.114948	same	20	same	1	8239
117	19	F	PSYC4802-20134	0.98	Block	exp	68	20131028.114958	diff	60	diff	1	909
117	19	F	PSYC4802-20134	0.98	Block	exp	69	20131028.115001	diff	100	diff	1	763
117	19	F	PSYC4802-20134	0.98	Block	exp	70	20131028.115004	same	60	same	1	687
117	19	F	PSYC4802-20134	0.98	Block	exp	71	20131028.115007	diff	60	diff	1	968
117	19	F	PSYC4802-20134	0.98	Block	exp	72	20131028.115010	same	20	same	1	5040
117	19	F	PSYC4802-20134	0.98	Block	exp	73	20131028.115017	same	20	same	1	1993
117	19	F	PSYC4802-20134	0.98	Block	exp	74	20131028.115021	same	100	diff	0	763
117	19	F	PSYC4802-20134	0.98	Block	exp	75	20131028.115024	diff	100	diff	1	1460
117	19	F	PSYC4802-20134	0.98	Block	exp	76	20131028.115027	same	60	same	1	1296
117	19	F	PSYC4802-20134	0.98	Block	exp	77	20131028.115030	same	60	diff	0	792
117	19	F	PSYC4802-20134	0.98	Block	exp	78	20131028.115033	same	100	diff	0	686
117	19	F	PSYC4802-20134	0.98	Block	exp	79	20131028.115036	diff	60	same	0	546
117	19	F	PSYC4802-20134	0.98	Block	exp	80	20131028.115038	same	20	diff	0	523
117	19	F	PSYC4802-20134	0.98	Block	exp	81	20131028.115041	same	20	same	1	810
117	19	F	PSYC4802-20134	0.98	Block	exp	82	20131028.115044	same	100	same	1	1184
117	19	F	PSYC4802-20134	0.98	Block	exp	83	20131028.115047	diff	100	same	0	194
117	19	F	PSYC4802-20134	0.98	Block	exp	84	20131028.115049	diff	60	diff	1	19
117	19	F	PSYC4802-20134	0.98	Block	exp	85	20131028.115051	same	20	same	1	124
117	19	F	PSYC4802-20134	0.98	Block	exp	86	20131028.115053	same	60	diff	0	12
117	19	F	PSYC4802-20134	0.98	Block	exp	87	20131028.115056	same	60	same	1	610
117	19	F	PSYC4802-20134	0.98	Block	exp	88	20131028.115058	diff	100	diff	1	698
117	19	F	PSYC4802-20134	0.98	Block	exp	89	20131028.115101	diff	60	same	0	417
117	19	F	PSYC4802-20134	0.98	Block	exp	90	20131028.115103	diff	20	diff	1	516
117	19	F	PSYC4802-20134	0.98	Block	exp	91	20131028.115106	same	100	same	1	2555
117	19	F	PSYC4802-20134	0.98	Block	exp	92	20131028.115110	same	100	diff	0	628
117	19	F	PSYC4802-20134	0.98	Block	exp	93	20131028.115113	diff	60	same	0	540
117	19	F	PSYC4802-20134	0.98	Block	exp	94	20131028.115116	diff	100	diff	1	358
117	19	F	PSYC4802-20134	0.98	Block	exp	95	20131028.115118	diff	100	same	0	3048
117	19	F	PSYC4802-20134	0.98	Block	exp	96	20131028.115123	diff	100	diff	1	593
117	19	F	PSYC4802-20134	0.98	Block	exp	97	20131028.115126	same	100	same	1	605
