Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
122	28	M	PSYC4802-20134	0.98	Block	practice	1	20131030.105657	same	60	same	1	24381
122	28	M	PSYC4802-20134	0.98	Block	practice	2	20131030.105724	same	60	same	1	9171
122	28	M	PSYC4802-20134	0.98	Block	practice	3	20131030.105735	diff	100	diff	1	8931
122	28	M	PSYC4802-20134	0.98	Block	practice	4	20131030.105746	diff	20	diff	1	12423
122	28	M	PSYC4802-20134	0.98	Block	practice	5	20131030.105801	diff	20	diff	1	20754
122	28	M	PSYC4802-20134	0.98	Block	practice	6	20131030.105823	diff	60	diff	1	6610
122	28	M	PSYC4802-20134	0.98	Block	practice	7	20131030.105832	same	20	same	1	2157
122	28	M	PSYC4802-20134	0.98	Block	practice	8	20131030.105836	same	100	same	1	7320
122	28	M	PSYC4802-20134	0.98	Block	practice	9	20131030.105845	diff	100	diff	1	3575
122	28	M	PSYC4802-20134	0.98	Block	practice	10	20131030.105851	diff	20	diff	1	4536
122	28	M	PSYC4802-20134	0.98	Block	practice	11	20131030.105857	same	20	same	1	1430
122	28	M	PSYC4802-20134	0.98	Block	practice	12	20131030.105901	diff	60	diff	1	4489
122	28	M	PSYC4802-20134	0.98	Block	practice	13	20131030.105907	same	60	same	1	1091
122	28	M	PSYC4802-20134	0.98	Block	practice	14	20131030.105910	same	20	same	1	1120
122	28	M	PSYC4802-20134	0.98	Block	practice	15	20131030.105914	diff	20	diff	1	9786
122	28	M	PSYC4802-20134	0.98	Block	practice	16	20131030.105925	same	60	same	1	4196
122	28	M	PSYC4802-20134	0.98	Block	practice	17	20131030.105931	same	20	diff	0	3358
122	28	M	PSYC4802-20134	0.98	Block	practice	18	20131030.105937	diff	100	diff	1	5281
122	28	M	PSYC4802-20134	0.98	Block	practice	19	20131030.105944	same	20	same	1	1554
122	28	M	PSYC4802-20134	0.98	Block	practice	20	20131030.105948	diff	60	diff	1	3734
122	28	M	PSYC4802-20134	0.98	Block	practice	21	20131030.105953	diff	60	diff	1	3605
122	28	M	PSYC4802-20134	0.98	Block	practice	22	20131030.105959	same	100	same	1	4975
122	28	M	PSYC4802-20134	0.98	Block	practice	23	20131030.110006	diff	100	diff	1	5069
122	28	M	PSYC4802-20134	0.98	Block	practice	24	20131030.110013	same	100	same	1	1085
122	28	M	PSYC4802-20134	0.98	Block	practice	25	20131030.110016	same	100	same	1	2872
122	28	M	PSYC4802-20134	0.98	Block	practice	26	20131030.110021	same	60	same	1	2233
122	28	M	PSYC4802-20134	0.98	Block	practice	27	20131030.110025	diff	100	diff	1	1911
122	28	M	PSYC4802-20134	0.98	Block	practice	28	20131030.110029	same	100	same	1	1073
122	28	M	PSYC4802-20134	0.98	Block	practice	29	20131030.110032	diff	60	diff	1	2023
122	28	M	PSYC4802-20134	0.98	Block	practice	30	20131030.110036	diff	20	diff	1	2555
122	28	M	PSYC4802-20134	0.98	Block	exp	31	20131030.110041	diff	20	diff	1	2022
122	28	M	PSYC4802-20134	0.98	Block	exp	32	20131030.110045	same	20	same	1	1085
122	28	M	PSYC4802-20134	0.98	Block	exp	33	20131030.110048	same	100	same	1	2240
122	28	M	PSYC4802-20134	0.98	Block	exp	34	20131030.110052	same	100	same	1	1378
122	28	M	PSYC4802-20134	0.98	Block	exp	35	20131030.110055	same	20	same	1	862
122	28	M	PSYC4802-20134	0.98	Block	exp	36	20131030.110058	same	20	same	1	669
122	28	M	PSYC4802-20134	0.98	Block	exp	37	20131030.110101	diff	20	diff	1	1056
122	28	M	PSYC4802-20134	0.98	Block	exp	38	20131030.110104	diff	60	diff	1	2110
122	28	M	PSYC4802-20134	0.98	Block	exp	39	20131030.110108	same	100	same	1	1050
122	28	M	PSYC4802-20134	0.98	Block	exp	40	20131030.110111	diff	60	diff	1	3153
122	28	M	PSYC4802-20134	0.98	Block	exp	41	20131030.110116	diff	60	diff	1	1694
122	28	M	PSYC4802-20134	0.98	Block	exp	42	20131030.110120	diff	60	diff	1	1519
122	28	M	PSYC4802-20134	0.98	Block	exp	43	20131030.110123	diff	20	diff	1	1975
122	28	M	PSYC4802-20134	0.98	Block	exp	44	20131030.110127	same	20	same	1	663
122	28	M	PSYC4802-20134	0.98	Block	exp	45	20131030.110130	diff	100	diff	1	1689
122	28	M	PSYC4802-20134	0.98	Block	exp	46	20131030.110134	same	100	diff	0	1419
122	28	M	PSYC4802-20134	0.98	Block	exp	47	20131030.110137	same	100	same	1	1800
122	28	M	PSYC4802-20134	0.98	Block	exp	48	20131030.110141	same	100	same	1	1366
122	28	M	PSYC4802-20134	0.98	Block	exp	49	20131030.110144	diff	60	diff	1	2931
122	28	M	PSYC4802-20134	0.98	Block	exp	50	20131030.110149	same	60	same	1	1049
122	28	M	PSYC4802-20134	0.98	Block	exp	51	20131030.110231	diff	100	diff	1	5245
122	28	M	PSYC4802-20134	0.98	Block	exp	52	20131030.110239	same	60	same	1	997
122	28	M	PSYC4802-20134	0.98	Block	exp	53	20131030.110242	diff	20	diff	1	1665
122	28	M	PSYC4802-20134	0.98	Block	exp	54	20131030.110245	same	100	same	1	974
122	28	M	PSYC4802-20134	0.98	Block	exp	55	20131030.110248	diff	60	diff	1	1021
122	28	M	PSYC4802-20134	0.98	Block	exp	56	20131030.110251	same	100	same	1	1865
122	28	M	PSYC4802-20134	0.98	Block	exp	57	20131030.110255	diff	20	diff	1	1325
122	28	M	PSYC4802-20134	0.98	Block	exp	58	20131030.110258	diff	100	diff	1	1724
122	28	M	PSYC4802-20134	0.98	Block	exp	59	20131030.110302	diff	100	diff	1	3305
122	28	M	PSYC4802-20134	0.98	Block	exp	60	20131030.110307	same	100	same	1	2520
122	28	M	PSYC4802-20134	0.98	Block	exp	61	20131030.110312	diff	100	diff	1	1038
122	28	M	PSYC4802-20134	0.98	Block	exp	62	20131030.110315	diff	20	diff	1	2585
122	28	M	PSYC4802-20134	0.98	Block	exp	63	20131030.110320	same	60	same	1	1776
122	28	M	PSYC4802-20134	0.98	Block	exp	64	20131030.110323	same	20	same	1	850
122	28	M	PSYC4802-20134	0.98	Block	exp	65	20131030.110326	diff	100	diff	1	2029
122	28	M	PSYC4802-20134	0.98	Block	exp	66	20131030.110330	diff	100	diff	1	5239
122	28	M	PSYC4802-20134	0.98	Block	exp	67	20131030.110337	diff	20	diff	1	2462
122	28	M	PSYC4802-20134	0.98	Block	exp	68	20131030.110342	same	100	same	1	2333
122	28	M	PSYC4802-20134	0.98	Block	exp	69	20131030.110346	diff	20	diff	1	1601
122	28	M	PSYC4802-20134	0.98	Block	exp	70	20131030.110350	same	20	same	1	1789
122	28	M	PSYC4802-20134	0.98	Block	exp	71	20131030.110354	same	60	same	1	3259
122	28	M	PSYC4802-20134	0.98	Block	exp	72	20131030.110359	diff	100	diff	1	1062
122	28	M	PSYC4802-20134	0.98	Block	exp	73	20131030.110402	same	60	same	1	962
122	28	M	PSYC4802-20134	0.98	Block	exp	74	20131030.110405	diff	60	diff	1	2526
122	28	M	PSYC4802-20134	0.98	Block	exp	75	20131030.110409	diff	20	diff	1	1483
122	28	M	PSYC4802-20134	0.98	Block	exp	76	20131030.110413	diff	100	diff	1	1642
122	28	M	PSYC4802-20134	0.98	Block	exp	77	20131030.110416	diff	60	diff	1	1114
122	28	M	PSYC4802-20134	0.98	Block	exp	78	20131030.110420	diff	60	diff	1	1794
122	28	M	PSYC4802-20134	0.98	Block	exp	79	20131030.110423	same	20	same	1	991
122	28	M	PSYC4802-20134	0.98	Block	exp	80	20131030.110426	diff	20	diff	1	1091
122	28	M	PSYC4802-20134	0.98	Block	exp	81	20131030.110429	diff	60	diff	1	2503
