Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
132	20	M	PSYC4802-20134	0.98	Block	practice	1	20131030.115331	same	60	same	1	17174
132	20	M	PSYC4802-20134	0.98	Block	practice	2	20131030.115350	diff	20	diff	1	12968
132	20	M	PSYC4802-20134	0.98	Block	practice	3	20131030.115405	diff	20	diff	1	4852
132	20	M	PSYC4802-20134	0.98	Block	practice	4	20131030.115412	same	20	same	1	2461
132	20	M	PSYC4802-20134	0.98	Block	practice	5	20131030.115416	same	100	same	1	30961
132	20	M	PSYC4802-20134	0.98	Block	practice	6	20131030.115449	diff	60	diff	1	1531
132	20	M	PSYC4802-20134	0.98	Block	practice	7	20131030.115453	same	20	same	1	1354
132	20	M	PSYC4802-20134	0.98	Block	practice	8	20131030.115456	diff	100	diff	1	3136
132	20	M	PSYC4802-20134	0.98	Block	practice	9	20131030.115502	same	20	same	1	2076
132	20	M	PSYC4802-20134	0.98	Block	practice	10	20131030.115506	diff	100	diff	1	2298
132	20	M	PSYC4802-20134	0.98	Block	practice	11	20131030.115510	same	60	same	1	3200
132	20	M	PSYC4802-20134	0.98	Block	practice	12	20131030.115515	diff	100	diff	1	1442
132	20	M	PSYC4802-20134	0.98	Block	practice	13	20131030.115519	diff	60	diff	1	2485
132	20	M	PSYC4802-20134	0.98	Block	practice	14	20131030.115523	same	100	same	1	2157
132	20	M	PSYC4802-20134	0.98	Block	practice	15	20131030.115527	same	20	same	1	1659
132	20	M	PSYC4802-20134	0.98	Block	practice	16	20131030.115531	diff	60	diff	1	2468
132	20	M	PSYC4802-20134	0.98	Block	practice	17	20131030.115536	diff	100	diff	1	1525
132	20	M	PSYC4802-20134	0.98	Block	practice	18	20131030.115539	diff	60	diff	1	1425
132	20	M	PSYC4802-20134	0.98	Block	practice	19	20131030.115542	same	60	same	1	1425
132	20	M	PSYC4802-20134	0.98	Block	practice	20	20131030.115546	diff	20	diff	1	2052
132	20	M	PSYC4802-20134	0.98	Block	practice	21	20131030.115550	same	100	same	1	1542
132	20	M	PSYC4802-20134	0.98	Block	practice	22	20131030.115554	same	100	same	1	2989
132	20	M	PSYC4802-20134	0.98	Block	practice	23	20131030.115559	diff	20	diff	1	1097
132	20	M	PSYC4802-20134	0.98	Block	practice	24	20131030.115602	same	20	same	1	1044
132	20	M	PSYC4802-20134	0.98	Block	practice	25	20131030.115605	same	60	same	1	1349
132	20	M	PSYC4802-20134	0.98	Block	practice	26	20131030.115608	same	60	same	1	1923
132	20	M	PSYC4802-20134	0.98	Block	practice	27	20131030.115612	diff	100	diff	1	3546
132	20	M	PSYC4802-20134	0.98	Block	practice	28	20131030.115618	same	100	same	1	1150
132	20	M	PSYC4802-20134	0.98	Block	practice	29	20131030.115621	diff	60	diff	1	2989
132	20	M	PSYC4802-20134	0.98	Block	practice	30	20131030.115626	diff	20	diff	1	2819
132	20	M	PSYC4802-20134	0.98	Block	exp	31	20131030.115631	diff	60	diff	1	5345
132	20	M	PSYC4802-20134	0.98	Block	exp	32	20131030.115638	same	100	same	1	1917
132	20	M	PSYC4802-20134	0.98	Block	exp	33	20131030.115642	same	100	same	1	2069
132	20	M	PSYC4802-20134	0.98	Block	exp	34	20131030.115646	same	60	same	1	1823
132	20	M	PSYC4802-20134	0.98	Block	exp	35	20131030.115650	same	60	same	1	1624
132	20	M	PSYC4802-20134	0.98	Block	exp	36	20131030.115654	same	100	same	1	1062
132	20	M	PSYC4802-20134	0.98	Block	exp	37	20131030.115657	same	20	same	1	1753
132	20	M	PSYC4802-20134	0.98	Block	exp	38	20131030.115701	same	60	same	1	1618
132	20	M	PSYC4802-20134	0.98	Block	exp	39	20131030.115704	same	60	same	1	3376
132	20	M	PSYC4802-20134	0.98	Block	exp	40	20131030.115710	same	20	same	1	1290
132	20	M	PSYC4802-20134	0.98	Block	exp	41	20131030.115713	diff	60	diff	1	1841
132	20	M	PSYC4802-20134	0.98	Block	exp	42	20131030.115717	same	20	same	1	1120
132	20	M	PSYC4802-20134	0.98	Block	exp	43	20131030.115720	diff	100	diff	1	1296
132	20	M	PSYC4802-20134	0.98	Block	exp	44	20131030.115723	same	100	same	1	1987
132	20	M	PSYC4802-20134	0.98	Block	exp	45	20131030.115727	diff	20	diff	1	3551
132	20	M	PSYC4802-20134	0.98	Block	exp	46	20131030.115733	same	100	same	1	3253
132	20	M	PSYC4802-20134	0.98	Block	exp	47	20131030.115738	same	60	same	1	1408
132	20	M	PSYC4802-20134	0.98	Block	exp	48	20131030.115742	same	20	same	1	1408
132	20	M	PSYC4802-20134	0.98	Block	exp	49	20131030.115745	same	60	same	1	1946
132	20	M	PSYC4802-20134	0.98	Block	exp	50	20131030.115749	diff	100	diff	1	1894
132	20	M	PSYC4802-20134	0.98	Block	exp	51	20131030.115806	diff	100	diff	1	2895
132	20	M	PSYC4802-20134	0.98	Block	exp	52	20131030.115811	diff	60	diff	1	1964
132	20	M	PSYC4802-20134	0.98	Block	exp	53	20131030.115815	diff	100	diff	1	2702
132	20	M	PSYC4802-20134	0.98	Block	exp	54	20131030.115820	diff	60	diff	1	974
132	20	M	PSYC4802-20134	0.98	Block	exp	55	20131030.115823	same	100	same	1	3018
132	20	M	PSYC4802-20134	0.98	Block	exp	56	20131030.115828	same	60	same	1	2268
132	20	M	PSYC4802-20134	0.98	Block	exp	57	20131030.115832	diff	60	diff	1	2076
132	20	M	PSYC4802-20134	0.98	Block	exp	58	20131030.115836	diff	100	diff	1	2363
132	20	M	PSYC4802-20134	0.98	Block	exp	59	20131030.115841	diff	100	diff	1	2005
132	20	M	PSYC4802-20134	0.98	Block	exp	60	20131030.115845	diff	20	diff	1	1613
132	20	M	PSYC4802-20134	0.98	Block	exp	61	20131030.115848	diff	20	diff	1	2333
132	20	M	PSYC4802-20134	0.98	Block	exp	62	20131030.115853	diff	60	diff	1	1383
132	20	M	PSYC4802-20134	0.98	Block	exp	63	20131030.115856	same	60	same	1	2122
132	20	M	PSYC4802-20134	0.98	Block	exp	64	20131030.115900	diff	20	diff	1	1729
132	20	M	PSYC4802-20134	0.98	Block	exp	65	20131030.115904	diff	100	diff	1	2667
132	20	M	PSYC4802-20134	0.98	Block	exp	66	20131030.115909	diff	100	diff	1	2632
