Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	1	20140423.112323	diff	100	same	0	24633
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	2	20140423.112350	diff	60	diff	1	16782
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	3	20140423.112409	diff	100	diff	1	18481
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	4	20140423.112429	same	100	diff	0	10735
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	5	20140423.112442	diff	60	same	0	6335
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	6	20140423.112451	diff	100	diff	1	23473
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	7	20140423.112516	diff	20	diff	1	13835
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	8	20140423.112532	same	60	diff	0	14145
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	9	20140423.112548	same	60	same	1	9797
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	10	20140423.112600	same	20	diff	0	9792
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	11	20140423.112612	same	100	diff	0	13290
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	12	20140423.112627	same	60	same	1	22371
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	13	20140423.112651	same	60	same	1	9282
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	14	20140423.112703	diff	20	same	0	14433
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	15	20140423.112719	diff	60	diff	1	25829
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	16	20140423.112747	same	60	diff	0	21592
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	17	20140423.112810	diff	100	same	0	12675
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	18	20140423.112825	diff	100	same	0	28476
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	19	20140423.112856	same	100	diff	0	15563
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	20	20140423.112913	same	20	diff	0	16296
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	21	20140423.112932	diff	20	same	0	2849
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	22	20140423.112937	diff	60	same	0	505
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	23	20140423.112939	diff	60	diff	1	6839
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	24	20140423.112948	same	20	same	1	29690
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	25	20140423.113020	same	20	same	1	2743
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	26	20140423.113024	diff	20	diff	1	2966
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	27	20140423.113029	same	100	same	1	7553
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	28	20140423.113039	same	100	same	1	8766
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	29	20140423.113050	diff	20	diff	1	6341
AL	48	19	F	PSYC4802-20142	1.0	Block	practice	30	20140423.113058	same	20	same	1	8432
