Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	1	20140428.114646	diff	60	diff	1	5151
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	2	20140428.114654	diff	100	diff	1	6933
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	3	20140428.114703	diff	100	diff	1	3605
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	4	20140428.114709	diff	60	diff	1	5860
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	5	20140428.114717	same	20	same	1	1190
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	6	20140428.114720	same	20	same	1	1102
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	7	20140428.114723	same	100	same	1	9499
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	8	20140428.114735	same	60	same	1	1853
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	9	20140428.114738	same	100	same	1	1952
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	10	20140428.114742	diff	20	diff	1	5368
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	11	20140428.114750	same	100	same	1	2181
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	12	20140428.114754	same	20	same	1	1150
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	13	20140428.114757	same	100	same	1	2063
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	14	20140428.114801	diff	100	diff	1	2796
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	15	20140428.114806	same	100	same	1	1454
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	16	20140428.114809	same	60	same	1	1114
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	17	20140428.114813	same	60	same	1	2128
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	18	20140428.114817	same	20	same	1	2825
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	19	20140428.114822	diff	60	same	0	16026
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	20	20140428.114840	same	60	same	1	3588
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	21	20140428.114845	diff	60	same	0	1970
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	22	20140428.114849	diff	100	diff	1	6904
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	23	20140428.114858	diff	20	diff	1	6311
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	24	20140428.114906	diff	20	diff	1	11615
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	25	20140428.114920	diff	60	same	0	5966
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	26	20140428.114928	diff	20	diff	1	7594
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	27	20140428.114938	same	20	same	1	4647
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	28	20140428.114944	diff	20	diff	1	6633
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	29	20140428.114953	diff	100	diff	1	6962
AMZ	95	21	m	PSYC4802-20142	1.0	Block	practice	30	20140428.115002	same	60	same	1	5204
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	31	20140428.115009	same	60	same	1	4619
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	32	20140428.115016	same	20	same	1	3429
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	33	20140428.115021	same	20	same	1	3546
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	34	20140428.115027	diff	100	diff	1	3822
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	35	20140428.115032	same	60	same	1	7595
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	36	20140428.115042	diff	100	same	0	4648
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	37	20140428.115049	diff	20	diff	1	12523
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	38	20140428.115103	diff	100	diff	1	7308
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	39	20140428.115113	same	60	diff	0	5058
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	40	20140428.115120	diff	60	diff	1	7102
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	41	20140428.115129	diff	60	diff	1	10120
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	42	20140428.115141	diff	60	diff	1	6353
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	43	20140428.115149	same	60	diff	0	8140
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	44	20140428.115159	same	100	diff	0	8386
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	45	20140428.115210	diff	100	diff	1	11485
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	46	20140428.115223	diff	60	diff	1	11602
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	47	20140428.115237	diff	100	diff	1	6288
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	48	20140428.115245	diff	20	diff	1	7231
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	49	20140428.115254	same	60	same	1	5538
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	50	20140428.115302	same	20	same	1	3242
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	51	20140428.115315	diff	20	diff	1	7501
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	52	20140428.115325	same	20	same	1	3534
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	53	20140428.115330	same	20	same	1	2766
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	54	20140428.115335	diff	60	diff	1	7108
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	55	20140428.115344	same	60	same	1	4947
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	56	20140428.115351	diff	100	diff	1	8087
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	57	20140428.115401	diff	60	diff	1	6136
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	58	20140428.115409	same	100	diff	0	4155
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	59	20140428.115416	diff	100	diff	1	6903
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	60	20140428.115424	diff	20	diff	1	7906
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	61	20140428.115434	same	100	diff	0	7566
AMZ	95	21	m	PSYC4802-20142	1.0	Block	exp	62	20140428.115444	diff	100	diff	1	6007
