Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	1	20140505.114531	diff	100	diff	1	7260
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	2	20140505.114540	same	100	same	1	5034
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	3	20140505.114547	diff	100	same	0	6252
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	4	20140505.114556	diff	60	diff	1	4805
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	5	20140505.114602	diff	20	diff	1	2672
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	6	20140505.114607	same	60	same	1	3323
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	7	20140505.114613	diff	60	same	0	3592
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	8	20140505.114618	diff	60	diff	1	4224
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	9	20140505.114625	same	60	same	1	5421
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	10	20140505.114632	same	20	same	1	4975
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	11	20140505.114639	diff	100	diff	1	4436
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	12	20140505.114645	diff	100	diff	1	3235
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	13	20140505.114651	same	100	same	1	9627
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	14	20140505.114702	same	20	same	1	4441
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	15	20140505.114709	same	20	same	1	3065
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	16	20140505.114714	diff	20	diff	1	2619
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	17	20140505.114718	diff	20	diff	1	5538
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	18	20140505.114726	same	20	same	1	2912
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	19	20140505.114731	same	100	diff	0	5502
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	20	20140505.114738	same	100	same	1	5127
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	21	20140505.114746	diff	60	diff	1	9352
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	22	20140505.114757	diff	60	same	0	7125
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	23	20140505.114806	same	100	same	1	9141
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	24	20140505.114817	diff	20	same	0	8695
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	25	20140505.114828	diff	20	diff	1	7090
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	26	20140505.114837	same	60	same	1	6862
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	27	20140505.114846	diff	100	diff	1	9012
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	28	20140505.114857	same	60	same	1	6973
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	29	20140505.114906	same	20	same	1	5877
AMZ	135	19	f	PSYC4802-20142	1.0	Block	practice	30	20140505.114914	same	60	same	1	5021
AMZ	135	19	f	PSYC4802-20142	1.0	Block	exp	31	20140505.114921	same	100	same	1	5104
