Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	1	20140421.111834	same	60	same	1	8093
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	2	20140421.111845	diff	100	diff	1	10120
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	3	20140421.111857	same	20	same	1	4577
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	4	20140421.111903	diff	60	diff	1	8931
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	5	20140421.111914	diff	20	diff	1	11491
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	6	20140421.111928	same	20	same	1	4530
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	7	20140421.111934	same	100	same	1	19307
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	8	20140421.111955	diff	20	diff	1	6534
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	9	20140421.112004	diff	20	diff	1	7917
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	10	20140421.112014	diff	100	diff	1	5814
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	11	20140421.112022	same	60	same	1	9587
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	12	20140421.112033	same	20	same	1	5157
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	13	20140421.112040	diff	60	diff	1	16056
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	14	20140421.112058	same	60	same	1	6130
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	15	20140421.112106	diff	100	diff	1	7377
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	16	20140421.112116	diff	60	diff	1	2949
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	17	20140421.112121	same	60	same	1	4167
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	18	20140421.112127	same	20	same	1	3769
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	19	20140421.112133	diff	60	same	0	6388
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	20	20140421.112141	same	100	diff	0	4530
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	21	20140421.112147	same	100	same	1	7208
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	22	20140421.112157	diff	20	diff	1	7009
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	23	20140421.112206	same	100	same	1	5691
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	24	20140421.112213	same	100	same	1	9440
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	25	20140421.112225	same	60	same	1	5890
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	26	20140421.112233	same	20	same	1	3030
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	27	20140421.112238	diff	100	diff	1	3306
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	28	20140421.112243	diff	100	diff	1	1425
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	29	20140421.112246	diff	20	diff	1	2070
BS	25	19	M	PSYC4802-20142	1.0	Block	practice	30	20140421.112250	diff	60	diff	1	5403
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	31	20140421.112258	same	100	same	1	7976
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	32	20140421.112308	same	100	same	1	5602
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	33	20140421.112315	diff	100	diff	1	5673
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	34	20140421.112323	diff	60	diff	1	7559
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	35	20140421.112332	same	60	same	1	3330
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	36	20140421.112338	same	60	same	1	4677
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	37	20140421.112344	same	60	same	1	3774
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	38	20140421.112350	same	20	same	1	2620
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	39	20140421.112355	same	20	same	1	2485
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	40	20140421.112359	same	20	same	1	1947
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	41	20140421.112403	same	20	same	1	2720
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	42	20140421.112408	same	60	diff	0	3147
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	43	20140421.112413	diff	100	diff	1	3927
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	44	20140421.112419	diff	60	diff	1	3077
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	45	20140421.112424	diff	100	diff	1	3235
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	46	20140421.112429	diff	60	diff	1	4255
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	47	20140421.112435	diff	20	diff	1	5544
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	48	20140421.112443	diff	100	diff	1	3030
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	49	20140421.112448	same	60	same	1	4355
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	50	20140421.112454	same	20	same	1	4067
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	51	20140421.112510	diff	100	diff	1	6165
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	52	20140421.112519	same	100	diff	0	5356
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	53	20140421.112526	diff	100	diff	1	1483
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	54	20140421.112529	diff	100	diff	1	3183
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	55	20140421.112534	diff	60	diff	1	7319
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	56	20140421.112544	diff	60	diff	1	4882
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	57	20140421.112551	same	60	same	1	3447
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	58	20140421.112556	same	100	same	1	4085
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	59	20140421.112602	same	100	same	1	18393
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	60	20140421.112622	diff	100	diff	1	7408
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	61	20140421.112632	same	60	same	1	3387
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	62	20140421.112637	same	60	same	1	2878
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	63	20140421.112642	same	100	same	1	5204
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	64	20140421.112649	same	100	same	1	11579
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	65	20140421.112703	diff	60	diff	1	3734
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	66	20140421.112709	same	60	same	1	5849
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	67	20140421.112716	diff	60	diff	1	5093
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	68	20140421.112723	same	20	same	1	5128
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	69	20140421.112730	diff	60	same	0	13530
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	70	20140421.112746	same	60	same	1	5649
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	71	20140421.112754	same	20	same	1	6909
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	72	20140421.112803	same	20	same	1	9282
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	73	20140421.112814	same	100	same	1	289
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	74	20140421.112816	diff	20	diff	1	6387
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	75	20140421.112824	diff	20	diff	1	3288
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	76	20140421.112830	diff	60	diff	1	12599
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	77	20140421.112844	diff	60	diff	1	4700
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	78	20140421.112851	diff	100	diff	1	3376
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	79	20140421.112856	diff	60	diff	1	2720
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	80	20140421.112901	same	60	same	1	5884
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	81	20140421.112909	same	60	same	1	3980
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	82	20140421.112915	diff	60	diff	1	5140
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	83	20140421.112922	same	20	same	1	3581
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	84	20140421.112927	diff	20	diff	1	7900
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	85	20140421.112937	diff	100	diff	1	4178
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	86	20140421.112943	diff	100	diff	1	2269
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	87	20140421.112948	diff	20	diff	1	2656
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	88	20140421.112952	same	20	same	1	3674
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	89	20140421.112958	diff	60	diff	1	3042
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	90	20140421.113003	same	100	same	1	4572
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	91	20140421.113010	diff	60	same	0	7225
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	92	20140421.113019	diff	60	diff	1	11826
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	93	20140421.113033	diff	100	diff	1	9129
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	94	20140421.113044	same	100	same	1	3487
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	95	20140421.113049	diff	20	diff	1	5989
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	96	20140421.113057	same	100	same	1	4419
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	97	20140421.113104	same	20	same	1	8398
BS	25	19	M	PSYC4802-20142	1.0	Block	exp	98	20140421.113114	same	60	diff	0	3470
