Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	1	20140423.120246	same	20	same	1	5397
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	2	20140423.120254	diff	60	same	0	2813
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	3	20140423.120259	same	60	same	1	6417
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	4	20140423.120308	same	60	same	1	6581
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	5	20140423.120316	diff	60	same	0	2656
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	6	20140423.120321	same	60	same	1	9839
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	7	20140423.120333	same	100	diff	0	2069
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	8	20140423.120337	same	20	same	1	2128
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	9	20140423.120341	diff	100	diff	1	3581
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	10	20140423.120347	diff	100	diff	1	5977
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	11	20140423.120355	same	100	diff	0	6599
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	12	20140423.120403	diff	20	diff	1	5357
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	13	20140423.120411	same	100	same	1	4390
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	14	20140423.120417	same	20	same	1	4899
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	15	20140423.120424	diff	60	diff	1	5761
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	16	20140423.120432	diff	60	diff	1	3130
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	17	20140423.120437	same	60	diff	0	6692
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	18	20140423.120446	same	60	diff	0	5263
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	19	20140423.120453	same	100	same	1	10290
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	20	20140423.120506	diff	100	diff	1	7226
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	21	20140423.120515	same	20	same	1	4225
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	22	20140423.120521	diff	60	diff	1	7185
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	23	20140423.120530	same	20	same	1	3892
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	24	20140423.120536	same	100	diff	0	4367
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	25	20140423.120543	diff	20	diff	1	8819
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	26	20140423.120554	diff	100	diff	1	11093
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	27	20140423.120607	diff	20	same	0	2621
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	28	20140423.120611	diff	20	same	0	11462
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	29	20140423.120625	diff	20	diff	1	4759
dt	54	20	m	PSYC4802-20142	1.0	Block	practice	30	20140423.120632	diff	100	diff	1	9247
dt	54	20	m	PSYC4802-20142	1.0	Block	exp	31	20140423.120643	same	60	same	1	8555
dt	54	20	m	PSYC4802-20142	1.0	Block	exp	32	20140423.120654	same	60	same	1	4700
dt	54	20	m	PSYC4802-20142	1.0	Block	exp	33	20140423.120700	same	60	same	1	5919
dt	54	20	m	PSYC4802-20142	1.0	Block	exp	34	20140423.120708	same	20	same	1	3423
dt	54	20	m	PSYC4802-20142	1.0	Block	exp	35	20140423.120714	same	100	same	1	6505
dt	54	20	m	PSYC4802-20142	1.0	Block	exp	36	20140423.120722	same	20	same	1	3552
dt	54	20	m	PSYC4802-20142	1.0	Block	exp	37	20140423.120728	same	60	same	1	3429
dt	54	20	m	PSYC4802-20142	1.0	Block	exp	38	20140423.120733	same	20	same	1	4208
