Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	1	20140507.112504	diff	20	diff	1	11181
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	2	20140507.112517	diff	100	diff	1	2925
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	3	20140507.112522	same	20	same	1	4132
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	4	20140507.112528	same	20	same	1	3018
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	5	20140507.112533	same	20	same	1	3652
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	6	20140507.112539	same	60	diff	0	7372
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	7	20140507.112548	diff	20	diff	1	15962
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	8	20140507.112606	diff	20	diff	1	8339
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	9	20140507.112616	diff	60	diff	1	19840
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	10	20140507.112638	diff	60	diff	1	6388
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	11	20140507.112647	diff	20	diff	1	4859
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	12	20140507.112654	diff	60	same	0	6862
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	13	20140507.112702	same	60	same	1	7917
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	14	20140507.112712	same	60	same	1	12523
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	15	20140507.112727	diff	100	diff	1	6200
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	16	20140507.112735	same	100	same	1	7120
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	17	20140507.112744	same	100	same	1	6810
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	18	20140507.112753	same	100	diff	0	4524
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	19	20140507.112800	diff	20	diff	1	9669
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	20	20140507.112812	diff	60	diff	1	8632
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	21	20140507.112822	same	100	same	1	12346
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	22	20140507.112837	diff	100	diff	1	3821
dt	148	19	f	PSYC4802-20142	1.0	Block	practice	23	20140507.112843	same	60	same	1	4682
