Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	1	20140425.104731	diff	60	same	0	7771
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	2	20140425.104742	diff	100	same	0	9546
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	3	20140425.104753	same	20	same	1	3511
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	4	20140425.104759	diff	60	same	0	4905
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	5	20140425.104806	diff	20	same	0	7887
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	6	20140425.104815	same	60	same	1	2907
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	7	20140425.104820	diff	60	same	0	10455
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	8	20140425.104833	diff	100	same	0	12687
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	9	20140425.104847	same	60	same	1	7379
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	10	20140425.104857	same	20	same	1	6974
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	11	20140425.104906	same	100	diff	0	3803
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	12	20140425.104912	same	100	diff	0	8345
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	13	20140425.104922	same	60	same	1	9434
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	14	20140425.104933	same	20	same	1	4548
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	15	20140425.104940	diff	60	diff	1	2839
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	16	20140425.104945	diff	100	diff	1	5826
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	17	20140425.104953	diff	20	diff	1	6429
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	18	20140425.105001	same	100	diff	0	4191
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	19	20140425.105007	same	20	same	1	5023
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	20	20140425.105014	diff	20	same	0	5954
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	21	20140425.105022	same	20	same	1	3007
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	22	20140425.105027	diff	100	diff	1	2362
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	23	20140425.105031	same	100	same	1	4378
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	24	20140425.105038	same	60	diff	0	2544
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	25	20140425.105042	diff	20	diff	1	7091
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	26	20140425.105051	same	60	same	1	2268
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	27	20140425.105056	diff	60	diff	1	4290
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	28	20140425.105102	same	100	same	1	6007
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	29	20140425.105110	diff	100	diff	1	5497
EMT	59	18	f	PSYC4802-20142	1.0	Block	practice	30	20140425.105118	diff	20	diff	1	1812
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	31	20140425.105121	same	100	same	1	5046
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	32	20140425.105128	same	60	same	1	3165
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	33	20140425.105134	diff	60	diff	1	2275
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	34	20140425.105138	same	100	same	1	4208
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	35	20140425.105144	same	100	same	1	5492
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	36	20140425.105152	diff	20	diff	1	5977
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	37	20140425.105200	diff	20	same	0	2673
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	38	20140425.105204	diff	100	same	0	3270
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	39	20140425.105209	same	20	same	1	745
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	40	20140425.105212	same	60	diff	0	5708
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	41	20140425.105220	diff	60	diff	1	3698
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	42	20140425.105226	diff	100	diff	1	4712
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	43	20140425.105232	same	100	diff	0	4583
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	44	20140425.105239	same	60	same	1	4055
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	45	20140425.105245	same	60	same	1	2210
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	46	20140425.105249	diff	20	diff	1	5568
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	47	20140425.105257	diff	100	diff	1	3001
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	48	20140425.105302	same	20	same	1	2755
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	49	20140425.105306	diff	20	diff	1	4478
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	50	20140425.105313	diff	100	diff	1	5403
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	51	20140425.105325	diff	60	diff	1	3101
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	52	20140425.105331	diff	100	diff	1	2509
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	53	20140425.105335	diff	60	same	0	3236
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	54	20140425.105340	same	100	diff	0	3610
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	55	20140425.105346	same	60	same	1	4906
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	56	20140425.105353	diff	100	diff	1	1969
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	57	20140425.105357	diff	20	diff	1	3933
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	58	20140425.105403	diff	20	diff	1	3681
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	59	20140425.105409	same	20	same	1	3739
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	60	20140425.105414	diff	20	diff	1	3523
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	61	20140425.105420	same	60	same	1	3581
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	62	20140425.105426	diff	20	same	0	4349
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	63	20140425.105432	diff	60	diff	1	1841
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	64	20140425.105436	same	60	same	1	4325
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	65	20140425.105442	diff	60	diff	1	3153
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	66	20140425.105447	diff	100	same	0	3945
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	67	20140425.105453	diff	20	same	0	1935
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	68	20140425.105457	diff	60	same	0	1126
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	69	20140425.105501	diff	100	same	0	429
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	70	20140425.105503	diff	20	same	0	3101
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	71	20140425.105508	diff	60	same	0	3939
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	72	20140425.105514	same	60	same	1	2837
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	73	20140425.105519	same	20	same	1	2773
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	74	20140425.105524	same	60	diff	0	3318
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	75	20140425.105529	same	20	same	1	2561
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	76	20140425.105534	diff	100	same	0	2069
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	77	20140425.105538	diff	60	diff	1	5772
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	78	20140425.105546	diff	60	diff	1	4906
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	79	20140425.105553	diff	60	diff	1	3881
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	80	20140425.105558	diff	60	diff	1	1934
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	81	20140425.105602	diff	20	diff	1	1554
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	82	20140425.105606	diff	20	diff	1	3078
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	83	20140425.105611	same	100	same	1	2468
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	84	20140425.105615	same	100	same	1	1361
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	85	20140425.105619	same	20	same	1	1168
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	86	20140425.105622	same	100	diff	0	991
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	87	20140425.105625	diff	100	diff	1	1255
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	88	20140425.105628	same	100	diff	0	2744
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	89	20140425.105633	same	60	same	1	2825
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	90	20140425.105638	same	20	same	1	2087
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	91	20140425.105642	same	100	diff	0	1625
EMT	59	18	f	PSYC4802-20142	1.0	Block	exp	92	20140425.105645	same	60	same	1	2087
