Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
JM	12	25	F	PSYC4802-20142	0.98	Block	practice	1	20140407.110424	same	20	same	1	10020
JM	12	25	F	PSYC4802-20142	0.98	Block	practice	2	20140407.110437	diff	60	diff	1	4559
JM	12	25	F	PSYC4802-20142	0.98	Block	practice	3	20140407.110444	same	100	diff	0	2626
JM	12	25	F	PSYC4802-20142	0.98	Block	practice	4	20140407.110448	same	100	diff	0	5104
JM	12	25	F	PSYC4802-20142	0.98	Block	practice	5	20140407.110455	diff	100	same	0	15364
JM	12	25	F	PSYC4802-20142	0.98	Block	practice	6	20140407.110513	same	60	same	1	8767
JM	12	25	F	PSYC4802-20142	0.98	Block	practice	7	20140407.110524	same	60	same	1	13097
JM	12	25	F	PSYC4802-20142	0.98	Block	practice	8	20140407.110539	diff	20	diff	1	14193
JM	12	25	F	PSYC4802-20142	0.98	Block	practice	9	20140407.110555	same	20	same	1	12956
JM	12	25	F	PSYC4802-20142	0.98	Block	practice	10	20140407.110610	same	20	same	1	6294
JM	12	25	F	PSYC4802-20142	0.98	Block	practice	11	20140407.110618	diff	100	diff	1	16131
JM	12	25	F	PSYC4802-20142	0.98	Block	practice	12	20140407.110636	diff	20	same	0	18950
JM	12	25	F	PSYC4802-20142	0.98	Block	practice	13	20140407.110657	same	60	same	1	12563
JM	12	25	F	PSYC4802-20142	0.98	Block	practice	14	20140407.110712	diff	60	diff	1	7343
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	15	20140407.110721	same	60	same	1	10970
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	16	20140407.110734	diff	60	diff	1	9318
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	17	20140407.110746	diff	100	diff	1	7818
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	18	20140407.110755	same	20	same	1	7712
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	19	20140407.110805	diff	20	diff	1	6265
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	20	20140407.110813	diff	100	diff	1	16858
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	21	20140407.110832	same	20	same	1	8304
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	22	20140407.110843	diff	60	diff	1	3370
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	23	20140407.110848	same	60	same	1	8151
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	24	20140407.110858	diff	60	same	0	11989
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	25	20140407.110912	same	100	same	1	8158
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	26	20140407.110922	diff	100	diff	1	10343
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	27	20140407.110935	diff	100	diff	1	5714
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	28	20140407.110942	same	60	same	1	10472
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	29	20140407.110955	diff	20	diff	1	3499
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	30	20140407.111001	same	100	same	1	9687
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	31	20140407.111012	diff	20	diff	1	3956
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	32	20140407.111018	diff	100	diff	1	5473
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	33	20140407.111026	same	20	same	1	4941
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	34	20140407.111033	same	60	same	1	6769
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	35	20140407.111041	diff	20	same	0	12786
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	36	20140407.111056	diff	60	diff	1	7120
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	37	20140407.111105	same	60	same	1	6493
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	38	20140407.111114	same	20	same	1	6406
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	39	20140407.111122	same	100	diff	0	5661
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	40	20140407.111130	same	20	same	1	4959
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	41	20140407.111137	same	60	diff	0	8755
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	42	20140407.111148	same	100	same	1	4976
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	43	20140407.111155	diff	100	same	0	9435
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	44	20140407.111206	same	100	diff	0	6417
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	45	20140407.111215	same	100	same	1	6933
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	46	20140407.111224	diff	20	diff	1	9083
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	47	20140407.111235	diff	20	diff	1	4284
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	48	20140407.111241	diff	60	same	0	8872
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	49	20140407.111252	diff	60	same	0	7378
JM	12	25	F	PSYC4802-20142	0.98	Block	exp	50	20140407.111301	same	20	diff	0	1249
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	1	20140414.105856	diff	20	diff	1	4888
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	2	20140414.105904	same	100	diff	0	3300
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	3	20140414.105909	diff	60	diff	1	6546
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	4	20140414.105918	same	60	same	1	3962
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	5	20140414.105924	diff	60	diff	1	3264
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	6	20140414.105929	diff	20	same	0	4537
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	7	20140414.105935	same	20	same	1	3745
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	8	20140414.105941	diff	20	same	0	9353
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	9	20140414.105953	same	100	same	1	5949
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	10	20140414.110001	diff	60	same	0	6904
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	11	20140414.110010	diff	20	diff	1	3927
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	12	20140414.110015	same	60	same	1	4595
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	13	20140414.110022	same	100	diff	0	6365
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	14	20140414.110030	diff	20	diff	1	5321
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	15	20140414.110038	same	20	same	1	3769
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	16	20140414.110044	same	60	same	1	3786
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	17	20140414.110049	diff	100	diff	1	3839
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	18	20140414.110055	diff	100	diff	1	3956
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	19	20140414.110101	same	20	same	1	3751
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	20	20140414.110107	diff	100	diff	1	3932
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	21	20140414.110113	same	20	same	1	2731
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	22	20140414.110118	same	60	same	1	7683
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	23	20140414.110127	same	20	same	1	2292
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	24	20140414.110132	diff	60	same	0	2480
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	25	20140414.110136	same	60	same	1	3113
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	26	20140414.110141	same	100	same	1	5878
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	27	20140414.110149	diff	100	diff	1	2649
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	28	20140414.110154	diff	60	diff	1	3505
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	29	20140414.110200	diff	100	diff	1	3652
JM	12	25	F	PSYC4802-20142	1.0	Block	practice	30	20140414.110205	same	100	same	1	4413
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	31	20140414.110212	same	100	same	1	3048
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	32	20140414.110217	same	60	same	1	3909
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	33	20140414.110223	same	60	same	1	3822
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	34	20140414.110229	diff	100	diff	1	6417
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	35	20140414.110237	same	20	same	1	3270
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	36	20140414.110242	diff	60	diff	1	4325
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	37	20140414.110249	same	100	same	1	4694
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	38	20140414.110255	diff	60	diff	1	2128
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	39	20140414.110300	diff	100	diff	1	2925
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	40	20140414.110305	same	20	same	1	3024
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	41	20140414.110310	same	100	same	1	5520
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	42	20140414.110317	diff	60	diff	1	2585
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	43	20140414.110322	same	60	same	1	3382
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	44	20140414.110327	same	100	diff	0	2538
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	45	20140414.110332	diff	100	diff	1	3382
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	46	20140414.110337	diff	100	diff	1	5175
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	47	20140414.110344	diff	100	diff	1	1443
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	48	20140414.110348	diff	60	same	0	4156
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	49	20140414.110354	same	60	same	1	7477
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	50	20140414.110404	same	100	same	1	4695
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	51	20140414.110438	diff	20	diff	1	1865
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	52	20140414.110442	diff	20	diff	1	2134
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	53	20140414.110446	same	60	same	1	2280
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	54	20140414.110450	diff	20	same	0	4835
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	55	20140414.110457	same	60	same	1	4841
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	56	20140414.110504	same	60	same	1	5134
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	57	20140414.110511	diff	100	diff	1	3171
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	58	20140414.110516	diff	20	diff	1	2725
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	59	20140414.110521	diff	100	same	0	4624
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	60	20140414.110528	diff	100	diff	1	4994
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	61	20140414.110534	diff	60	diff	1	4794
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	62	20140414.110541	same	60	same	1	5626
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	63	20140414.110549	diff	60	diff	1	3757
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	64	20140414.110555	same	20	same	1	3101
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	65	20140414.110600	diff	20	diff	1	2585
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	66	20140414.110604	same	100	same	1	3933
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	67	20140414.110610	diff	100	diff	1	4993
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	68	20140414.110617	diff	60	diff	1	3358
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	69	20140414.110623	same	20	same	1	3663
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	70	20140414.110628	diff	20	diff	1	3675
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	71	20140414.110634	same	60	same	1	5251
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	72	20140414.110641	diff	20	diff	1	4226
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	73	20140414.110648	diff	20	diff	1	2362
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	74	20140414.110652	same	20	same	1	2902
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	75	20140414.110657	diff	60	diff	1	2087
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	76	20140414.110701	diff	60	diff	1	1102
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	77	20140414.110704	same	60	same	1	3951
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	78	20140414.110710	diff	60	diff	1	1238
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	79	20140414.110713	diff	60	diff	1	1571
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	80	20140414.110717	diff	100	same	0	8410
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	81	20140414.110727	diff	20	diff	1	4677
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	82	20140414.110734	same	20	same	1	2403
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	83	20140414.110738	same	60	same	1	4413
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	84	20140414.110745	diff	20	diff	1	2069
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	85	20140414.110749	diff	20	diff	1	1676
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	86	20140414.110753	same	20	same	1	1484
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	87	20140414.110756	diff	60	diff	1	1694
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	88	20140414.110800	same	100	diff	0	1297
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	89	20140414.110803	same	60	same	1	3640
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	90	20140414.110809	diff	20	diff	1	1519
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	91	20140414.110812	same	20	same	1	2562
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	92	20140414.110817	diff	20	diff	1	1261
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	93	20140414.110820	diff	20	diff	1	1097
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	94	20140414.110823	same	20	same	1	3077
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	95	20140414.110828	same	100	same	1	4097
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	96	20140414.110834	same	60	same	1	5105
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	97	20140414.110841	diff	60	diff	1	1928
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	98	20140414.110845	diff	20	diff	1	1976
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	99	20140414.110849	diff	60	diff	1	1565
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	100	20140414.110853	same	100	same	1	4279
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	101	20140414.110951	diff	100	same	0	3827
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	102	20140414.110957	diff	100	same	0	3053
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	103	20140414.111002	same	100	same	1	2175
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	104	20140414.111006	same	20	same	1	2188
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	105	20140414.111010	same	100	diff	0	2380
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	106	20140414.111014	same	60	same	1	5497
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	107	20140414.111022	same	20	same	1	3945
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	108	20140414.111028	diff	100	same	0	6025
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	109	20140414.111036	same	60	same	1	5011
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	110	20140414.111043	diff	100	diff	1	2345
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	111	20140414.111047	diff	100	diff	1	1724
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	112	20140414.111051	same	60	same	1	3018
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	113	20140414.111056	diff	100	diff	1	1589
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	114	20140414.111100	same	100	same	1	3740
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	115	20140414.111106	same	20	same	1	2620
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	116	20140414.111110	same	100	diff	0	3429
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	117	20140414.111116	same	60	same	1	3025
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	118	20140414.111121	diff	20	diff	1	1232
JM	12	25	F	PSYC4802-20142	1.0	Block	exp	119	20140414.111124	diff	60	diff	1	2684
