Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	1	20140423.115058	same	60	88	-3	8737
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	2	20140423.115109	same	20	same	1	7343
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	3	20140423.115118	same	60	same	1	4724
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	4	20140423.115125	diff	100	diff	1	4525
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	5	20140423.115131	diff	60	diff	1	5398
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	6	20140423.115139	same	100	same	1	5872
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	7	20140423.115146	diff	60	same	0	6669
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	8	20140423.115155	same	60	same	1	11163
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	9	20140423.115208	same	20	same	1	7179
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	10	20140423.115217	same	60	same	1	3880
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	11	20140423.115223	diff	100	diff	1	6857
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	12	20140423.115232	diff	60	diff	1	5573
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	13	20140423.115240	same	60	diff	0	4513
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	14	20140423.115246	diff	20	diff	1	6435
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	15	20140423.115255	diff	100	same	0	5650
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	16	20140423.115302	diff	20	same	0	5971
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	17	20140423.115310	same	100	diff	0	6476
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	18	20140423.115319	diff	20	diff	1	6469
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	19	20140423.115327	diff	60	same	0	5334
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	20	20140423.115334	same	100	same	1	3499
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	21	20140423.115340	same	100	diff	0	4537
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	22	20140423.115346	diff	20	same	0	5820
JMJ	51	22	f	PSYC4802-20142	1.0	Block	practice	23	20140423.115354	same	100	diff	0	5749
