Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	1	20140507.104839	diff	60	diff	1	4102
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	2	20140507.104846	diff	20	diff	1	2397
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	3	20140507.104850	same	100	same	1	3007
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	4	20140507.104855	same	60	same	1	3113
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	5	20140507.104900	same	100	same	1	4636
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	6	20140507.104907	diff	100	diff	1	2457
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	7	20140507.104911	diff	100	diff	1	5016
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	8	20140507.104918	same	100	same	1	2058
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	9	20140507.104922	diff	100	same	0	2919
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	10	20140507.104927	same	20	same	1	4706
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	11	20140507.104934	diff	60	diff	1	2714
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	12	20140507.104939	same	20	same	1	3077
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	13	20140507.104944	diff	20	diff	1	2861
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	14	20140507.104949	same	100	same	1	3522
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	15	20140507.104955	diff	20	diff	1	2515
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	16	20140507.104959	diff	100	same	0	2104
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	17	20140507.105003	same	20	same	1	2456
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	18	20140507.105008	diff	100	diff	1	2368
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	19	20140507.105012	diff	60	diff	1	2023
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	20	20140507.105016	diff	20	diff	1	2286
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	21	20140507.105021	same	60	same	1	1636
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	22	20140507.105024	same	60	same	1	3176
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	23	20140507.105029	diff	60	same	0	3734
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	24	20140507.105035	diff	20	diff	1	2843
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	25	20140507.105040	same	100	same	1	2450
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	26	20140507.105045	same	60	same	1	2843
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	27	20140507.105049	same	60	same	1	2948
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	28	20140507.105054	same	20	same	1	3347
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	29	20140507.105100	same	20	same	1	3821
jn	142	19	M	PSYC4802-20142	1.0	Block	practice	30	20140507.105106	diff	60	diff	1	1642
jn	142	19	M	PSYC4802-20142	1.0	Block	exp	31	20140507.105109	diff	60	diff	1	3365
jn	142	19	M	PSYC4802-20142	1.0	Block	exp	32	20140507.105115	same	20	same	1	1976
jn	142	19	M	PSYC4802-20142	1.0	Block	exp	33	20140507.105119	diff	60	diff	1	1531
