Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	1	20140430.113917	same	20	same	1	4518
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	2	20140430.113923	diff	60	same	0	2304
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	3	20140430.113927	same	100	same	1	12604
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	4	20140430.113942	same	20	same	1	3089
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	5	20140430.113947	same	60	diff	0	5409
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	6	20140430.113954	diff	100	same	0	4601
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	7	20140430.114001	same	100	diff	0	10829
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	8	20140430.114014	diff	100	same	0	4759
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	9	20140430.114021	same	100	same	1	10120
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	10	20140430.114033	diff	100	same	0	4179
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	11	20140430.114039	diff	100	same	0	7583
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	12	20140430.114049	diff	20	diff	1	4221
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	13	20140430.114055	diff	100	diff	1	10940
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	14	20140430.114108	same	20	same	1	4659
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	15	20140430.114115	diff	20	diff	1	12551
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	16	20140430.114129	diff	20	diff	1	4156
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	17	20140430.114135	same	60	same	1	6007
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	18	20140430.114143	diff	60	diff	1	3077
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	19	20140430.114148	diff	60	diff	1	10723
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	20	20140430.114201	diff	60	diff	1	8017
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	21	20140430.114211	same	60	same	1	9153
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	22	20140430.114222	diff	60	diff	1	3130
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	23	20140430.114228	diff	20	diff	1	7489
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	24	20140430.114237	same	20	same	1	6599
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	25	20140430.114246	diff	20	diff	1	4928
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	26	20140430.114253	same	60	same	1	5989
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	27	20140430.114301	same	100	same	1	7366
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	28	20140430.114310	same	20	same	1	3904
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	29	20140430.114316	same	60	same	1	3130
KA	114	20	m	PSYC4802-20142	1.0	Block	practice	30	20140430.114321	same	100	diff	0	7900
KA	114	20	m	PSYC4802-20142	1.0	Block	exp	31	20140430.114331	diff	60	same	0	11485
KA	114	20	m	PSYC4802-20142	1.0	Block	exp	32	20140430.114345	diff	20	diff	1	5069
KA	114	20	m	PSYC4802-20142	1.0	Block	exp	33	20140430.114352	same	20	same	1	3036
KA	114	20	m	PSYC4802-20142	1.0	Block	exp	34	20140430.114357	diff	100	diff	1	5767
KA	114	20	m	PSYC4802-20142	1.0	Block	exp	35	20140430.114405	diff	20	diff	1	6434
KA	114	20	m	PSYC4802-20142	1.0	Block	exp	36	20140430.114413	same	20	same	1	4044
KA	114	20	m	PSYC4802-20142	1.0	Block	exp	37	20140430.114419	same	60	same	1	3962
KA	114	20	m	PSYC4802-20142	1.0	Block	exp	38	20140430.114425	same	100	same	1	22272
KA	114	20	m	PSYC4802-20142	1.0	Block	exp	39	20140430.114450	same	100	same	1	6692
KA	114	20	m	PSYC4802-20142	1.0	Block	exp	40	20140430.114459	same	60	same	1	7847
KA	114	20	m	PSYC4802-20142	1.0	Block	exp	41	20140430.114508	same	20	same	1	3405
KA	114	20	m	PSYC4802-20142	1.0	Block	exp	42	20140430.114514	diff	100	same	0	6529
KA	114	20	m	PSYC4802-20142	1.0	Block	exp	43	20140430.114522	same	20	same	1	2855
KA	114	20	m	PSYC4802-20142	1.0	Block	exp	44	20140430.114527	diff	100	diff	1	9985
KA	114	20	m	PSYC4802-20142	1.0	Block	exp	45	20140430.114539	diff	20	diff	1	7290
KA	114	20	m	PSYC4802-20142	1.0	Block	exp	46	20140430.114549	same	100	same	1	9077
KA	114	20	m	PSYC4802-20142	1.0	Block	exp	47	20140430.114600	diff	20	diff	1	8555
