Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	1	20140428.111526	diff	20	same	0	23674
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	2	20140428.111553	diff	100	same	0	6511
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	3	20140428.111601	same	100	diff	0	12188
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	4	20140428.111616	diff	100	same	0	27258
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	5	20140428.111645	same	100	diff	0	4982
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	6	20140428.111652	same	60	same	1	10495
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	7	20140428.111705	diff	60	same	0	11104
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	8	20140428.111718	diff	60	diff	1	8485
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	9	20140428.111728	same	60	same	1	10284
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	10	20140428.111740	same	60	same	1	7519
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	11	20140428.111750	same	100	same	1	31489
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	12	20140428.111823	same	100	same	1	33235
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	13	20140428.111859	same	20	same	1	5034
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	14	20140428.111906	diff	60	diff	1	18821
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	15	20140428.111927	diff	20	diff	1	21106
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	16	20140428.111950	diff	100	diff	1	6071
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	17	20140428.111958	same	20	same	1	6951
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	18	20140428.112007	same	20	same	1	6476
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	19	20140428.112015	same	60	same	1	15399
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	20	20140428.112033	same	100	same	1	10952
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	21	20140428.112046	diff	100	diff	1	20813
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	22	20140428.112108	diff	20	diff	1	12710
KLP	87	20	F	PSYC4802-20142	1.0	Block	practice	23	20140428.112123	diff	20	diff	1	22871
