Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	1	20140430.104808	same	60	diff	0	3212
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	2	20140430.104814	same	20	same	1	14989
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	3	20140430.104831	diff	20	diff	1	2116
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	4	20140430.104836	diff	20	diff	1	1688
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	5	20140430.104839	diff	20	diff	1	3657
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	6	20140430.104845	same	100	diff	0	3135
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	7	20140430.104850	same	100	same	1	5960
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	8	20140430.104858	diff	100	same	0	828
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	9	20140430.104901	diff	60	diff	1	1542
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	10	20140430.104905	same	100	same	1	1688
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	11	20140430.104909	same	20	diff	0	2286
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	12	20140430.104913	same	100	same	1	2234
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	13	20140430.104917	diff	100	same	0	1800
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	14	20140430.104921	diff	60	diff	1	1694
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	15	20140430.104925	same	100	same	1	1554
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	16	20140430.104928	same	60	diff	0	1519
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	17	20140430.104932	diff	100	diff	1	5667
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	18	20140430.104940	same	20	diff	0	4009
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	19	20140430.104946	same	20	same	1	5128
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	20	20140430.104953	diff	60	diff	1	2052
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	21	20140430.104957	diff	100	diff	1	1542
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	22	20140430.105000	diff	20	diff	1	2948
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	23	20140430.105005	diff	100	diff	1	2427
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	24	20140430.105010	diff	60	diff	1	4677
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	25	20140430.105017	same	60	same	1	7279
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	26	20140430.105026	same	20	diff	0	1560
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	27	20140430.105029	diff	60	same	0	2661
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	28	20140430.105034	diff	20	diff	1	7203
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	29	20140430.105043	same	60	same	1	11274
KLP	98	19	M	PSYC4802-20142	1.0	Block	practice	30	20140430.105057	same	60	diff	0	3100
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	31	20140430.105102	same	20	same	1	4032
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	32	20140430.105108	diff	20	diff	1	2966
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	33	20140430.105113	same	60	same	1	3546
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	34	20140430.105119	diff	100	diff	1	3705
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	35	20140430.105124	same	20	same	1	2052
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	36	20140430.105128	same	100	diff	0	6312
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	37	20140430.105137	same	20	same	1	2368
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	38	20140430.105141	diff	60	diff	1	4261
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	39	20140430.105148	same	100	same	1	4999
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	40	20140430.105155	same	60	same	1	11632
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	41	20140430.105208	same	100	same	1	8502
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	42	20140430.105219	diff	20	diff	1	9106
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	43	20140430.105230	diff	20	diff	1	2901
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	44	20140430.105235	diff	60	same	0	4764
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	45	20140430.105242	same	20	same	1	4255
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	46	20140430.105248	same	60	same	1	4038
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	47	20140430.105254	same	20	same	1	4852
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	48	20140430.105301	diff	100	same	0	8550
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	49	20140430.105312	same	60	diff	0	10014
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	50	20140430.105324	same	100	diff	0	14268
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	51	20140430.105356	same	20	same	1	3411
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	52	20140430.105402	diff	100	same	0	4846
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	53	20140430.105409	same	100	diff	0	3604
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	54	20140430.105414	same	60	same	1	2691
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	55	20140430.105419	diff	20	diff	1	4865
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	56	20140430.105426	diff	20	diff	1	3388
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	57	20140430.105431	diff	60	diff	1	13360
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	58	20140430.105447	same	60	same	1	8573
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	59	20140430.105457	same	100	same	1	8872
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	60	20140430.105508	same	20	same	1	4348
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	61	20140430.105515	diff	20	same	0	4771
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	62	20140430.105521	same	60	same	1	10401
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	63	20140430.105534	same	20	same	1	3300
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	64	20140430.105539	same	20	same	1	5081
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	65	20140430.105546	diff	20	diff	1	3880
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	66	20140430.105552	diff	100	same	0	4947
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	67	20140430.105559	diff	100	diff	1	7882
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	68	20140430.105609	same	100	same	1	8784
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	69	20140430.105620	diff	100	same	0	7308
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	70	20140430.105629	same	60	same	1	7459
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	71	20140430.105639	diff	20	diff	1	8099
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	72	20140430.105649	same	100	same	1	5631
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	73	20140430.105657	diff	100	diff	1	4213
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	74	20140430.105703	diff	60	diff	1	10266
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	75	20140430.105715	diff	100	diff	1	8345
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	76	20140430.105726	same	60	same	1	10237
KLP	98	19	M	PSYC4802-20142	1.0	Block	exp	77	20140430.105738	diff	60	diff	1	9270
