Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	1	20140528.105220	diff	20	diff	1	9089
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	2	20140528.105231	same	100	diff	0	7630
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	3	20140528.105241	same	100	diff	0	10266
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	4	20140528.105253	diff	60	same	0	4548
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	5	20140528.105300	same	100	diff	0	14017
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	6	20140528.105316	same	100	diff	0	8438
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	7	20140528.105327	diff	100	diff	1	18751
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	8	20140528.105347	same	60	diff	0	10753
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	9	20140528.105400	diff	60	diff	1	6446
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	10	20140528.105409	diff	60	diff	1	6030
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	11	20140528.105417	same	20	same	1	3335
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	12	20140528.105422	diff	20	diff	1	10009
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	13	20140528.105434	diff	20	diff	1	3957
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	14	20140528.105440	same	60	same	1	6974
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	15	20140528.105449	same	20	same	1	3558
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	16	20140528.105455	diff	20	same	0	10430
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	17	20140528.105507	same	60	diff	0	7179
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	18	20140528.105517	diff	100	diff	1	5228
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	19	20140528.105524	same	20	same	1	5245
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	20	20140528.105531	diff	20	same	0	9534
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	21	20140528.105543	diff	60	diff	1	9581
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	22	20140528.105554	diff	60	diff	1	14602
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	23	20140528.105611	same	60	same	1	4202
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	24	20140528.105617	same	100	diff	0	7138
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	25	20140528.105626	diff	100	diff	1	11691
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	26	20140528.105640	same	20	same	1	9147
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	27	20140528.105651	same	60	same	1	5204
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	28	20140528.105659	diff	100	diff	1	8268
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	29	20140528.105709	same	20	diff	0	4062
PRB	79	22	m	PSYC4802-20142	1.0	Block	practice	30	20140528.105715	diff	100	diff	1	10266
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	31	20140528.105727	same	100	same	1	20930
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	32	20140528.105750	diff	60	same	0	9926
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	33	20140528.105802	diff	20	diff	1	9088
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	34	20140528.105813	diff	100	diff	1	5485
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	35	20140528.105821	diff	20	same	0	5755
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	36	20140528.105829	diff	20	diff	1	13958
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	37	20140528.105845	same	100	same	1	7741
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	38	20140528.105854	diff	20	diff	1	11198
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	39	20140528.105908	diff	60	diff	1	5473
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	40	20140528.105915	diff	60	diff	1	4624
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	41	20140528.105922	diff	100	diff	1	8105
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	42	20140528.105932	diff	60	diff	1	9516
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	43	20140528.105943	diff	20	diff	1	5163
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	44	20140528.105950	diff	100	diff	1	7454
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	45	20140528.110000	diff	100	diff	1	7665
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	46	20140528.110010	same	100	same	1	8427
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	47	20140528.110020	same	60	same	1	3926
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	48	20140528.110026	diff	20	diff	1	3657
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	49	20140528.110032	diff	100	diff	1	6108
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	50	20140528.110040	same	20	same	1	4829
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	51	20140528.110050	same	100	same	1	4032
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	52	20140528.110056	same	100	diff	0	4970
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	53	20140528.110103	diff	100	same	0	10442
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	54	20140528.110115	same	20	same	1	6077
PRB	79	22	m	PSYC4802-20142	1.0	Block	exp	55	20140528.110124	diff	20	diff	1	8035
