Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	1	20140421.110755	same	100	diff	0	9540
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	2	20140421.110807	same	20	same	1	12329
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	3	20140421.110821	same	60	same	1	13888
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	4	20140421.110837	diff	20	diff	1	8362
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	5	20140421.110847	same	100	diff	0	20450
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	6	20140421.110910	same	60	diff	0	7905
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	7	20140421.110920	diff	100	diff	1	4853
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	8	20140421.110927	diff	20	diff	1	16220
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	9	20140421.110945	same	100	same	1	14650
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	10	20140421.111002	diff	100	same	0	14392
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	11	20140421.111019	same	20	same	1	9053
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	12	20140421.111030	same	60	same	1	4091
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	13	20140421.111036	diff	60	diff	1	13313
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	14	20140421.111051	diff	60	diff	1	16899
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	15	20140421.111111	same	20	same	1	7179
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	16	20140421.111120	same	60	same	1	8949
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	17	20140421.111131	same	60	diff	0	18100
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	18	20140421.111151	diff	100	diff	1	21640
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	19	20140421.111215	same	20	same	1	13799
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	20	20140421.111231	same	100	same	1	7706
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	21	20140421.111240	diff	60	same	0	20198
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	22	20140421.111303	diff	20	same	0	8069
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	23	20140421.111313	diff	60	diff	1	3025
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	24	20140421.111318	same	20	same	1	9956
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	25	20140421.111330	same	100	same	1	9834
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	26	20140421.111342	diff	100	same	0	7660
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	27	20140421.111352	diff	20	same	0	8755
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	28	20140421.111403	diff	20	diff	1	14222
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	29	20140421.111419	diff	100	same	0	9007
RCG	21	21	F	PSYC4802-20142	1.0	Block	practice	30	20140421.111430	diff	60	same	0	13853
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	31	20140421.111446	same	60	same	1	10806
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	32	20140421.111459	same	60	diff	0	7403
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	33	20140421.111508	same	60	same	1	6288
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	34	20140421.111517	same	20	same	1	4144
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	35	20140421.111523	diff	60	diff	1	11005
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	36	20140421.111536	same	60	same	1	7114
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	37	20140421.111545	diff	20	same	0	10659
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	38	20140421.111558	same	60	same	1	9617
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	39	20140421.111610	same	60	same	1	2878
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	40	20140421.111615	diff	100	diff	1	10706
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	41	20140421.111628	diff	100	diff	1	4566
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	42	20140421.111634	diff	100	diff	1	7501
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	43	20140421.111644	same	100	same	1	8614
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	44	20140421.111655	same	20	same	1	2503
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	45	20140421.111659	same	20	same	1	9317
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	46	20140421.111711	same	60	same	1	4805
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	47	20140421.111718	diff	60	same	0	3400
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	48	20140421.111723	diff	60	same	0	4121
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	49	20140421.111729	diff	60	diff	1	4261
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	50	20140421.111735	diff	100	diff	1	7372
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	51	20140421.111749	same	100	same	1	6376
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	52	20140421.111757	same	20	same	1	3154
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	53	20140421.111802	same	100	same	1	7437
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	54	20140421.111812	diff	100	diff	1	10354
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	55	20140421.111824	same	100	same	1	8603
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	56	20140421.111835	diff	100	same	0	11803
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	57	20140421.111849	same	60	same	1	11251
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	58	20140421.111902	diff	60	diff	1	6218
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	59	20140421.111911	diff	60	diff	1	9551
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	60	20140421.111922	same	100	diff	0	4671
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	61	20140421.111929	diff	20	same	0	4073
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	62	20140421.111935	diff	20	diff	1	10823
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	63	20140421.111948	same	60	same	1	9346
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	64	20140421.111959	same	20	same	1	5064
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	65	20140421.112006	diff	20	same	0	11356
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	66	20140421.112020	diff	20	diff	1	10231
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	67	20140421.112032	same	60	same	1	8936
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	68	20140421.112043	same	20	same	1	3681
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	69	20140421.112049	same	100	diff	0	5385
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	70	20140421.112056	same	20	same	1	4027
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	71	20140421.112102	same	100	diff	0	5474
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	72	20140421.112110	diff	60	same	0	12816
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	73	20140421.112125	diff	100	same	0	9071
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	74	20140421.112136	diff	20	diff	1	9324
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	75	20140421.112147	same	60	same	1	8117
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	76	20140421.112157	same	20	same	1	7805
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	77	20140421.112207	same	60	same	1	4419
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	78	20140421.112214	diff	20	diff	1	10489
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	79	20140421.112226	diff	60	diff	1	9617
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	80	20140421.112238	same	60	same	1	6335
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	81	20140421.112246	same	20	same	1	10601
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	82	20140421.112259	diff	20	diff	1	8778
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	83	20140421.112310	diff	60	same	0	4039
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	84	20140421.112316	diff	100	diff	1	13023
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	85	20140421.112331	diff	60	same	0	5421
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	86	20140421.112338	same	20	same	1	4571
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	87	20140421.112345	same	60	same	1	9042
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	88	20140421.112356	diff	100	same	0	4003
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	89	20140421.112402	same	60	same	1	4367
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	90	20140421.112408	diff	100	same	0	10595
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	91	20140421.112421	diff	60	same	0	7706
RCG	21	21	F	PSYC4802-20142	1.0	Block	exp	92	20140421.112431	diff	60	diff	1	8321
