Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	1	20140421.104915	diff	60	diff	1	12734
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	2	20140421.104931	diff	20	diff	1	8836
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	3	20140421.104941	same	100	diff	0	16735
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	4	20140421.105000	same	60	same	1	15247
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	5	20140421.105017	same	60	diff	0	2790
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	6	20140421.105022	diff	100	diff	1	4530
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	7	20140421.105029	diff	60	diff	1	2972
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	8	20140421.105034	diff	100	diff	1	1859
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	9	20140421.105038	same	60	diff	0	1073
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	10	20140421.105041	same	100	diff	0	3078
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	11	20140421.105046	diff	100	diff	1	15024
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	12	20140421.105103	same	20	same	1	3850
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	13	20140421.105109	same	20	same	1	4331
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	14	20140421.105115	diff	20	diff	1	5139
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	15	20140421.105122	same	60	same	1	5180
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	16	20140421.105129	diff	60	diff	1	3271
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	17	20140421.105135	same	60	same	1	8333
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	18	20140421.105145	diff	100	same	0	6792
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	19	20140421.105154	diff	20	same	0	7982
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	20	20140421.105204	diff	100	diff	1	4900
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	21	20140421.105211	same	20	same	1	6704
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	22	20140421.105219	same	20	same	1	3868
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	23	20140421.105225	diff	20	diff	1	10261
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	24	20140421.105238	same	20	same	1	6985
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	25	20140421.105246	diff	60	same	0	11157
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	26	20140421.105300	diff	60	same	0	8831
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	27	20140421.105311	same	100	same	1	6611
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	28	20140421.105319	diff	20	diff	1	4531
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	29	20140421.105326	same	100	same	1	9587
skm	16	-1	f	PSYC4802-20142	1.0	Block	practice	30	20140421.105337	same	100	same	1	9997
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	31	20140421.105349	diff	60	diff	1	14063
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	32	20140421.105405	diff	100	same	0	7689
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	33	20140421.105415	same	20	same	1	4653
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	34	20140421.105422	same	60	same	1	6095
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	35	20140421.105430	same	20	same	1	4261
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	36	20140421.105436	diff	20	diff	1	10067
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	37	20140421.105448	same	60	same	1	3774
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	38	20140421.105454	same	20	same	1	3868
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	39	20140421.105500	diff	100	same	0	12751
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	40	20140421.105514	diff	20	same	0	9934
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	41	20140421.105526	diff	20	same	0	10876
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	42	20140421.105539	diff	60	diff	1	7237
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	43	20140421.105548	diff	60	diff	1	6229
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	44	20140421.105557	same	100	diff	0	4606
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	45	20140421.105603	same	100	diff	0	7501
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	46	20140421.105613	same	100	same	1	10172
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	47	20140421.105625	same	20	same	1	4384
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	48	20140421.105631	diff	60	diff	1	8310
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	49	20140421.105642	diff	20	diff	1	3640
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	50	20140421.105647	same	100	same	1	15124
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	51	20140421.105711	same	60	same	1	7472
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	52	20140421.105721	diff	60	diff	1	5374
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	53	20140421.105728	same	60	same	1	6265
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	54	20140421.105736	diff	60	diff	1	11444
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	55	20140421.105750	same	60	diff	0	5122
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	56	20140421.105757	diff	20	diff	1	5538
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	57	20140421.105805	diff	100	diff	1	7560
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	58	20140421.105814	diff	20	diff	1	4214
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	59	20140421.105820	diff	100	diff	1	3792
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	60	20140421.105826	same	100	diff	0	14673
skm	16	-1	f	PSYC4802-20142	1.0	Block	exp	61	20140421.105843	same	100	same	1	12065
