Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	1	20140421.114840	diff	20	diff	1	10958
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	2	20140421.114853	same	100	same	1	6504
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	3	20140421.114901	diff	20	diff	1	3007
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	4	20140421.114906	same	60	same	1	2837
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	5	20140421.114911	diff	100	same	0	2895
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	6	20140421.114916	same	20	same	1	5134
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	7	20140421.114923	diff	20	diff	1	2708
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	8	20140421.114928	same	100	diff	0	5356
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	9	20140421.114935	same	100	same	1	7747
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	10	20140421.114945	diff	20	same	0	5058
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	11	20140421.114952	diff	60	diff	1	9898
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	12	20140421.115004	diff	60	diff	1	7033
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	13	20140421.115013	same	60	diff	0	8866
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	14	20140421.115024	same	60	same	1	13729
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	15	20140421.115040	same	20	same	1	4372
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	16	20140421.115046	same	100	same	1	11110
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	17	20140421.115059	diff	100	same	0	9838
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	18	20140421.115111	diff	20	same	0	8796
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	19	20140421.115122	diff	60	diff	1	11380
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	20	20140421.115135	same	100	same	1	5808
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	21	20140421.115143	same	20	same	1	4911
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	22	20140421.115150	diff	100	diff	1	8549
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	23	20140421.115201	same	20	same	1	5778
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	24	20140421.115208	diff	60	diff	1	8157
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	25	20140421.115219	same	60	same	1	4648
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	26	20140421.115225	diff	100	diff	1	4460
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	27	20140421.115232	same	20	same	1	4056
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	28	20140421.115238	same	60	same	1	3318
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	29	20140421.115243	diff	100	diff	1	3177
SS	30	18	F	PSYC4802-20142	1.0	Block	practice	30	20140421.115248	diff	60	same	0	7829
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	31	20140421.115258	same	100	same	1	5409
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	32	20140421.115306	diff	20	diff	1	6141
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	33	20140421.115314	same	100	diff	0	5421
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	34	20140421.115321	diff	20	diff	1	4290
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	35	20140421.115327	same	100	same	1	3294
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	36	20140421.115333	diff	20	diff	1	5427
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	37	20140421.115340	same	60	same	1	7114
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	38	20140421.115349	diff	100	diff	1	5374
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	39	20140421.115357	diff	60	diff	1	5456
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	40	20140421.115404	same	100	same	1	3909
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	41	20140421.115410	same	60	diff	0	2825
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	42	20140421.115415	same	20	same	1	2175
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	43	20140421.115419	same	20	same	1	2151
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	44	20140421.115423	same	60	same	1	3517
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	45	20140421.115429	same	60	same	1	3177
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	46	20140421.115434	diff	20	diff	1	4495
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	47	20140421.115440	same	60	diff	0	4507
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	48	20140421.115447	same	60	diff	0	7812
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	49	20140421.115457	same	60	same	1	3516
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	50	20140421.115502	same	20	same	1	2632
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	51	20140421.115524	same	100	same	1	3511
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	52	20140421.115529	diff	100	diff	1	6054
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	53	20140421.115537	same	100	same	1	2556
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	54	20140421.115542	diff	20	diff	1	10343
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	55	20140421.115554	diff	100	diff	1	2873
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	56	20140421.115559	same	100	same	1	3153
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	57	20140421.115604	same	20	same	1	3324
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	58	20140421.115609	same	100	same	1	3358
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	59	20140421.115615	same	100	same	1	2889
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	60	20140421.115620	diff	100	same	0	5544
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	61	20140421.115627	same	20	diff	0	2292
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	62	20140421.115632	diff	100	diff	1	5105
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	63	20140421.115639	diff	20	diff	1	6651
SS	30	18	F	PSYC4802-20142	1.0	Block	exp	64	20140421.115647	same	100	diff	0	2527
