Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	1	20140425.113633	same	20	same	1	7249
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	2	20140425.113643	same	100	diff	0	6417
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	3	20140425.113651	same	60	same	1	8040
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	4	20140425.113701	same	100	diff	0	10027
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	5	20140425.113713	diff	60	same	0	10507
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	6	20140425.113726	same	20	same	1	3909
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	7	20140425.113732	diff	60	same	0	4735
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	8	20140425.113738	diff	100	diff	1	10448
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	9	20140425.113751	diff	20	same	0	16618
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	10	20140425.113809	diff	60	diff	1	9763
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	11	20140425.113821	diff	20	same	0	8286
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	12	20140425.113831	diff	100	diff	1	6727
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	13	20140425.113840	diff	100	diff	1	11005
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	14	20140425.113853	same	60	same	1	4296
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	15	20140425.113859	same	100	diff	0	8240
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	16	20140425.113910	diff	20	diff	1	5310
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	17	20140425.113917	same	60	same	1	9663
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	18	20140425.113929	diff	100	diff	1	5485
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	19	20140425.113936	diff	60	diff	1	8814
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	20	20140425.113947	diff	20	same	0	4049
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	21	20140425.113953	same	60	same	1	5797
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	22	20140425.114001	diff	60	same	0	15335
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	23	20140425.114018	diff	20	same	0	7284
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	24	20140425.114027	same	20	same	1	3212
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	25	20140425.114033	same	100	same	1	6135
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	26	20140425.114041	same	20	same	1	9417
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	27	20140425.114052	same	100	diff	0	10501
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	28	20140425.114105	same	60	same	1	7243
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	29	20140425.114114	same	20	same	1	3804
SS	70	25	M	PSYC4802-20142	1.0	Block	practice	30	20140425.114120	diff	100	diff	1	4395
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	31	20140425.114126	same	20	same	1	5380
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	32	20140425.114134	same	60	diff	0	4232
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	33	20140425.114140	diff	60	diff	1	11228
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	34	20140425.114153	same	20	same	1	6681
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	35	20140425.114202	diff	20	same	0	9488
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	36	20140425.114213	same	20	same	1	2339
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	37	20140425.114217	same	60	same	1	6353
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	38	20140425.114226	diff	20	diff	1	7343
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	39	20140425.114235	diff	60	diff	1	8690
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	40	20140425.114246	same	20	same	1	7220
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	41	20140425.114255	diff	60	diff	1	7870
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	42	20140425.114305	diff	20	diff	1	7278
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	43	20140425.114314	same	60	same	1	2691
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	44	20140425.114319	diff	100	diff	1	7290
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	45	20140425.114328	diff	20	diff	1	9593
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	46	20140425.114340	diff	100	diff	1	4032
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	47	20140425.114346	same	60	same	1	4361
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	48	20140425.114352	same	20	same	1	2767
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	49	20140425.114357	same	60	diff	0	5978
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	50	20140425.114405	diff	100	diff	1	5344
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	51	20140425.114437	same	60	same	1	4179
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	52	20140425.114444	diff	60	diff	1	6534
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	53	20140425.114452	diff	100	diff	1	5322
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	54	20140425.114500	same	20	diff	0	7161
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	55	20140425.114509	diff	60	diff	1	9874
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	56	20140425.114521	same	100	same	1	4466
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	57	20140425.114527	diff	100	diff	1	4483
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	58	20140425.114534	same	100	diff	0	7296
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	59	20140425.114543	diff	100	diff	1	5004
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	60	20140425.114550	diff	60	diff	1	8169
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	61	20140425.114600	same	60	same	1	3048
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	62	20140425.114605	same	100	same	1	5807
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	63	20140425.114613	same	100	same	1	5204
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	64	20140425.114620	diff	20	diff	1	8357
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	65	20140425.114631	same	100	same	1	6751
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	66	20140425.114639	diff	100	diff	1	3622
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	67	20140425.114645	same	60	diff	0	6926
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	68	20140425.114654	same	60	same	1	7067
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	69	20140425.114703	same	100	same	1	5902
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	70	20140425.114711	same	100	same	1	3903
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	71	20140425.114717	diff	100	diff	1	9651
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	72	20140425.114729	same	100	same	1	13331
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	73	20140425.114744	same	20	same	1	2234
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	74	20140425.114748	diff	100	diff	1	6282
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	75	20140425.114756	same	100	diff	0	4958
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	76	20140425.114803	same	100	same	1	7348
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	77	20140425.114813	diff	60	same	0	6792
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	78	20140425.114822	same	60	same	1	8268
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	79	20140425.114832	diff	60	same	0	6880
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	80	20140425.114841	same	20	same	1	5169
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	81	20140425.114848	diff	20	diff	1	6798
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	82	20140425.114857	diff	100	diff	1	3675
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	83	20140425.114902	same	20	same	1	4589
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	84	20140425.114909	diff	60	diff	1	6698
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	85	20140425.114918	diff	60	diff	1	6101
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	86	20140425.114926	same	100	same	1	5714
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	87	20140425.114934	diff	20	same	0	11609
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	88	20140425.114947	diff	100	diff	1	10970
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	89	20140425.115000	diff	100	diff	1	8673
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	90	20140425.115011	diff	100	diff	1	5966
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	91	20140425.115019	diff	100	diff	1	6417
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	92	20140425.115027	same	60	same	1	2719
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	93	20140425.115032	diff	60	diff	1	5948
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	94	20140425.115040	same	60	same	1	4302
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	95	20140425.115046	same	100	same	1	8772
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	96	20140425.115057	diff	20	diff	1	7355
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	97	20140425.115106	same	100	same	1	3827
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	98	20140425.115112	diff	100	diff	1	7577
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	99	20140425.115122	diff	20	diff	1	4261
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	100	20140425.115128	diff	20	diff	1	8099
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	101	20140425.115259	diff	20	diff	1	5673
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	102	20140425.115307	same	20	same	1	2984
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	103	20140425.115312	diff	20	same	0	4928
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	104	20140425.115319	diff	20	diff	1	4173
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	105	20140425.115325	diff	20	diff	1	4975
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	106	20140425.115332	same	20	same	1	2755
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	107	20140425.115336	diff	20	same	0	8303
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	108	20140425.115347	same	60	same	1	3405
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	109	20140425.115352	diff	60	same	0	7818
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	110	20140425.115402	same	100	same	1	5028
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	111	20140425.115409	diff	20	diff	1	5028
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	112	20140425.115416	diff	20	same	0	6412
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	113	20140425.115425	same	60	same	1	11099
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	114	20140425.115438	same	20	same	1	3031
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	115	20140425.115443	same	100	diff	0	5357
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	116	20140425.115450	same	60	same	1	4905
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	117	20140425.115457	diff	60	diff	1	5649
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	118	20140425.115505	diff	100	diff	1	13208
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	119	20140425.115520	same	100	same	1	5772
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	120	20140425.115528	diff	100	diff	1	3141
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	121	20140425.115533	same	60	same	1	3992
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	122	20140425.115539	same	60	same	1	5116
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	123	20140425.115546	diff	100	diff	1	5239
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	124	20140425.115553	same	20	same	1	4226
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	125	20140425.115559	same	20	same	1	2966
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	126	20140425.115604	same	20	same	1	1952
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	127	20140425.115608	diff	100	diff	1	3815
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	128	20140425.115614	diff	60	diff	1	5456
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	129	20140425.115622	same	100	same	1	4765
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	130	20140425.115628	diff	60	diff	1	4876
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	131	20140425.115635	diff	60	diff	1	5403
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	132	20140425.115643	same	60	same	1	5251
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	133	20140425.115650	same	20	same	1	1987
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	134	20140425.115654	same	60	same	1	9405
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	135	20140425.115705	same	20	same	1	7929
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	136	20140425.115715	diff	60	same	0	4654
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	137	20140425.115722	diff	20	diff	1	5474
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	138	20140425.115729	same	20	same	1	3570
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	139	20140425.115735	diff	20	diff	1	9552
SS	70	25	M	PSYC4802-20142	1.0	Block	exp	140	20140425.115747	same	100	same	1	4770
