Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	1	20141024.105649	diff	100	diff	1	1791
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	2	20141024.105653	same	20	diff	0	1347
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	3	20141024.105657	same	100	same	1	806
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	4	20141024.105659	diff	100	same	0	1941
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	5	20141024.105703	same	20	diff	0	1287
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	6	20141024.105707	same	100	same	1	1966
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	7	20141024.105711	same	100	diff	0	866
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	8	20141024.105713	diff	60	diff	1	1132
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	9	20141024.105717	same	60	diff	0	2322
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	10	20141024.105721	same	100	same	1	1631
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	11	20141024.105725	diff	20	diff	1	2852
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	12	20141024.105729	same	60	diff	0	1622
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	13	20141024.105733	same	20	same	1	6887
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	14	20141024.105742	same	60	diff	0	3906
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	15	20141024.105748	diff	60	diff	1	5236
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	16	20141024.105755	same	60	diff	0	5286
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	17	20141024.105802	diff	20	diff	1	8117
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	18	20141024.105813	same	60	diff	0	5606
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	19	20141024.105820	diff	20	same	0	3656
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	20	20141024.105826	same	20	same	1	3282
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	21	20141024.105831	diff	60	same	0	5556
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	22	20141024.105839	same	100	same	1	2611
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	23	20141024.105844	diff	60	same	0	5746
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	24	20141024.105851	diff	20	diff	1	2582
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	25	20141024.105856	diff	20	diff	1	5167
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	26	20141024.105903	diff	100	same	0	1466
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	27	20141024.105906	same	20	same	1	7171
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	28	20141024.105916	diff	100	same	0	5811
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	29	20141024.105924	diff	100	same	0	1497
AT	279	18	F	PSYC4802-20144	1.0.1	Block	practice	30	20141024.105927	diff	60	diff	1	7756
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	31	20141024.105937	same	20	same	1	4477
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	32	20141024.105943	same	20	same	1	2936
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	33	20141024.105948	same	20	same	1	2493
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	34	20141024.105953	same	100	diff	0	1896
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	35	20141024.105957	diff	20	same	0	3091
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	36	20141024.110002	diff	60	same	0	3902
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	37	20141024.110008	same	60	diff	0	10843
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	38	20141024.110021	diff	100	same	0	3851
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	39	20141024.110027	same	60	same	1	3996
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	40	20141024.110033	same	100	same	1	8928
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	41	20141024.110044	diff	20	same	0	6682
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	42	20141024.110052	same	20	same	1	2317
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	43	20141024.110057	same	60	diff	0	8206
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	44	20141024.110107	same	60	same	1	4856
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	45	20141024.110114	diff	20	same	0	6482
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	46	20141024.110123	same	60	diff	0	6111
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	47	20141024.110131	diff	20	same	0	1691
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	48	20141024.110134	same	60	diff	0	8806
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	49	20141024.110145	diff	60	same	0	2821
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	50	20141024.110150	diff	20	same	0	6431
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	51	20141024.110206	diff	60	same	0	2456
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	52	20141024.110210	same	100	same	1	5028
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	53	20141024.110217	same	20	same	1	2636
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	54	20141024.110222	diff	100	diff	1	5896
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	55	20141024.110230	diff	20	diff	1	3716
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	56	20141024.110236	same	100	same	1	5016
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	57	20141024.110243	same	60	same	1	4221
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	58	20141024.110249	diff	100	same	0	8777
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	59	20141024.110300	same	100	same	1	4196
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	60	20141024.110306	same	60	same	1	14052
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	61	20141024.110322	diff	100	same	0	2396
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	62	20141024.110327	same	100	same	1	3006
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	63	20141024.110332	diff	20	same	0	5087
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	64	20141024.110339	same	20	same	1	2021
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	65	20141024.110343	same	100	same	1	2681
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	66	20141024.110348	diff	100	diff	1	2481
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	67	20141024.110352	same	20	same	1	2406
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	68	20141024.110357	diff	100	same	0	3987
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	69	20141024.110403	diff	60	same	0	2947
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	70	20141024.110407	diff	60	same	0	2897
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	71	20141024.110412	diff	20	diff	1	3577
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	72	20141024.110418	diff	20	diff	1	3016
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	73	20141024.110423	diff	100	diff	1	4067
AT	279	18	F	PSYC4802-20144	1.0.1	Block	exp	74	20141024.110429	same	60	diff	0	2597
