Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	1	20141103.115142	diff	60	same	0	8106
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	2	20141103.115152	same	20	same	1	4401
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	3	20141103.115158	diff	60	same	0	7742
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	4	20141103.115208	diff	20	same	0	7796
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	5	20141103.115218	same	60	same	1	11817
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	6	20141103.115232	diff	100	diff	1	8497
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	7	20141103.115242	diff	20	diff	1	5196
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	8	20141103.115249	same	100	same	1	9437
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	9	20141103.115301	same	60	same	1	8856
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	10	20141103.115312	same	100	same	1	5052
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	11	20141103.115319	diff	100	diff	1	7151
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	12	20141103.115328	diff	100	diff	1	8601
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	13	20141103.115338	diff	60	diff	1	9137
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	14	20141103.115349	diff	60	same	0	9986
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	15	20141103.115401	same	60	same	1	10966
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	16	20141103.115414	same	20	same	1	8781
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	17	20141103.115425	same	20	same	1	3902
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	18	20141103.115431	same	20	same	1	4566
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	19	20141103.115438	diff	60	diff	1	11116
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	20	20141103.115451	same	60	same	1	5816
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	21	20141103.115459	diff	100	diff	1	4782
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	22	20141103.115505	same	100	same	1	6596
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	23	20141103.115514	same	20	same	1	4867
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	24	20141103.115521	same	100	same	1	9517
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	25	20141103.115532	diff	20	diff	1	6702
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	26	20141103.115541	same	100	same	1	11707
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	27	20141103.115555	diff	100	diff	1	10856
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	28	20141103.115607	same	60	same	1	5672
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	29	20141103.115615	diff	20	same	0	8716
AT	335	21	M	PSYC4802-20144	1.0.1	Block	practice	30	20141103.115626	diff	20	diff	1	5456
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	31	20141103.115633	diff	100	diff	1	4882
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	32	20141103.115640	diff	60	diff	1	7256
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	33	20141103.115649	diff	20	diff	1	11006
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	34	20141103.115702	diff	100	diff	1	5241
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	35	20141103.115710	same	100	same	1	8691
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	36	20141103.115720	diff	60	diff	1	8676
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	37	20141103.115731	same	100	same	1	13261
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	38	20141103.115746	diff	60	diff	1	5672
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	39	20141103.115754	same	100	same	1	22628
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	40	20141103.115819	diff	20	same	0	5886
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	41	20141103.115826	diff	100	diff	1	14972
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	42	20141103.115843	same	20	same	1	4766
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	43	20141103.115850	same	20	same	1	9612
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	44	20141103.115902	diff	60	diff	1	5531
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	45	20141103.115909	same	20	same	1	5657
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	46	20141103.115917	diff	60	same	0	9617
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	47	20141103.115928	diff	60	diff	1	3672
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	48	20141103.115934	same	100	same	1	5481
AT	335	21	M	PSYC4802-20144	1.0.1	Block	exp	49	20141103.115942	same	20	same	1	5492
