Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	1	20141020.105242	diff	100	same	0	44783
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	2	20141020.105330	diff	20	same	0	3316
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	3	20141020.105335	same	20	190	-3	1482
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	4	20141020.105339	diff	20	same	0	591
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	5	20141020.105341	same	100	190	-3	671
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	6	20141020.105344	diff	60	190	-3	541
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	7	20141020.105346	same	60	same	1	436
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	8	20141020.105349	diff	100	same	0	5972
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	9	20141020.105357	diff	100	190	-3	2801
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	10	20141020.105402	diff	20	diff	1	1366
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	11	20141020.105405	same	60	same	1	421
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	12	20141020.105408	diff	100	diff	1	701
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	13	20141020.105410	diff	60	diff	1	332
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	14	20141020.105413	diff	20	same	0	521
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	15	20141020.105415	same	60	diff	0	606
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	16	20141020.105418	diff	60	same	0	2987
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	17	20141020.105423	diff	60	diff	1	441
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	18	20141020.105425	same	60	diff	0	616
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	19	20141020.105428	same	20	same	1	531
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	20	20141020.105430	diff	20	same	0	496
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	21	20141020.105433	same	20	diff	0	376
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	22	20141020.105435	same	20	same	1	991
CB	251	23	f	PSYC4802-20144	1.0.1	Block	practice	23	20141020.105438	same	20	same	1	1406
