Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	1	20141022.114438	same	100	same	1	18172
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	2	20141022.114458	diff	100	diff	1	4536
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	3	20141022.114504	same	20	same	1	3651
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	4	20141022.114510	diff	20	diff	1	5351
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	5	20141022.114517	diff	20	same	0	2216
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	6	20141022.114522	diff	20	same	0	3977
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	7	20141022.114528	diff	100	diff	1	6816
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	8	20141022.114536	diff	100	diff	1	2031
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	9	20141022.114541	diff	20	diff	1	2516
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	10	20141022.114545	diff	60	diff	1	3642
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	11	20141022.114551	same	60	same	1	6676
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	12	20141022.114559	same	20	same	1	7541
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	13	20141022.114609	same	60	same	1	3641
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	14	20141022.114615	diff	100	same	0	2876
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	15	20141022.114620	same	60	same	1	3636
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	16	20141022.114625	same	60	same	1	3331
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	17	20141022.114631	diff	100	diff	1	2506
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	18	20141022.114635	same	100	diff	0	2996
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	19	20141022.114640	diff	60	diff	1	2021
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	20	20141022.114644	diff	60	diff	1	2546
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	21	20141022.114649	diff	60	diff	1	5416
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	22	20141022.114656	same	100	diff	0	4261
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	23	20141022.114702	diff	60	same	0	3721
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	24	20141022.114708	same	20	same	1	2696
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	25	20141022.114713	diff	20	diff	1	4227
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	26	20141022.114719	same	60	same	1	4552
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	27	20141022.114726	same	20	same	1	1966
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	28	20141022.114730	same	100	diff	0	3326
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	29	20141022.114735	same	20	same	1	3881
CB	272	20	m	PSYC4802-20144	1.0.1	Block	practice	30	20141022.114741	same	100	same	1	2146
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	31	20141022.114745	diff	100	same	0	3316
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	32	20141022.114750	same	20	same	1	2056
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	33	20141022.114754	same	60	diff	0	4527
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	34	20141022.114801	same	60	same	1	7976
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	35	20141022.114811	same	20	same	1	2971
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	36	20141022.114816	diff	20	diff	1	3461
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	37	20141022.114821	same	100	diff	0	5591
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	38	20141022.114829	same	60	diff	0	2866
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	39	20141022.114834	same	100	diff	0	1
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	40	20141022.114836	diff	60	diff	1	31
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	41	20141022.114838	diff	20	diff	1	51
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	42	20141022.114840	same	20	diff	0	156
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	43	20141022.114842	diff	100	diff	1	56
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	44	20141022.114844	diff	60	diff	1	11
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	45	20141022.114846	same	20	diff	0	2296
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	46	20141022.114850	same	60	diff	0	36
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	47	20141022.114852	same	100	same	1	366
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	48	20141022.114855	diff	60	diff	1	2781
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	49	20141022.114900	same	60	diff	0	1837
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	50	20141022.114903	same	100	diff	0	947
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	51	20141022.114947	same	100	same	1	2151
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	52	20141022.114951	same	60	same	1	2076
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	53	20141022.114955	same	100	190	-3	4847
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	54	20141022.115002	same	20	diff	0	681
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	55	20141022.115005	same	20	diff	0	226
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	56	20141022.115007	same	100	diff	0	161
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	57	20141022.115009	diff	100	diff	1	1
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	58	20141022.115011	diff	100	same	0	4406
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	59	20141022.115018	diff	20	same	0	16
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	60	20141022.115020	same	60	same	1	1
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	61	20141022.115022	same	100	diff	0	131
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	62	20141022.115024	diff	100	same	0	1286
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	63	20141022.115027	diff	20	same	0	306
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	64	20141022.115030	same	60	same	1	1266
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	65	20141022.115033	same	60	same	1	1561
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	66	20141022.115036	diff	100	same	0	1476
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	67	20141022.115040	same	60	same	1	2231
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	68	20141022.115044	same	20	same	1	4476
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	69	20141022.115051	same	100	same	1	5591
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	70	20141022.115058	same	20	same	1	2712
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	71	20141022.115103	same	100	diff	0	2361
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	72	20141022.115107	same	100	same	1	4931
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	73	20141022.115114	same	20	same	1	2971
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	74	20141022.115119	same	60	same	1	2071
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	75	20141022.115123	diff	20	diff	1	781
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	76	20141022.115126	diff	100	diff	1	3396
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	77	20141022.115132	diff	60	same	0	786
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	78	20141022.115134	same	20	same	1	146
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	79	20141022.115136	diff	100	diff	1	2371
CB	272	20	m	PSYC4802-20144	1.0.1	Block	exp	80	20141022.115141	diff	20	diff	1	6646
