Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	1	20140929.110849	diff	20	diff	1	8437
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	2	20140929.110900	same	60	same	1	12222
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	3	20140929.110914	diff	100	diff	1	10107
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	4	20140929.110926	same	60	diff	0	7511
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	5	20140929.110936	same	20	same	1	6209
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	6	20140929.110944	diff	20	diff	1	7767
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	7	20140929.110954	same	20	same	1	4296
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	8	20140929.111000	same	100	diff	0	4495
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	9	20140929.111007	same	20	same	1	5453
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	10	20140929.111014	diff	20	diff	1	3336
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	11	20140929.111019	same	100	same	1	5011
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	12	20140929.111027	same	100	same	1	4331
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	13	20140929.111033	same	60	same	1	4137
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	14	20140929.111039	diff	60	diff	1	3916
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	15	20140929.111045	diff	100	diff	1	3626
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	16	20140929.111051	diff	100	diff	1	6026
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	17	20140929.111059	same	20	same	1	2766
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	18	20140929.111104	same	60	same	1	3596
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	19	20140929.111109	same	60	same	1	5526
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	20	20140929.111117	diff	60	diff	1	2797
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	21	20140929.111122	same	20	same	1	2606
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	22	20140929.111126	diff	20	diff	1	6116
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	23	20140929.111135	diff	100	diff	1	3462
CMW	210	24	f	PSYC4802-20144	1.0	Block	practice	24	20140929.111140	same	100	same	1	2356
