Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	1	20141013.111531	same	60	same	1	7632
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	2	20141013.111541	same	100	diff	0	2386
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	3	20141013.111545	same	20	same	1	2151
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	4	20141013.111550	same	20	same	1	1676
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	5	20141013.111553	same	100	diff	0	1547
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	6	20141013.111557	same	60	same	1	451
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	7	20141013.111559	diff	60	same	0	1326
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	8	20141013.111603	same	60	same	1	2467
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	9	20141013.111607	diff	20	same	0	442
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	10	20141013.111610	same	20	diff	0	1301
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	11	20141013.111614	same	100	same	1	2041
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	12	20141013.111618	diff	100	diff	1	3146
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	13	20141013.111623	diff	20	same	0	556
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	14	20141013.111626	diff	100	same	0	876
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	15	20141013.111629	same	20	same	1	811
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	16	20141013.111631	diff	20	diff	1	2931
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	17	20141013.111636	diff	100	same	0	3556
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	18	20141013.111642	same	60	same	1	1341
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	19	20141013.111645	diff	100	diff	1	4486
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	20	20141013.111652	diff	100	same	0	1556
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	21	20141013.111656	diff	60	same	0	3231
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	22	20141013.111701	diff	60	same	0	2756
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	23	20141013.111706	same	60	same	1	1956
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	24	20141013.111710	same	100	diff	0	1966
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	25	20141013.111714	diff	60	diff	1	1991
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	26	20141013.111718	diff	60	diff	1	1067
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	27	20141013.111721	diff	20	diff	1	1801
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	28	20141013.111725	diff	20	same	0	636
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	29	20141013.111727	same	100	same	1	2931
JH	226	20	m	PSYC4802-20144	1.0	Block	practice	30	20141013.111732	same	20	same	1	1441
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	31	20141013.111736	diff	100	diff	1	1831
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	32	20141013.111740	diff	60	diff	1	1276
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	33	20141013.111743	same	20	same	1	1221
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	34	20141013.111746	diff	60	diff	1	1661
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	35	20141013.111750	same	20	same	1	1626
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	36	20141013.111754	same	20	same	1	1096
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	37	20141013.111757	diff	100	diff	1	1706
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	38	20141013.111800	same	100	same	1	1136
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	39	20141013.111804	diff	20	same	0	1531
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	40	20141013.111807	diff	20	diff	1	2022
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	41	20141013.111811	same	20	same	1	1411
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	42	20141013.111815	same	20	same	1	1971
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	43	20141013.111819	diff	60	diff	1	2141
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	44	20141013.111823	same	100	diff	0	6386
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	45	20141013.111831	same	100	diff	0	2231
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	46	20141013.111836	diff	100	diff	1	6456
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	47	20141013.111844	diff	60	diff	1	2116
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	48	20141013.111848	diff	20	diff	1	3131
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	49	20141013.111853	same	60	diff	0	2726
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	50	20141013.111858	same	100	diff	0	2946
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	51	20141013.111911	same	100	diff	0	4912
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	52	20141013.111918	diff	60	same	0	2066
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	53	20141013.111922	diff	100	diff	1	1621
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	54	20141013.111926	same	60	same	1	2446
JH	226	20	m	PSYC4802-20144	1.0	Block	exp	55	20141013.111930	same	20	same	1	2506
