Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	1	20141013.114219	diff	100	diff	1	33491
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	2	20141013.114255	diff	60	diff	1	9591
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	3	20141013.114306	diff	60	diff	1	5901
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	4	20141013.114314	same	100	diff	0	5866
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	5	20141013.114322	same	20	same	1	5202
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	6	20141013.114329	same	100	same	1	6726
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	7	20141013.114338	diff	100	diff	1	7096
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	8	20141013.114347	same	20	same	1	3396
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	9	20141013.114353	diff	60	diff	1	5837
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	10	20141013.114400	diff	20	diff	1	5712
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	11	20141013.114408	diff	100	same	0	6516
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	12	20141013.114417	same	100	same	1	7501
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	13	20141013.114426	same	20	same	1	6816
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	14	20141013.114435	same	100	same	1	5041
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	15	20141013.114442	same	100	same	1	5061
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	16	20141013.114449	diff	20	diff	1	2566
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	17	20141013.114454	same	60	same	1	5206
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	18	20141013.114501	diff	100	same	0	4106
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	19	20141013.114507	same	60	same	1	2446
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	20	20141013.114511	diff	60	diff	1	7391
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	21	20141013.114521	diff	20	diff	1	5156
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	22	20141013.114528	diff	100	diff	1	6677
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	23	20141013.114537	diff	20	same	0	3626
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	24	20141013.114542	diff	20	diff	1	4706
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	25	20141013.114549	same	60	same	1	3752
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	26	20141013.114555	same	20	same	1	2226
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	27	20141013.114559	same	20	same	1	1861
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	28	20141013.114603	same	60	same	1	2397
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	29	20141013.114607	diff	60	diff	1	2421
JJ	231	25	F	PSYC4802-20144	1.0	Block	practice	30	20141013.114612	same	60	same	1	2371
JJ	231	25	F	PSYC4802-20144	1.0	Block	exp	31	20141013.114616	diff	20	diff	1	6037
JJ	231	25	F	PSYC4802-20144	1.0	Block	exp	32	20141013.114624	diff	100	diff	1	7437
JJ	231	25	F	PSYC4802-20144	1.0	Block	exp	33	20141013.114633	diff	60	diff	1	2821
JJ	231	25	F	PSYC4802-20144	1.0	Block	exp	34	20141013.114638	diff	100	diff	1	9006
JJ	231	25	F	PSYC4802-20144	1.0	Block	exp	35	20141013.114649	same	60	same	1	3417
JJ	231	25	F	PSYC4802-20144	1.0	Block	exp	36	20141013.114655	diff	100	diff	1	5287
JJ	231	25	F	PSYC4802-20144	1.0	Block	exp	37	20141013.114702	diff	60	diff	1	5071
JJ	231	25	F	PSYC4802-20144	1.0	Block	exp	38	20141013.114709	same	60	88	-3	2241
JJ	231	25	F	PSYC4802-20144	1.0	Block	exp	39	20141013.114713	same	60	same	1	3786
JJ	231	25	F	PSYC4802-20144	1.0	Block	exp	40	20141013.114719	same	20	same	1	3486
JJ	231	25	F	PSYC4802-20144	1.0	Block	exp	41	20141013.114724	diff	20	diff	1	2441
JJ	231	25	F	PSYC4802-20144	1.0	Block	exp	42	20141013.114729	diff	20	diff	1	1911
