Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	1	20141015.105357	diff	20	diff	1	8492
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	2	20141015.105408	same	60	diff	0	26692
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	3	20141015.105437	same	100	same	1	25549
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	4	20141015.105504	diff	60	diff	1	16957
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	5	20141015.105523	same	60	same	1	8346
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	6	20141015.105534	diff	100	same	0	42233
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	7	20141015.105618	same	20	diff	0	16397
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	8	20141015.105636	diff	60	diff	1	19643
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	9	20141015.105658	same	20	same	1	14417
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	10	20141015.105714	diff	60	diff	1	15507
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	11	20141015.105732	same	100	diff	0	9142
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	12	20141015.105743	diff	60	diff	1	23157
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	13	20141015.105808	same	100	diff	0	38548
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	14	20141015.105849	diff	20	diff	1	18837
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	15	20141015.105910	diff	100	diff	1	7356
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	16	20141015.105919	same	60	same	1	19167
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	17	20141015.105940	diff	60	diff	1	27623
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	18	20141015.110010	diff	20	diff	1	17827
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	19	20141015.110030	diff	20	diff	1	13486
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	20	20141015.110045	same	100	same	1	23893
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	21	20141015.110111	diff	100	diff	1	18218
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	22	20141015.110132	same	20	same	1	15852
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	23	20141015.110150	same	20	same	1	7201
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	24	20141015.110159	same	60	same	1	16612
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	25	20141015.110217	diff	100	diff	1	4581
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	26	20141015.110224	same	100	diff	0	5656
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	27	20141015.110232	same	20	same	1	7191
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	28	20141015.110241	same	60	same	1	8042
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	29	20141015.110251	diff	100	diff	1	16432
MB	234	20	F	PSYC4802-20144	1.0	Block	practice	30	20141015.110309	diff	20	diff	1	3626
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	31	20141015.110315	same	100	diff	0	5791
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	32	20141015.110323	same	20	same	1	8282
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	33	20141015.110333	diff	100	diff	1	29417
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	34	20141015.110405	diff	60	diff	1	9526
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	35	20141015.110416	diff	20	diff	1	11746
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	36	20141015.110430	diff	60	diff	1	8146
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	37	20141015.110440	diff	100	diff	1	13802
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	38	20141015.110456	diff	20	diff	1	10747
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	39	20141015.110509	diff	100	diff	1	8591
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	40	20141015.110519	same	20	same	1	9002
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	41	20141015.110530	same	60	same	1	11541
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	42	20141015.110544	diff	100	diff	1	8901
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	43	20141015.110555	diff	60	diff	1	10447
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	44	20141015.110607	same	20	same	1	4286
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	45	20141015.110614	same	100	same	1	9366
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	46	20141015.110625	diff	100	diff	1	8632
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	47	20141015.110636	diff	20	diff	1	5166
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	48	20141015.110643	diff	100	diff	1	6181
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	49	20141015.110651	same	20	same	1	4882
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	50	20141015.110658	same	60	same	1	4661
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	51	20141015.110737	same	60	same	1	10857
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	52	20141015.110750	diff	60	diff	1	10047
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	53	20141015.110802	diff	60	diff	1	4846
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	54	20141015.110809	diff	20	diff	1	3646
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	55	20141015.110815	diff	100	diff	1	3761
MB	234	20	F	PSYC4802-20144	1.0	Block	exp	56	20141015.110821	same	100	diff	0	4606
