Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	1	20141015.114745	diff	20	diff	1	18476
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	2	20141015.114806	same	20	diff	0	12057
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	3	20141015.114820	same	60	same	1	12066
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	4	20141015.114834	same	20	same	1	7542
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	5	20141015.114843	diff	60	diff	1	6246
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	6	20141015.114852	same	60	diff	0	6432
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	7	20141015.114900	diff	20	same	0	1081
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	8	20141015.114903	same	100	diff	0	1061
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	9	20141015.114906	same	20	same	1	286
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	10	20141015.114909	diff	100	same	0	466
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	11	20141015.114911	same	100	diff	0	701
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	12	20141015.114914	diff	60	same	0	15297
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	13	20141015.114931	diff	20	diff	1	17632
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	14	20141015.114951	diff	100	diff	1	5051
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	15	20141015.114958	same	60	diff	0	10371
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	16	20141015.115010	diff	20	same	0	30083
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	17	20141015.115042	diff	100	diff	1	8311
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	18	20141015.115053	diff	100	same	0	16337
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	19	20141015.115111	diff	100	same	0	46003
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	20	20141015.115159	same	100	same	1	28987
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	21	20141015.115230	same	20	same	1	24757
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	22	20141015.115257	diff	60	diff	1	5581
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	23	20141015.115304	same	60	same	1	5871
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	24	20141015.115312	same	100	same	1	7572
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	25	20141015.115322	same	60	same	1	6327
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	26	20141015.115330	diff	20	diff	1	6891
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	27	20141015.115339	same	20	same	1	21913
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	28	20141015.115403	diff	60	diff	1	8626
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	29	20141015.115413	same	100	same	1	9162
MB	243	21	F	PSYC4802-20144	1.0	Block	practice	30	20141015.115425	diff	60	diff	1	9062
MB	243	21	F	PSYC4802-20144	1.0	Block	exp	31	20141015.115436	diff	100	diff	1	4762
MB	243	21	F	PSYC4802-20144	1.0	Block	exp	32	20141015.115442	diff	60	same	0	4401
