Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	1	20141024.114717	same	20	same	1	3271
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	2	20141024.114723	same	20	same	1	3752
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	3	20141024.114729	diff	60	diff	1	3881
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	4	20141024.114735	diff	60	diff	1	5787
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	5	20141024.114742	diff	100	same	0	5177
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	6	20141024.114750	same	60	same	1	11971
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	7	20141024.114804	same	100	same	1	8942
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	8	20141024.114815	same	20	same	1	4697
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	9	20141024.114821	same	60	same	1	10586
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	10	20141024.114834	same	20	same	1	4806
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	11	20141024.114841	diff	100	diff	1	8912
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	12	20141024.114852	same	60	same	1	8351
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	13	20141024.114902	diff	100	diff	1	5866
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	14	20141024.114910	diff	60	diff	1	3687
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	15	20141024.114916	diff	20	diff	1	7731
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	16	20141024.114925	diff	60	diff	1	3166
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	17	20141024.114931	diff	60	diff	1	8166
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	18	20141024.114941	diff	20	diff	1	7457
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	19	20141024.114950	diff	100	diff	1	3921
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	20	20141024.114956	same	20	same	1	5201
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	21	20141024.115003	diff	20	diff	1	2091
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	22	20141024.115007	same	100	diff	0	8191
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	23	20141024.115018	diff	20	diff	1	8551
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	24	20141024.115028	same	100	diff	0	2592
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	25	20141024.115033	same	100	diff	0	7031
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	26	20141024.115042	diff	20	diff	1	7227
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	27	20141024.115051	diff	100	diff	1	7096
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	28	20141024.115100	same	60	same	1	4951
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	29	20141024.115107	same	100	same	1	6066
nb	289	24	F	PSYC4802-20144	1.0.1	Block	practice	30	20141024.115115	same	60	diff	0	4916
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	31	20141024.115122	diff	100	diff	1	9476
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	32	20141024.115133	same	100	same	1	6086
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	33	20141024.115142	same	60	same	1	7691
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	34	20141024.115151	diff	100	same	0	17712
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	35	20141024.115211	diff	100	same	0	17072
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	36	20141024.115230	diff	60	diff	1	3961
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	37	20141024.115236	same	100	diff	0	4266
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	38	20141024.115242	same	100	same	1	17171
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	39	20141024.115301	diff	20	same	0	21532
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	40	20141024.115325	diff	60	diff	1	16011
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	41	20141024.115343	same	100	diff	0	11211
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	42	20141024.115356	same	20	same	1	6492
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	43	20141024.115405	diff	60	same	0	11366
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	44	20141024.115418	diff	20	diff	1	22847
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	45	20141024.115443	diff	20	diff	1	16232
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	46	20141024.115501	diff	20	same	0	14557
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	47	20141024.115518	diff	60	diff	1	8976
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	48	20141024.115529	same	60	same	1	16683
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	49	20141024.115547	same	20	same	1	5216
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	50	20141024.115555	same	100	same	1	9666
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	51	20141024.115701	diff	60	diff	1	12497
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	52	20141024.115715	same	60	same	1	10402
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	53	20141024.115728	same	20	same	1	6291
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	54	20141024.115736	diff	60	diff	1	12352
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	55	20141024.115750	same	60	same	1	5936
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	56	20141024.115758	same	20	same	1	5306
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	57	20141024.115806	same	60	same	1	6201
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	58	20141024.115814	diff	20	diff	1	5602
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	59	20141024.115822	same	60	same	1	9491
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	60	20141024.115833	same	20	same	1	4361
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	61	20141024.115839	same	20	same	1	3331
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	62	20141024.115845	same	20	same	1	4482
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	63	20141024.115851	diff	20	diff	1	9466
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	64	20141024.115903	diff	60	same	0	9501
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	65	20141024.115914	diff	100	same	0	7461
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	66	20141024.115924	diff	100	diff	1	7242
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	67	20141024.115933	same	20	same	1	5356
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	68	20141024.115940	diff	100	same	0	16417
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	69	20141024.115959	same	20	same	1	4817
nb	289	24	F	PSYC4802-20144	1.0.1	Block	exp	70	20141024.120005	same	20	same	1	3441
