Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	1	20141027.105124	same	20	same	1	5657
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	2	20141027.105132	same	100	diff	0	1886
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	3	20141027.105136	diff	20	same	0	2592
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	4	20141027.105141	same	100	same	1	5016
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	5	20141027.105148	same	100	same	1	3327
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	6	20141027.105153	same	60	same	1	3581
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	7	20141027.105159	same	60	diff	0	2291
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	8	20141027.105203	diff	60	diff	1	3392
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	9	20141027.105209	diff	100	diff	1	3976
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	10	20141027.105215	diff	20	diff	1	4356
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	11	20141027.105221	same	20	same	1	2331
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	12	20141027.105225	diff	20	diff	1	3047
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	13	20141027.105230	diff	100	same	0	3666
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	14	20141027.105236	diff	100	diff	1	2581
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	15	20141027.105241	diff	60	diff	1	7602
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	16	20141027.105250	same	20	same	1	2801
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	17	20141027.105255	same	100	same	1	5547
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	18	20141027.105302	diff	100	diff	1	2761
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	19	20141027.105307	diff	20	same	0	3361
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	20	20141027.105313	diff	20	same	0	6666
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	21	20141027.105321	same	60	same	1	4326
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	22	20141027.105328	same	100	diff	0	4637
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	23	20141027.105334	same	60	diff	0	4756
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	24	20141027.105341	same	20	same	1	5817
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	25	20141027.105349	same	60	same	1	4061
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	26	20141027.105355	diff	60	same	0	3362
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	27	20141027.105400	same	20	same	1	3571
nb	293	20	f	PSYC4802-20144	1.0.1	Block	practice	28	20141027.105406	diff	60	same	0	4292
