Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
211	211	27	F	PSYC4802-20144	1.0	Block	practice	1	20140929.111120	same	60	same	1	12577
211	211	27	F	PSYC4802-20144	1.0	Block	practice	2	20140929.111135	same	100	same	1	52430
211	211	27	F	PSYC4802-20144	1.0	Block	practice	3	20140929.111230	diff	20	diff	1	8446
211	211	27	F	PSYC4802-20144	1.0	Block	practice	4	20140929.111240	same	60	same	1	8327
211	211	27	F	PSYC4802-20144	1.0	Block	practice	5	20140929.111251	same	20	same	1	4368
211	211	27	F	PSYC4802-20144	1.0	Block	practice	6	20140929.111257	diff	60	diff	1	3982
211	211	27	F	PSYC4802-20144	1.0	Block	practice	7	20140929.111303	diff	100	diff	1	12552
211	211	27	F	PSYC4802-20144	1.0	Block	practice	8	20140929.111317	diff	100	diff	1	8741
211	211	27	F	PSYC4802-20144	1.0	Block	practice	9	20140929.111328	diff	100	diff	1	25842
211	211	27	F	PSYC4802-20144	1.0	Block	practice	10	20140929.111356	same	100	same	1	8046
211	211	27	F	PSYC4802-20144	1.0	Block	practice	11	20140929.111406	same	20	same	1	5823
211	211	27	F	PSYC4802-20144	1.0	Block	practice	12	20140929.111414	same	20	same	1	5273
211	211	27	F	PSYC4802-20144	1.0	Block	practice	13	20140929.111421	same	60	same	1	3997
211	211	27	F	PSYC4802-20144	1.0	Block	practice	14	20140929.111427	same	100	same	1	7804
211	211	27	F	PSYC4802-20144	1.0	Block	practice	15	20140929.111437	diff	20	diff	1	10172
211	211	27	F	PSYC4802-20144	1.0	Block	practice	16	20140929.111449	same	20	same	1	2942
211	211	27	F	PSYC4802-20144	1.0	Block	practice	17	20140929.111454	same	60	same	1	6201
211	211	27	F	PSYC4802-20144	1.0	Block	practice	18	20140929.111503	diff	60	diff	1	7457
211	211	27	F	PSYC4802-20144	1.0	Block	practice	19	20140929.111512	diff	60	diff	1	5453
211	211	27	F	PSYC4802-20144	1.0	Block	practice	20	20140929.111520	diff	20	diff	1	4092
211	211	27	F	PSYC4802-20144	1.0	Block	practice	21	20140929.111526	diff	60	diff	1	5987
211	211	27	F	PSYC4802-20144	1.0	Block	practice	22	20140929.111534	same	100	same	1	14742
211	211	27	F	PSYC4802-20144	1.0	Block	practice	23	20140929.111550	same	100	diff	0	4616
211	211	27	F	PSYC4802-20144	1.0	Block	practice	24	20140929.111557	diff	20	diff	1	5571
211	211	27	F	PSYC4802-20144	1.0	Block	practice	25	20140929.111605	same	20	same	1	6961
211	211	27	F	PSYC4802-20144	1.0	Block	practice	26	20140929.111614	diff	60	diff	1	2316
211	211	27	F	PSYC4802-20144	1.0	Block	practice	27	20140929.111618	diff	20	diff	1	3872
211	211	27	F	PSYC4802-20144	1.0	Block	practice	28	20140929.111624	diff	100	diff	1	6801
211	211	27	F	PSYC4802-20144	1.0	Block	practice	29	20140929.111633	diff	100	diff	1	3887
211	211	27	F	PSYC4802-20144	1.0	Block	practice	30	20140929.111639	same	60	same	1	8362
211	211	27	F	PSYC4802-20144	1.0	Block	exp	31	20140929.111649	diff	20	diff	1	3112
211	211	27	F	PSYC4802-20144	1.0	Block	exp	32	20140929.111654	same	100	same	1	6948
211	211	27	F	PSYC4802-20144	1.0	Block	exp	33	20140929.111703	diff	100	diff	1	6652
211	211	27	F	PSYC4802-20144	1.0	Block	exp	34	20140929.111712	diff	100	diff	1	4277
211	211	27	F	PSYC4802-20144	1.0	Block	exp	35	20140929.111718	same	20	same	1	4992
211	211	27	F	PSYC4802-20144	1.0	Block	exp	36	20140929.111725	same	60	same	1	5177
211	211	27	F	PSYC4802-20144	1.0	Block	exp	37	20140929.111732	same	100	same	1	6471
211	211	27	F	PSYC4802-20144	1.0	Block	exp	38	20140929.111740	diff	20	diff	1	4946
211	211	27	F	PSYC4802-20144	1.0	Block	exp	39	20140929.111747	same	60	same	1	7603
211	211	27	F	PSYC4802-20144	1.0	Block	exp	40	20140929.111757	diff	60	diff	1	7842
211	211	27	F	PSYC4802-20144	1.0	Block	exp	41	20140929.111807	diff	20	diff	1	10743
211	211	27	F	PSYC4802-20144	1.0	Block	exp	42	20140929.111820	same	100	same	1	7432
211	211	27	F	PSYC4802-20144	1.0	Block	exp	43	20140929.111829	same	20	same	1	4897
