Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	1	20141022.112352	diff	20	diff	1	8776
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	2	20141022.112403	same	60	same	1	5556
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	3	20141022.112410	diff	100	same	0	7246
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	4	20141022.112419	same	100	same	1	9962
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	5	20141022.112431	same	60	same	1	8751
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	6	20141022.112442	diff	20	diff	1	5252
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	7	20141022.112449	diff	60	diff	1	7776
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	8	20141022.112459	diff	60	same	0	8991
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	9	20141022.112510	diff	20	diff	1	9836
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	10	20141022.112522	same	100	same	1	8142
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	11	20141022.112532	same	20	same	1	5102
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	12	20141022.112539	same	20	same	1	4052
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	13	20141022.112545	diff	100	diff	1	6267
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	14	20141022.112554	diff	100	diff	1	9246
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	15	20141022.112605	diff	60	same	0	12011
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	16	20141022.112619	same	20	same	1	6531
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	17	20141022.112627	same	60	same	1	4807
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	18	20141022.112634	same	60	same	1	6351
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	19	20141022.112642	diff	100	same	0	6502
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	20	20141022.112651	diff	100	diff	1	11937
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	21	20141022.112705	diff	60	same	0	9161
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	22	20141022.112716	same	100	same	1	9191
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	23	20141022.112727	same	100	same	1	9847
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	24	20141022.112739	same	60	same	1	4136
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	25	20141022.112745	diff	20	diff	1	10817
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	26	20141022.112758	same	100	same	1	8121
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	27	20141022.112808	diff	20	diff	1	8292
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	28	20141022.112818	same	20	same	1	4476
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	29	20141022.112825	diff	60	diff	1	3232
SH	270	18	m	PSYC4802-20144	1.0.1	Block	practice	30	20141022.112830	same	20	same	1	4722
SH	270	18	m	PSYC4802-20144	1.0.1	Block	exp	31	20141022.112837	diff	20	diff	1	7506
