Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	1	20141027.105249	diff	60	diff	1	8951
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	2	20141027.105301	same	20	same	1	7381
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	3	20141027.105310	diff	100	same	0	13772
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	4	20141027.105326	diff	20	same	0	13882
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	5	20141027.105342	same	60	diff	0	10757
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	6	20141027.105355	diff	60	diff	1	12592
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	7	20141027.105410	same	60	same	1	14011
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	8	20141027.105426	same	60	diff	0	6516
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	9	20141027.105434	diff	20	same	0	9356
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	10	20141027.105446	diff	100	same	0	17531
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	11	20141027.105506	same	60	same	1	5066
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	12	20141027.105513	same	100	same	1	6271
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	13	20141027.105521	diff	100	same	0	7322
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	14	20141027.105530	diff	20	same	0	12352
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	15	20141027.105545	same	60	same	1	5647
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	16	20141027.105553	diff	20	same	0	5572
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	17	20141027.105600	diff	100	diff	1	5606
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	18	20141027.105608	diff	60	same	0	9851
SMP	296	19	f	PSYC4802-20144	1.0.1	Block	practice	19	20141027.105620	same	20	diff	0	12371
