Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	1	20141103.115400	same	20	same	1	6347
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	2	20141103.115409	diff	60	diff	1	6372
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	3	20141103.115417	diff	100	diff	1	5902
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	4	20141103.115425	same	100	diff	0	4146
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	5	20141103.115431	diff	20	diff	1	7312
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	6	20141103.115441	diff	60	diff	1	6792
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	7	20141103.115449	diff	100	diff	1	5326
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	8	20141103.115457	diff	20	diff	1	10427
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	9	20141103.115509	same	100	diff	0	3251
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	10	20141103.115514	diff	100	diff	1	4721
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	11	20141103.115521	same	60	same	1	3962
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	12	20141103.115527	diff	20	diff	1	8776
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	13	20141103.115538	same	20	same	1	3661
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	14	20141103.115543	diff	100	diff	1	8347
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	15	20141103.115554	same	60	diff	0	2696
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	16	20141103.115559	diff	60	diff	1	5086
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	17	20141103.115606	same	60	diff	0	3212
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	18	20141103.115611	diff	20	diff	1	4136
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	19	20141103.115617	same	100	same	1	7242
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	20	20141103.115626	diff	60	diff	1	2991
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	21	20141103.115631	same	60	same	1	3652
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	22	20141103.115637	diff	100	diff	1	5687
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	23	20141103.115645	same	100	diff	0	3152
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	24	20141103.115650	same	20	same	1	3606
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	25	20141103.115655	same	100	same	1	5692
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	26	20141103.115703	same	20	same	1	2776
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	27	20141103.115708	same	20	same	1	2951
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	28	20141103.115713	same	60	same	1	4222
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	29	20141103.115719	diff	20	diff	1	6086
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	practice	30	20141103.115727	diff	60	diff	1	7581
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	31	20141103.115737	diff	20	diff	1	1756
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	32	20141103.115741	same	60	same	1	3761
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	33	20141103.115746	diff	20	diff	1	4632
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	34	20141103.115753	diff	100	diff	1	7052
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	35	20141103.115802	same	100	diff	0	4521
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	36	20141103.115809	same	100	diff	0	10161
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	37	20141103.115821	same	100	same	1	15997
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	38	20141103.115839	same	100	diff	0	2976
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	39	20141103.115844	same	60	same	1	4122
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	40	20141103.115850	same	100	same	1	6297
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	41	20141103.115858	same	100	same	1	5336
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	42	20141103.115905	diff	20	same	0	2086
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	43	20141103.115910	diff	100	diff	1	341
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	44	20141103.115912	diff	100	diff	1	386
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	45	20141103.115914	diff	20	same	0	406
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	46	20141103.115917	same	20	diff	0	301
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	47	20141103.115919	diff	100	same	0	766
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	48	20141103.115922	same	100	diff	0	241
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	49	20141103.115924	diff	100	same	0	1476
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	50	20141103.115928	diff	60	diff	1	626
SMP	337	20	F	PSYC4802-20144	1.0.1	Block	exp	51	20141103.115940	diff	60	diff	1	4621
