Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	1	20140929.110852	same	20	same	1	1476
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	2	20140929.110857	diff	60	same	0	521
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	3	20140929.110859	diff	100	same	0	1956
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	4	20140929.110903	diff	60	diff	1	2296
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	5	20140929.110907	diff	60	same	0	1571
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	6	20140929.110911	same	20	same	1	7008
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	7	20140929.110920	same	20	same	1	5672
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	8	20140929.110928	diff	100	same	0	8571
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	9	20140929.110939	diff	100	same	0	7241
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	10	20140929.110948	same	60	same	1	6571
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	11	20140929.110956	diff	20	diff	1	9137
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	12	20140929.111008	same	60	same	1	9837
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	13	20140929.111020	diff	60	same	0	7573
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	14	20140929.111029	same	60	same	1	6286
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	15	20140929.111037	same	100	same	1	6312
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	16	20140929.111046	diff	20	diff	1	8346
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	17	20140929.111056	same	100	diff	0	12612
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	18	20140929.111111	same	100	same	1	10207
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	19	20140929.111123	diff	100	same	0	8217
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	20	20140929.111133	diff	20	diff	1	9653
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	21	20140929.111145	same	20	diff	0	10172
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	22	20140929.111157	diff	100	diff	1	3657
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	23	20140929.111203	diff	20	same	0	8961
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	24	20140929.111214	same	20	diff	0	1766
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	25	20140929.111218	diff	60	same	0	6871
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	26	20140929.111227	diff	20	diff	1	4381
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	27	20140929.111233	same	100	same	1	2346
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	28	20140929.111237	same	100	diff	0	3361
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	29	20140929.111243	same	60	same	1	2636
Toke	212	21	F	PSYC4802-20144	1.0	Block	practice	30	20140929.111247	same	60	same	1	1461
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	31	20140929.111251	same	20	same	1	1026
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	32	20140929.111254	same	100	same	1	1616
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	33	20140929.111258	same	60	same	1	2121
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	34	20140929.111302	same	20	same	1	481
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	35	20140929.111304	same	20	same	1	356
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	36	20140929.111307	same	100	same	1	371
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	37	20140929.111309	same	100	same	1	451
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	38	20140929.111312	same	60	same	1	341
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	39	20140929.111314	diff	60	same	0	321
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	40	20140929.111316	diff	20	same	0	481
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	41	20140929.111319	same	100	diff	0	2791
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	42	20140929.111324	same	20	same	1	3211
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	43	20140929.111329	diff	60	same	0	1151
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	44	20140929.111332	diff	20	diff	1	1051
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	45	20140929.111335	same	100	diff	0	397
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	46	20140929.111338	diff	20	same	0	636
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	47	20140929.111340	same	20	diff	0	368
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	48	20140929.111343	same	20	same	1	1
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	49	20140929.111345	same	20	same	1	681
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	50	20140929.111348	same	60	same	1	336
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	51	20140929.111355	diff	20	same	0	1331
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	52	20140929.111359	same	60	diff	0	2036
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	53	20140929.111403	diff	100	same	0	2022
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	54	20140929.111407	diff	100	same	0	1231
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	55	20140929.111410	same	60	diff	0	4291
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	56	20140929.111416	same	60	same	1	1646
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	57	20140929.111420	diff	100	same	0	271
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	58	20140929.111422	diff	60	same	0	7646
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	59	20140929.111432	same	100	diff	0	906
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	60	20140929.111435	diff	20	same	0	2332
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	61	20140929.111439	same	20	same	1	6692
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	62	20140929.111448	same	20	same	1	1801
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	63	20140929.111452	same	60	same	1	266
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	64	20140929.111454	same	60	same	1	486
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	65	20140929.111457	diff	20	same	0	261
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	66	20140929.111459	diff	100	diff	1	3526
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	67	20140929.111505	diff	20	diff	1	4271
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	68	20140929.111511	same	60	diff	0	1901
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	69	20140929.111515	diff	100	diff	1	4411
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	70	20140929.111521	diff	100	same	0	6222
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	71	20140929.111530	diff	100	diff	1	2191
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	72	20140929.111534	diff	20	diff	1	3557
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	73	20140929.111539	diff	100	same	0	2812
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	74	20140929.111544	diff	20	diff	1	631
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	75	20140929.111547	diff	100	same	0	2851
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	76	20140929.111552	same	100	diff	0	421
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	77	20140929.111554	same	20	same	1	2421
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	78	20140929.111559	same	100	same	1	446
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	79	20140929.111601	diff	20	same	0	301
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	80	20140929.111604	same	60	same	1	7177
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	81	20140929.111613	diff	60	diff	1	9122
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	82	20140929.111624	diff	20	diff	1	7986
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	83	20140929.111634	same	20	same	1	1766
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	84	20140929.111638	diff	100	diff	1	4152
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	85	20140929.111644	diff	60	diff	1	8927
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	86	20140929.111655	same	100	same	1	3061
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	87	20140929.111700	diff	20	diff	1	12087
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	88	20140929.111714	diff	60	same	0	3096
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	89	20140929.111719	same	100	same	1	5131
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	90	20140929.111726	diff	60	diff	1	3016
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	91	20140929.111731	same	20	same	1	4736
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	92	20140929.111738	same	20	same	1	4271
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	93	20140929.111744	diff	20	diff	1	8416
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	94	20140929.111755	same	60	same	1	4297
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	95	20140929.111801	same	60	same	1	3226
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	96	20140929.111806	diff	100	diff	1	2221
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	97	20140929.111811	same	100	same	1	1551
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	98	20140929.111814	same	60	same	1	2276
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	99	20140929.111818	same	20	same	1	1866
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	100	20140929.111822	diff	60	diff	1	4471
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	101	20140929.111835	diff	60	diff	1	2302
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	102	20140929.111840	same	60	same	1	1452
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	103	20140929.111843	diff	60	same	0	2391
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	104	20140929.111847	same	100	diff	0	2896
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	105	20140929.111852	same	100	same	1	2576
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	106	20140929.111857	diff	60	diff	1	3402
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	107	20140929.111902	same	60	diff	0	2936
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	108	20140929.111907	same	100	same	1	2111
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	109	20140929.111911	diff	100	same	0	3521
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	110	20140929.111917	same	60	same	1	8481
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	111	20140929.111928	same	20	same	1	2796
Toke	212	21	F	PSYC4802-20144	1.0	Block	exp	112	20140929.111932	diff	20	same	0	3866
