Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	1	20141020.105438	diff	20	same	0	1791
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	2	20141020.105442	same	20	same	1	1416
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	3	20141020.105446	diff	100	same	0	931
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	4	20141020.105448	same	100	same	1	831
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	5	20141020.105451	diff	60	same	0	956
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	6	20141020.105454	diff	100	same	0	586
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	7	20141020.105457	same	100	same	1	821
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	8	20141020.105500	diff	60	same	0	521
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	9	20141020.105502	same	20	same	1	836
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	10	20141020.105505	same	60	same	1	296
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	11	20141020.105507	same	60	same	1	386
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	12	20141020.105510	diff	100	same	0	396
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	13	20141020.105512	diff	60	same	0	1171
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	14	20141020.105515	same	60	same	1	686
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	15	20141020.105518	same	60	same	1	701
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	16	20141020.105521	diff	20	same	0	351
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	17	20141020.105523	same	60	same	1	276
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	18	20141020.105525	diff	20	same	0	3877
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	19	20141020.105531	same	100	same	1	391
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	20	20141020.105533	same	100	same	1	261
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	21	20141020.105536	diff	60	same	0	251
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	22	20141020.105538	diff	20	diff	1	32303
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	23	20141020.105612	diff	20	diff	1	8627
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	24	20141020.105623	diff	100	same	0	9077
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	25	20141020.105634	same	20	same	1	13396
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	26	20141020.105649	diff	60	multi	-2	12157
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	27	20141020.105704	same	100	diff	0	10446
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	28	20141020.105716	same	20	same	1	6007
TA	249	19	M	PSYC4802-20144	1.0.1	Block	practice	29	20141020.105724	same	20	same	1	3676
