Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	1	20140929.110020	same	60	same	1	529501
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	2	20140929.110912	diff	100	diff	1	10102
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	3	20140929.110925	diff	20	diff	1	7166
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	4	20140929.110934	same	60	same	1	6352
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	5	20140929.110942	diff	60	diff	1	2856
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	6	20140929.110947	same	100	diff	0	11352
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	7	20140929.111000	same	60	same	1	7301
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	8	20140929.111010	diff	100	diff	1	2857
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	9	20140929.111014	diff	100	diff	1	5356
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	10	20140929.111022	diff	100	diff	1	9121
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	11	20140929.111033	diff	60	diff	1	8306
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	12	20140929.111043	same	100	same	1	9601
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	13	20140929.111055	diff	60	diff	1	8516
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	14	20140929.111105	diff	20	diff	1	3826
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	15	20140929.111111	same	100	same	1	7686
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	16	20140929.111121	diff	60	diff	1	2236
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	17	20140929.111125	diff	100	diff	1	3791
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	18	20140929.111131	same	20	same	1	3332
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	19	20140929.111136	same	100	same	1	6376
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	20	20140929.111145	same	20	same	1	5271
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	21	20140929.111152	same	60	same	1	10007
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	22	20140929.111204	diff	20	diff	1	4591
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	23	20140929.111211	same	20	same	1	3971
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	24	20140929.111217	diff	60	same	0	5226
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	25	20140929.111224	same	20	same	1	4541
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	26	20140929.111230	diff	20	diff	1	5616
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	27	20140929.111238	same	100	same	1	6081
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	28	20140929.111246	diff	20	diff	1	2841
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	29	20140929.111251	same	60	same	1	8178
TL	213	21	F	PSYC4802-20144	1.0	Block	practice	30	20140929.111301	same	20	same	1	3476
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	31	20140929.111307	same	60	diff	0	6476
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	32	20140929.111315	same	100	diff	0	7011
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	33	20140929.111324	same	20	same	1	5506
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	34	20140929.111332	same	60	same	1	7466
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	35	20140929.111341	same	100	same	1	7791
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	36	20140929.111351	same	20	same	1	4451
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	37	20140929.111357	same	100	diff	0	4701
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	38	20140929.111404	same	100	same	1	2726
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	39	20140929.111409	diff	60	diff	1	11716
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	40	20140929.111423	diff	60	diff	1	5006
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	41	20140929.111430	diff	100	same	0	10792
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	42	20140929.111443	diff	100	diff	1	12922
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	43	20140929.111458	same	100	diff	0	11546
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	44	20140929.111511	diff	60	diff	1	7447
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	45	20140929.111521	same	20	same	1	6186
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	46	20140929.111529	diff	100	diff	1	3216
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	47	20140929.111534	same	60	same	1	6582
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	48	20140929.111543	same	100	same	1	6686
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	49	20140929.111551	diff	20	same	0	4761
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	50	20140929.111558	same	60	same	1	6222
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	51	20140929.111617	diff	60	diff	1	5007
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	52	20140929.111624	same	20	same	1	4146
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	53	20140929.111630	diff	20	diff	1	7142
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	54	20140929.111640	diff	100	diff	1	5831
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	55	20140929.111647	diff	100	diff	1	7342
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	56	20140929.111657	diff	60	diff	1	4381
TL	213	21	F	PSYC4802-20144	1.0	Block	exp	57	20140929.111703	diff	60	diff	1	2976
