Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	1	20141013.113902	same	20	same	1	3696
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	2	20141013.113909	diff	20	diff	1	5776
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	3	20141013.113916	same	60	same	1	15857
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	4	20141013.113934	same	60	same	1	7497
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	5	20141013.113944	same	20	same	1	3136
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	6	20141013.113949	same	100	diff	0	3207
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	7	20141013.113954	diff	100	same	0	6462
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	8	20141013.114003	diff	60	same	0	17717
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	9	20141013.114022	same	100	32	-3	1776
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	10	20141013.114026	diff	20	88	-3	6371
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	11	20141013.114035	diff	60	diff	1	8411
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	12	20141013.114045	diff	20	same	0	6026
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	13	20141013.114053	diff	60	same	0	8762
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	14	20141013.114104	same	100	same	1	8031
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	15	20141013.114114	diff	100	diff	1	13716
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	16	20141013.114130	diff	20	diff	1	4161
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	17	20141013.114136	same	20	same	1	4632
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	18	20141013.114143	diff	20	diff	1	4261
TS	230	24	m	PSYC4802-20144	1.0	Block	practice	19	20141013.114149	diff	100	diff	1	7417
