Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	1	20141027.114256	same	60	diff	0	99372
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	2	20141027.114437	same	100	same	1	4631
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	3	20141027.114444	same	60	same	1	4422
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	4	20141027.114450	same	20	same	1	4866
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	5	20141027.114457	diff	60	diff	1	8471
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	6	20141027.114508	diff	60	diff	1	7996
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	7	20141027.114518	diff	20	same	0	1976
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	8	20141027.114522	same	60	diff	0	3556
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	9	20141027.114527	diff	60	diff	1	4966
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	10	20141027.114534	same	100	diff	0	9401
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	11	20141027.114546	same	60	same	1	2317
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	12	20141027.114550	same	20	same	1	3691
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	13	20141027.114556	same	20	same	1	3406
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	14	20141027.114601	diff	60	diff	1	2786
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	15	20141027.114606	same	20	same	1	1626
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	16	20141027.114610	diff	100	diff	1	2586
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	17	20141027.114614	diff	20	diff	1	3156
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	18	20141027.114619	diff	100	diff	1	1736
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	19	20141027.114623	diff	20	diff	1	3857
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	20	20141027.114629	same	100	diff	0	3686
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	21	20141027.114635	diff	20	diff	1	4306
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	22	20141027.114641	same	20	same	1	4061
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	23	20141027.114647	diff	100	diff	1	5126
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	24	20141027.114654	same	100	same	1	2986
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	25	20141027.114659	diff	20	diff	1	1051
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	26	20141027.114702	same	100	diff	0	1921
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	27	20141027.114706	diff	60	same	0	4191
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	28	20141027.114712	diff	100	diff	1	4341
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	29	20141027.114719	same	60	same	1	5046
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	practice	30	20141027.114726	diff	100	diff	1	3821
ZE	302	23	M	PSYC4802-20144	1.0.1	Block	exp	31	20141027.114732	diff	100	diff	1	10057
