Experimenter	Subject	Age	Sex	Experiment	Version	Block	TrialType	Trial	Timestamp	SameDiff	Rotation	Response	Acc	RT
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	1	20141029.112141	diff	100	diff	1	37648
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	2	20141029.112221	same	20	same	1	7496
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	3	20141029.112231	diff	20	diff	1	12522
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	4	20141029.112245	same	100	diff	0	18298
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	5	20141029.112306	same	100	diff	0	8582
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	6	20141029.112316	diff	60	diff	1	20722
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	7	20141029.112339	diff	60	diff	1	6426
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	8	20141029.112348	same	20	same	1	6916
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	9	20141029.112357	diff	100	diff	1	12932
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	10	20141029.112412	same	100	diff	0	5097
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	11	20141029.112419	same	60	same	1	7526
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	12	20141029.112428	same	100	same	1	8356
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	13	20141029.112439	diff	100	diff	1	12751
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	14	20141029.112454	diff	100	diff	1	7251
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	15	20141029.112503	diff	60	diff	1	11082
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	16	20141029.112516	same	20	same	1	4861
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	17	20141029.112523	diff	60	diff	1	5542
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	18	20141029.112531	same	60	same	1	12727
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	19	20141029.112545	diff	20	diff	1	7061
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	20	20141029.112555	same	20	same	1	8527
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	21	20141029.112605	same	60	same	1	15427
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	22	20141029.112623	diff	20	diff	1	10432
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	23	20141029.112635	same	100	same	1	11842
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	24	20141029.112649	diff	100	same	0	11432
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	25	20141029.112703	diff	60	diff	1	11891
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	26	20141029.112716	same	20	same	1	4826
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	27	20141029.112723	diff	20	diff	1	9907
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	28	20141029.112735	same	60	same	1	6722
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	29	20141029.112744	diff	20	diff	1	17962
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	practice	30	20141029.112804	same	60	same	1	6981
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	31	20141029.112813	diff	20	diff	1	19327
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	32	20141029.112834	diff	100	diff	1	13197
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	33	20141029.112850	diff	20	diff	1	14133
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	34	20141029.112906	same	100	same	1	7997
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	35	20141029.112916	same	100	same	1	21612
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	36	20141029.112940	same	100	same	1	12576
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	37	20141029.112954	same	20	same	1	6427
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	38	20141029.113003	same	60	same	1	11146
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	39	20141029.113016	same	100	same	1	32018
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	40	20141029.113050	same	60	same	1	10367
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	41	20141029.113102	diff	60	diff	1	11641
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	42	20141029.113116	diff	20	same	0	34578
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	43	20141029.113153	same	100	same	1	13437
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	44	20141029.113208	same	100	same	1	6726
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	45	20141029.113217	diff	20	diff	1	14536
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	46	20141029.113233	diff	60	diff	1	26877
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	47	20141029.113302	same	100	same	1	9701
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	48	20141029.113314	diff	60	diff	1	10372
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	49	20141029.113326	diff	20	diff	1	24292
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	50	20141029.113353	same	60	same	1	7792
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	51	20141029.113416	same	20	same	1	8541
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	52	20141029.113427	diff	60	diff	1	8692
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	53	20141029.113438	diff	20	diff	1	6691
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	54	20141029.113446	same	100	same	1	9672
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	55	20141029.113458	same	20	same	1	8767
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	56	20141029.113509	same	20	same	1	7906
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	57	20141029.113519	diff	100	diff	1	11996
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	58	20141029.113533	same	20	same	1	7296
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	59	20141029.113542	same	100	same	1	11076
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	60	20141029.113555	same	60	same	1	12521
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	61	20141029.113610	same	20	same	1	12976
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	62	20141029.113625	diff	100	diff	1	9162
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	63	20141029.113636	diff	60	diff	1	15782
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	64	20141029.113654	diff	100	diff	1	12397
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	65	20141029.113708	same	20	same	1	5881
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	66	20141029.113716	same	20	same	1	5411
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	67	20141029.113724	diff	100	diff	1	10551
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	68	20141029.113736	diff	20	diff	1	11841
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	69	20141029.113750	diff	100	diff	1	16152
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	70	20141029.113808	diff	20	diff	1	9282
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	71	20141029.113819	diff	100	diff	1	17711
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	72	20141029.113839	diff	60	diff	1	11967
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	73	20141029.113853	diff	60	diff	1	13246
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	74	20141029.113908	same	60	same	1	6262
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	75	20141029.113917	same	20	same	1	5746
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	76	20141029.113924	diff	100	diff	1	10116
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	77	20141029.113937	same	20	same	1	4586
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	78	20141029.113943	diff	60	diff	1	23757
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	79	20141029.114009	diff	100	diff	1	7882
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	80	20141029.114019	same	20	same	1	7621
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	81	20141029.114029	same	60	same	1	7961
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	82	20141029.114039	same	100	same	1	13551
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	83	20141029.114054	same	20	same	1	6956
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	84	20141029.114103	same	20	same	1	6716
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	85	20141029.114112	diff	60	diff	1	8607
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	86	20141029.114123	diff	60	diff	1	13357
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	87	20141029.114138	same	100	same	1	12926
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	88	20141029.114153	same	20	same	1	4286
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	89	20141029.114159	same	60	same	1	5461
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	90	20141029.114207	diff	100	diff	1	6366
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	91	20141029.114215	same	60	same	1	4926
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	92	20141029.114222	diff	60	diff	1	7291
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	93	20141029.114231	diff	60	diff	1	7891
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	94	20141029.114241	same	60	same	1	4676
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	95	20141029.114248	diff	60	diff	1	7886
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	96	20141029.114258	same	100	same	1	7091
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	97	20141029.114307	same	60	same	1	28967
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	98	20141029.114338	same	60	same	1	11496
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	99	20141029.114351	diff	20	diff	1	14637
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	100	20141029.114408	diff	20	diff	1	15437
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	101	20141029.114435	same	60	same	1	8802
ZE	316	20	F	PSYC4802-20144	1.0.1	Block	exp	102	20141029.114445	diff	100	diff	1	7747
